item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106601,"Rochester, New York, University of Rochester, cod. a 1",manuscript containing Almanac,DS28540,https://search.digital-scriptorium.org/catalog/DS28540,Q108181,Q108182,University of Rochester,cod. a 1|RCL002_ils269
http://www.wikidata.org/entity/Q138106602,"Rochester, New York, University of Rochester, cod. b 1",manuscript containing Trattati Dei Veneni,DS28541,https://search.digital-scriptorium.org/catalog/DS28541,Q108184,Q108185,University of Rochester,cod. b 1|RCL002_ils271
http://www.wikidata.org/entity/Q138106604,"Rochester, New York, University of Rochester, cod. b 2",manuscript containing Epistole Ignacii Martiris et Beate Virginis Marie; Libellus Spiritualis Exercitii; Libellus de recognitione proprie fragilitatis; Imitatio Christi; Speculum beatae Mariae virginis,DS28542,https://search.digital-scriptorium.org/catalog/DS28542,Q108187,Q108188,University of Rochester,cod. b 2|RCL002_ils272
http://www.wikidata.org/entity/Q138106613,"Rochester, New York, University of Rochester, cod. b 3",manuscript containing Disputatio de anima; Tractatus de mysterio cymbalorum ecclesiae; De sacramentis christianae fidei,DS28543,https://search.digital-scriptorium.org/catalog/DS28543,Q108190,Q108191,University of Rochester,cod. b 3|RCL002_ils273
http://www.wikidata.org/entity/Q138106615,"Rochester, New York, University of Rochester, cod. b 4",manuscript containing Commentary on Augustinian Rule,DS28544,https://search.digital-scriptorium.org/catalog/DS28544,Q108193,Q108194,University of Rochester,cod. b 4|RCL002_ils274
http://www.wikidata.org/entity/Q138106617,"Rochester, New York, University of Rochester, cod. b 5",manuscript containing Conceptionist Rule; Liber epigrammatum,DS28545,https://search.digital-scriptorium.org/catalog/DS28545,Q108196,Q108197,University of Rochester,cod. b 5|RCL002_ils275
http://www.wikidata.org/entity/Q138106619,"Rochester, New York, University of Rochester, cod. b 6",manuscript containing Last rites; Ordo extremae unctionis,DS28546,https://search.digital-scriptorium.org/catalog/DS28546,Q108199,Q108200,University of Rochester,cod. b 6|RCL002_ils276
http://www.wikidata.org/entity/Q138106532,"Rochester, New York, University of Rochester, cod. b 7",manuscript containing Mass of the Virgin; Hours of the Holy Spirit; Graded Kalender; Seasonal instructions for the Office of the Virgin; Seven Penitential Psalms; Gospel Lessons; Hours of the Virgin; Litany; Hours of the Cross,DS28547,https://search.digital-scriptorium.org/catalog/DS28547,Q108202,Q108521,University of Rochester,cod. b 7
http://www.wikidata.org/entity/Q138106620,"Rochester, New York, University of Rochester, cod. b 9",manuscript containing,DS28548,https://search.digital-scriptorium.org/catalog/DS28548,Q108204,Q108205,University of Rochester,cod. b 9
http://www.wikidata.org/entity/Q138106531,"Rochester, New York, University of Rochester, cod. c 1",manuscript containing Anaphoras,DS28549,https://search.digital-scriptorium.org/catalog/DS28549,Q108207,Q108208,University of Rochester,cod. c 1|RCL002_ils278
