item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106047,"Williamstown, Massachusetts, Williams College, Italian Porto Libro",manuscript containing Missal; Breviary,DS25621,https://search.digital-scriptorium.org/catalog/DS25621,Q98589,Q98590,Williams College,Italian Porto Libro|Italian Porto Libro Fragment 1
http://www.wikidata.org/entity/Q138106049,"Williamstown, Massachusetts, Williams College, Italina Sforza Della",manuscript containing Binding fragment,DS25622,https://search.digital-scriptorium.org/catalog/DS25622,Q98592,Q98593,Williams College,Italina Sforza Della|Italina Sforza Della Fragment 1
http://www.wikidata.org/entity/Q138106050,"Williamstown, Massachusetts, Williams College, Inc J494",manuscript containing Alphabetical index,DS25623,https://search.digital-scriptorium.org/catalog/DS25623,Q98595,Q98596,Williams College,Inc J494|Inc J494 Fragment 1
http://www.wikidata.org/entity/Q138106052,"Williamstown, Massachusetts, Williams College, Latin Apuleius 1516",manuscript containing Glossed Decretals,DS25624,https://search.digital-scriptorium.org/catalog/DS25624,Q98598,Q98599,Williams College,Latin Apuleius 1516|Latin Apuleius 1516 Fragment 1
http://www.wikidata.org/entity/Q138106053,"Williamstown, Massachusetts, Williams College, Latin Cicero 1532",manuscript containing Psalter,DS25625,https://search.digital-scriptorium.org/catalog/DS25625,Q98601,Q98602,Williams College,Latin Cicero 1532|Latin Cicero 1532 Fragment 1
http://www.wikidata.org/entity/Q138106055,"Williamstown, Massachusetts, Williams College, Latin Statius 1495",manuscript containing Binding fragment,DS25626,https://search.digital-scriptorium.org/catalog/DS25626,Q98604,Q98605,Williams College,Latin Statius 1495|Latin Statius 1495 Fragment 1
http://www.wikidata.org/entity/Q138106057,"Williamstown, Massachusetts, Williams College, Inc P758 folio",manuscript containing First initials of months in Italian (Calendar preparation?),DS25627,https://search.digital-scriptorium.org/catalog/DS25627,Q98607,Q98608,Williams College,Inc P758 folio|Inc P758 folio Fragment 1
http://www.wikidata.org/entity/Q138106058,"Williamstown, Massachusetts, Williams College, Inc T20",manuscript containing,DS25628,https://search.digital-scriptorium.org/catalog/DS25628,Q98610,Q98611,Williams College,Inc T20|Inc T20 Fragment 1
http://www.wikidata.org/entity/Q138106060,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 1,DS25629,https://search.digital-scriptorium.org/catalog/DS25629,Q98613,Q98614,Williams College,Inc T149|Inc T149 Fragment 1
http://www.wikidata.org/entity/Q138106068,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 2,DS25630,https://search.digital-scriptorium.org/catalog/DS25630,Q98616,Q98617,Williams College,Inc T149|Inc T149 Fragment 2
http://www.wikidata.org/entity/Q138106070,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 3,DS25631,https://search.digital-scriptorium.org/catalog/DS25631,Q98619,Q98620,Williams College,Inc T149|Inc T149 Fragment 3
http://www.wikidata.org/entity/Q138106072,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 4,DS25632,https://search.digital-scriptorium.org/catalog/DS25632,Q98622,Q98623,Williams College,Inc T149|Inc T149 Fragment 4
http://www.wikidata.org/entity/Q138105915,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 5,DS25633,https://search.digital-scriptorium.org/catalog/DS25633,Q98625,Q98626,Williams College,Inc T149|Inc T149 Fragment 5
http://www.wikidata.org/entity/Q138105917,"Williamstown, Massachusetts, Williams College, Inc T149",manuscript containing unknown fragment 6,DS25634,https://search.digital-scriptorium.org/catalog/DS25634,Q98628,Q98629,Williams College,Inc T149|Inc T149 Fragment 6
