item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138230579,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E M 47:11A",manuscript containing Dogale,DS18365,https://search.digital-scriptorium.org/catalog/DS18365,Q76819,Q76820,Free Library of Philadelphia,Lewis E M 47:11A
http://www.wikidata.org/entity/Q138230581,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T329",manuscript containing Music Text,DS18366,https://search.digital-scriptorium.org/catalog/DS18366,Q76822,Q76823,Free Library of Philadelphia,Lewis T329
http://www.wikidata.org/entity/Q138230584,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T329a",manuscript containing Music Text,DS18367,https://search.digital-scriptorium.org/catalog/DS18367,Q76825,Q76826,Free Library of Philadelphia,Lewis T329a
http://www.wikidata.org/entity/Q138230585,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T358",manuscript containing Missal: Third Mass of Christmas,DS18368,https://search.digital-scriptorium.org/catalog/DS18368,Q76828,Q76829,Free Library of Philadelphia,Lewis T358
http://www.wikidata.org/entity/Q138230596,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T359",manuscript containing Missal: Sunday within the Octave of Christmas and the Epiphany,DS18369,https://search.digital-scriptorium.org/catalog/DS18369,Q76831,Q76832,Free Library of Philadelphia,Lewis T359
http://www.wikidata.org/entity/Q138230598,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T360",manuscript containing Missal: Octave and the Second Sunday after Epiphany,DS18370,https://search.digital-scriptorium.org/catalog/DS18370,Q76834,Q76835,Free Library of Philadelphia,Lewis T360
http://www.wikidata.org/entity/Q138230599,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T361",manuscript containing Missal: Third to Fourth Sundays after Epiphany,DS18371,https://search.digital-scriptorium.org/catalog/DS18371,Q76837,Q76838,Free Library of Philadelphia,Lewis T361
http://www.wikidata.org/entity/Q138230602,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T362","manuscript containing Missal: Twentieth Sunday after Pentecost, with Gospel from the Nineteenth",DS18372,https://search.digital-scriptorium.org/catalog/DS18372,Q76840,Q76841,Free Library of Philadelphia,Lewis T362
http://www.wikidata.org/entity/Q138230604,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T363","manuscript containing Missal: Tuesday and Wednesday after the Second Sunday in Lent, with neumes",DS18373,https://search.digital-scriptorium.org/catalog/DS18373,Q76843,Q76844,Free Library of Philadelphia,Lewis T363
http://www.wikidata.org/entity/Q138230606,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T364",manuscript containing Missal: Third Sunday in Lent and Second Feria of the Third Week in Lent,DS18374,https://search.digital-scriptorium.org/catalog/DS18374,Q76846,Q76847,Free Library of Philadelphia,Lewis T364
http://www.wikidata.org/entity/Q138230608,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T365",manuscript containing Missal: Third and Fourth Feriae after the Third Sunday in Lent,DS18375,https://search.digital-scriptorium.org/catalog/DS18375,Q76849,Q76850,Free Library of Philadelphia,Lewis T365
http://www.wikidata.org/entity/Q138230611,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T366",manuscript containing Music manuscript,DS18376,https://search.digital-scriptorium.org/catalog/DS18376,Q76852,Q76853,Free Library of Philadelphia,Lewis T366
http://www.wikidata.org/entity/Q138230612,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T367",manuscript containing Missal: Sixth Feria after the Third Sunday in Lent,DS18377,https://search.digital-scriptorium.org/catalog/DS18377,Q76855,Q76856,Free Library of Philadelphia,Lewis T367
http://www.wikidata.org/entity/Q138230623,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T368",manuscript containing Missal: Monday and Tuesday after the Third Sunday in Lent,DS18378,https://search.digital-scriptorium.org/catalog/DS18378,Q76858,Q76859,Free Library of Philadelphia,Lewis T368
http://www.wikidata.org/entity/Q138230625,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T369","manuscript containing Masses, Summary Index of Prayers for the Proper of the Mass",DS18379,https://search.digital-scriptorium.org/catalog/DS18379,Q76861,Q76862,Free Library of Philadelphia,Lewis T369
http://www.wikidata.org/entity/Q138233754,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T370","manuscript containing Pope Gregory the Great, Epistulae",DS18380,https://search.digital-scriptorium.org/catalog/DS18380,Q76864,Q76865,Free Library of Philadelphia,Lewis T370
http://www.wikidata.org/entity/Q138233756,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T371","manuscript containing Guerric of Saint-Quentin, On the Epistles of Paul",DS18381,https://search.digital-scriptorium.org/catalog/DS18381,Q76867,Q76868,Free Library of Philadelphia,Lewis T371
http://www.wikidata.org/entity/Q138233760,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T372","manuscript containing Petrus Comestor, Historia Scholastica, IV Regum, Tobias",DS18382,https://search.digital-scriptorium.org/catalog/DS18382,Q76870,Q76871,Free Library of Philadelphia,Lewis T372
http://www.wikidata.org/entity/Q138233762,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T373","manuscript containing Peter Lombard, Sentences, Liber II, with later marginal glosses",DS18383,https://search.digital-scriptorium.org/catalog/DS18383,Q76873,Q76874,Free Library of Philadelphia,Lewis T373
http://www.wikidata.org/entity/Q138233763,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T374","manuscript containing Peter Lombard, Sentences, Liber IV, with marginal glosses",DS18384,https://search.digital-scriptorium.org/catalog/DS18384,Q76876,Q76877,Free Library of Philadelphia,Lewis T374
http://www.wikidata.org/entity/Q138235162,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T375",manuscript containing Theological Notes and References,DS18385,https://search.digital-scriptorium.org/catalog/DS18385,Q76879,Q76880,Free Library of Philadelphia,Lewis T375
http://www.wikidata.org/entity/Q138233765,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T376","manuscript containing Bernard of Clairvaux, Sermons, Canticum Canticorum 61-63",DS18386,https://search.digital-scriptorium.org/catalog/DS18386,Q76882,Q76883,Free Library of Philadelphia,Lewis T376
http://www.wikidata.org/entity/Q138233772,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T377",manuscript containing Sermons,DS18387,https://search.digital-scriptorium.org/catalog/DS18387,Q76885,Q76886,Free Library of Philadelphia,Lewis T377
http://www.wikidata.org/entity/Q138233774,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T378",manuscript containing Homilary: Beati Augustini Episcopi,DS18388,https://search.digital-scriptorium.org/catalog/DS18388,Q76888,Q76889,Free Library of Philadelphia,Lewis T378
http://www.wikidata.org/entity/Q138233776,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T379",manuscript containing Homilary,DS18389,https://search.digital-scriptorium.org/catalog/DS18389,Q76891,Q76892,Free Library of Philadelphia,Lewis T379
http://www.wikidata.org/entity/Q138233778,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T380",manuscript containing Sermon on the Trinity,DS18390,https://search.digital-scriptorium.org/catalog/DS18390,Q76894,Q76895,Free Library of Philadelphia,Lewis T380
http://www.wikidata.org/entity/Q138233779,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T381",manuscript containing Sermon on Patience,DS18391,https://search.digital-scriptorium.org/catalog/DS18391,Q76897,Q76898,Free Library of Philadelphia,Lewis T381
http://www.wikidata.org/entity/Q138233783,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T382",manuscript containing John the Baptist,DS18392,https://search.digital-scriptorium.org/catalog/DS18392,Q76900,Q76901,Free Library of Philadelphia,Lewis T382
http://www.wikidata.org/entity/Q138233785,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T383",manuscript containing Treatise on the Blessed Virgin Mary,DS18393,https://search.digital-scriptorium.org/catalog/DS18393,Q76903,Q76904,Free Library of Philadelphia,Lewis T383
http://www.wikidata.org/entity/Q138233787,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T384","manuscript containing Scientific Treatise, Pharmaceutical",DS18394,https://search.digital-scriptorium.org/catalog/DS18394,Q76906,Q76907,Free Library of Philadelphia,Lewis T384
http://www.wikidata.org/entity/Q138230626,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T385",manuscript containing Life of Saint Anthony,DS18395,https://search.digital-scriptorium.org/catalog/DS18395,Q76909,Q76910,Free Library of Philadelphia,Lewis T385
http://www.wikidata.org/entity/Q138230629,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis T386",manuscript containing Life of Saint Anthony,DS18396,https://search.digital-scriptorium.org/catalog/DS18396,Q76912,Q76913,Free Library of Philadelphia,Lewis T386
