item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q137778069,"New York City, New York, Fordham University, MS Item 08",manuscript containing Metamorphoses,DS26216,https://search.digital-scriptorium.org/catalog/DS26216,Q100424,Q100425,Fordham University,MS Item 08
http://www.wikidata.org/entity/Q137778070,"New York City, New York, Fordham University, MS Item 19",manuscript containing Epistulae Morales ad Lucilium,DS26217,https://search.digital-scriptorium.org/catalog/DS26217,Q100427,Q100428,Fordham University,MS Item 19
http://www.wikidata.org/entity/Q137778071,"New York City, New York, Fordham University, MS Item 02",manuscript containing Institutiones,DS26218,https://search.digital-scriptorium.org/catalog/DS26218,Q100430,Q100431,Fordham University,MS Item 02
http://www.wikidata.org/entity/Q137778072,"New York City, New York, Fordham University, MS 10",manuscript containing Modus confitendi optimus et compendiosus sive generalis confessio edita per reverendum in christo patrem et dominum andream hispanum; Confessional Manual; Verses; Modus Confitendi; etc,DS26219,https://search.digital-scriptorium.org/catalog/DS26219,Q100433,Q100434,Fordham University,MS 10
http://www.wikidata.org/entity/Q137778073,"New York City, New York, Fordham University, MS Item 18",manuscript containing Metamorphoses,DS26220,https://search.digital-scriptorium.org/catalog/DS26220,Q100436,Q100437,Fordham University,MS Item 18
http://www.wikidata.org/entity/Q137778033,"New York City, New York, Fordham University, MS 04",manuscript containing Book of Hours,DS26221,https://search.digital-scriptorium.org/catalog/DS26221,Q100439,Q100440,Fordham University,MS 04
http://www.wikidata.org/entity/Q137778074,"New York City, New York, Fordham University, MS Item 13",manuscript containing Aeneid,DS26222,https://search.digital-scriptorium.org/catalog/DS26222,Q100442,Q100443,Fordham University,MS Item 13
http://www.wikidata.org/entity/Q137778075,"New York City, New York, Fordham University, MS Item 20",manuscript containing Metamorphoses,DS26223,https://search.digital-scriptorium.org/catalog/DS26223,Q100445,Q100446,Fordham University,MS Item 20
http://www.wikidata.org/entity/Q137778076,"New York City, New York, Fordham University, MS Item 12",manuscript containing Pharsalia,DS26224,https://search.digital-scriptorium.org/catalog/DS26224,Q100448,Q100449,Fordham University,MS Item 12
http://www.wikidata.org/entity/Q137778077,"New York City, New York, Fordham University, MS 11",manuscript containing Philosophia Naturalis,DS26225,https://search.digital-scriptorium.org/catalog/DS26225,Q100451,Q100452,Fordham University,MS 11
http://www.wikidata.org/entity/Q137778080,"New York City, New York, Fordham University, MS Item 04",manuscript containing Sententiarum libri IV commentary,DS26226,https://search.digital-scriptorium.org/catalog/DS26226,Q100454,Q100455,Fordham University,MS Item 04
