item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131477734,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.197",manuscript containing Bible (glossed),DS11616,Ohio State University,Spec.Rare.MS.MR.Frag.197
http://www.wikidata.org/entity/Q131477981,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.198",manuscript containing Theological fragment,DS11617,Ohio State University,Spec.Rare.MS.MR.Frag.198
http://www.wikidata.org/entity/Q131477985,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.199",manuscript containing Summa collationum / Communiloquium,DS11618,Ohio State University,Spec.Rare.MS.MR.Frag.199
http://www.wikidata.org/entity/Q131477735,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.200",manuscript containing Lectionary,DS11619,Ohio State University,Spec.Rare.MS.MR.Frag.200
http://www.wikidata.org/entity/Q131749997,"Lawrence, Kansas, University of Kansas, MS C82",manuscript containing Sermones,DS1162,University of Kansas,2959588|MS C82
http://www.wikidata.org/entity/Q131477986,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.201",manuscript containing Antiphonal,DS11620,Ohio State University,Spec.Rare.MS.MR.Frag.201
http://www.wikidata.org/entity/Q131477988,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.202",manuscript containing Book of Hours,DS11621,Ohio State University,Spec.Rare.MS.MR.Frag.202
http://www.wikidata.org/entity/Q131477990,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.203",manuscript containing Portable Gradual,DS11622,Ohio State University,Spec.Rare.MS.MR.Frag.203
http://www.wikidata.org/entity/Q131477736,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.204",manuscript containing Book of Hours,DS11623,Ohio State University,Spec.Rare.MS.MR.Frag.204
http://www.wikidata.org/entity/Q131477991,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.205",manuscript containing Gradual,DS11624,Ohio State University,Spec.Rare.MS.MR.Frag.205
http://www.wikidata.org/entity/Q131477993,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.206",manuscript containing Lectionary / Evangeliary,DS11625,Ohio State University,Spec.Rare.MS.MR.Frag.206
http://www.wikidata.org/entity/Q131477995,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.207",manuscript containing Psalter,DS11626,Ohio State University,Spec.Rare.MS.MR.Frag.207
http://www.wikidata.org/entity/Q131477996,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.208",manuscript containing Noted Choir Breviary,DS11627,Ohio State University,Spec.Rare.MS.MR.Frag.208
http://www.wikidata.org/entity/Q131477998,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.209",manuscript containing Antiphonal,DS11628,Ohio State University,Spec.Rare.MS.MR.Frag.209
http://www.wikidata.org/entity/Q131478002,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.210",manuscript containing Book of Hours,DS11629,Ohio State University,Spec.Rare.MS.MR.Frag.210
http://www.wikidata.org/entity/Q131749998,"Lawrence, Kansas, University of Kansas, MS C90",manuscript containing Del risco cioe iÌƒmensa letitia de la gloriosa nostra donÌƒa: alma v[er]zene Maria. ComaÌƒdameÌƒte X [versified]. Articoli ... de la fide [versified,DS1163,University of Kansas,2959601|MS C90
http://www.wikidata.org/entity/Q131478003,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.211",manuscript containing Lectionary,DS11630,Ohio State University,Spec.Rare.MS.MR.Frag.211
http://www.wikidata.org/entity/Q131478004,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.212",manuscript containing Hymnal,DS11631,Ohio State University,Spec.Rare.MS.MR.Frag.212
http://www.wikidata.org/entity/Q131478224,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.213",manuscript containing Legenda Aurea,DS11632,Ohio State University,Spec.Rare.MS.MR.Frag.213
http://www.wikidata.org/entity/Q131478225,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.214",manuscript containing Speculum Judiciale,DS11633,Ohio State University,Spec.Rare.MS.MR.Frag.214
http://www.wikidata.org/entity/Q131478227,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.215",manuscript containing Lectionary,DS11634,Ohio State University,Spec.Rare.MS.MR.Frag.215
http://www.wikidata.org/entity/Q131477737,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.216",manuscript containing Breviary,DS11635,Ohio State University,Spec.Rare.MS.MR.Frag.216
http://www.wikidata.org/entity/Q131478228,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.217",manuscript containing Expositio in Epistolam Pauli,DS11636,Ohio State University,Spec.Rare.MS.MR.Frag.217
http://www.wikidata.org/entity/Q131477738,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.218",manuscript containing Book of Hours,DS11637,Ohio State University,Spec.Rare.MS.MR.Frag.218
http://www.wikidata.org/entity/Q131477739,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.219",manuscript containing Book of Hours,DS11638,Ohio State University,Spec.Rare.MS.MR.Frag.219
http://www.wikidata.org/entity/Q131477740,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.220",manuscript containing Book of Hours,DS11639,Ohio State University,Spec.Rare.MS.MR.Frag.220
http://www.wikidata.org/entity/Q131749999,"Lawrence, Kansas, University of Kansas, MS C126",manuscript containing Latin treatises on religious matters,DS1164,University of Kansas,2959603|MS C126
http://www.wikidata.org/entity/Q131477741,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.221",manuscript containing Book of Hours,DS11640,Ohio State University,Spec.Rare.MS.MR.Frag.221
http://www.wikidata.org/entity/Q131477742,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.222",manuscript containing Book of Hours,DS11641,Ohio State University,Spec.Rare.MS.MR.Frag.222
http://www.wikidata.org/entity/Q131477743,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.223",manuscript containing Breviary,DS11642,Ohio State University,Spec.Rare.MS.MR.Frag.223
http://www.wikidata.org/entity/Q131478230,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.224",manuscript containing Bible (pocket),DS11643,Ohio State University,Spec.Rare.MS.MR.Frag.224
http://www.wikidata.org/entity/Q131477744,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.225",manuscript containing Prayer book,DS11644,Ohio State University,Spec.Rare.MS.MR.Frag.225
http://www.wikidata.org/entity/Q131478231,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.226",manuscript containing Book of Hours,DS11645,Ohio State University,Spec.Rare.MS.MR.Frag.226
http://www.wikidata.org/entity/Q131478233,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.227",manuscript containing Book of Hours,DS11646,Ohio State University,Spec.Rare.MS.MR.Frag.227
http://www.wikidata.org/entity/Q131478235,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.228",manuscript containing Book of Hours,DS11647,Ohio State University,Spec.Rare.MS.MR.Frag.228
