item,itemLabel,description,DSID,recordQID,manuscriptQID,collection,identifiers
http://www.wikidata.org/entity/Q130888357,"Saint Louis, Missouri, Saint Louis University, VFL MS 060","manuscript containing Paralipomenon, single leaves",DS10045,Q44237,Q44236,Saint Louis University,880901681|VFL MS 060
http://www.wikidata.org/entity/Q130888359,"Saint Louis, Missouri, Saint Louis University, VFL MS 061",manuscript containing De medicina equorum,DS10046,Q44240,Q44239,Saint Louis University,883863026|VFL MS 061
http://www.wikidata.org/entity/Q130888360,"Saint Louis, Missouri, Saint Louis University, VFL MS 056","manuscript containing Bible, imperfect",DS10047,Q44243,Q44242,Saint Louis University,905722590|VFL MS 056
http://www.wikidata.org/entity/Q130888362,"Saint Louis, Missouri, Saint Louis University, VFL MS 058","manuscript containing Book of hours, single leaf",DS10048,Q44246,Q44245,Saint Louis University,880901434|VFL MS 058
http://www.wikidata.org/entity/Q130888405,"Saint Louis, Missouri, Saint Louis University, VFL MS 059","manuscript containing Liber] sextus decretalium domini Bonifacii Pape VIII, [single leaves",DS10049,Q48094,Q44248,Saint Louis University,880901295|VFL MS 059
http://www.wikidata.org/entity/Q130888363,"Saint Louis, Missouri, Saint Louis University, VFL MS 055","manuscript containing Ferial psalter, single leaves",DS10050,Q44252,Q44251,Saint Louis University,881475409|VFL MS 055
http://www.wikidata.org/entity/Q130888365,"Saint Louis, Missouri, Saint Louis University, VFL MS 037","manuscript containing Commentary on the Koran (Arabic), 1276",DS10051,Q44255,Q44254,Saint Louis University,865582574|VFL MS 037
http://www.wikidata.org/entity/Q130888367,"Saint Louis, Missouri, Saint Louis University, VFL MS 038",manuscript containing Gulistan,DS10052,Q44258,Q44257,Saint Louis University,865582678|VFL MS 038
http://www.wikidata.org/entity/Q130888368,"Saint Louis, Missouri, Saint Louis University, VFL MS 039","manuscript containing Qur'an, single leaf",DS10053,Q44261,Q44260,Saint Louis University,865582932|VFL MS 039
http://www.wikidata.org/entity/Q130888371,"Saint Louis, Missouri, Saint Louis University, VFL MS 040","manuscript containing Biographies of noted Sufis and distinguised men in Islam, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 040)",DS10054,Q44264,Q44263,Saint Louis University,865583110|VFL MS 040
http://www.wikidata.org/entity/Q130888373,"Saint Louis, Missouri, Saint Louis University, VFL MS 041","manuscript containing Qur'an, single leaf",DS10055,Q44267,Q44266,Saint Louis University,865583353|VFL MS 041
http://www.wikidata.org/entity/Q130888375,"Saint Louis, Missouri, Saint Louis University, VFL MS 042","manuscript containing Book of litanies, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 042)",DS10056,Q44270,Q44269,Saint Louis University,865583574|VFL MS 042
http://www.wikidata.org/entity/Q130888376,"Saint Louis, Missouri, Saint Louis University, VFL MS 054",manuscript containing Khusraw and Shirin,DS10057,Q44273,Q44272,Saint Louis University,865583984|VFL MS 054
http://www.wikidata.org/entity/Q130888378,"Saint Louis, Missouri, Saint Louis University, VFL MS 048","manuscript containing The history of Rama, single leaf",DS10058,Q44276,Q44275,Saint Louis University,892102319|VFL MS 048
http://www.wikidata.org/entity/Q130888379,"Saint Louis, Missouri, Saint Louis University, VFL MS 045","manuscript containing Bhagavadgītā, chapter 15, verses 12 to 16, single leaf",DS10059,Q44279,Q44278,Saint Louis University,891585442|VFL MS 045
http://www.wikidata.org/entity/Q130888381,"Saint Louis, Missouri, Saint Louis University, VFL MS 043","manuscript containing Book of prayers, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 043)",DS10060,Q44282,Q44281,Saint Louis University,892100065|VFL MS 043
http://www.wikidata.org/entity/Q130888390,"Saint Louis, Missouri, Saint Louis University, VFL MS 046","manuscript containing Tamil Bible with commentary, single leaf",DS10061,Q44285,Q44284,Saint Louis University,891583784|VFL MS 046
http://www.wikidata.org/entity/Q130888392,"Saint Louis, Missouri, Saint Louis University, VFL MS 050","manuscript containing Ise Monogatari, single leaf",DS10062,Q44288,Q44287,Saint Louis University,894514159|VFL MS 050
http://www.wikidata.org/entity/Q130888393,"Saint Louis, Missouri, Saint Louis University, VFL MS 044","manuscript containing Astrological and religious text, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 044)",DS10063,Q44291,Q44290,Saint Louis University,894511681|VFL MS 044
http://www.wikidata.org/entity/Q130888383,"Saint Louis, Missouri, Saint Louis University, VFL MS 047","manuscript containing Buddhist canon, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 047)",DS10064,Q44294,Q44293,Saint Louis University,894512472|VFL MS 047
http://www.wikidata.org/entity/Q130888384,"Saint Louis, Missouri, Saint Louis University, VFL MS 049","manuscript containing Chinese Buddhist canon, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 049)",DS10065,Q44297,Q44296,Saint Louis University,894513148|VFL MS 049
http://www.wikidata.org/entity/Q130888387,"Saint Louis, Missouri, Saint Louis University, VFL MS 051",manuscript containing Book of questions,DS10066,Q44300,Q44299,Saint Louis University,891657807|VFL MS 051
http://www.wikidata.org/entity/Q130888389,"Saint Louis, Missouri, Saint Louis University, VFL MS 053",manuscript containing Commentary on the Psalms,DS10067,Q44303,Q44302,Saint Louis University,881476039|VFL MS 053
http://www.wikidata.org/entity/Q130888395,"Saint Louis, Missouri, Saint Louis University, VFL MS 062","manuscript containing Psalms from a book of hours, single leaf",DS10068,Q44306,Q44305,Saint Louis University,919285954|VFL MS 062
http://www.wikidata.org/entity/Q130888397,"Saint Louis, Missouri, Saint Louis University, VFL MS 063","manuscript containing Book of hours, single leaf",DS10069,Q44309,Q44308,Saint Louis University,1034805967|VFL MS 063
http://www.wikidata.org/entity/Q130888398,"Saint Louis, Missouri, Saint Louis University, VFL MS 064","manuscript containing Antiphonary, single leaf",DS10070,Q44312,Q44311,Saint Louis University,1034806071|VFL MS 064
http://www.wikidata.org/entity/Q130888400,"Saint Louis, Missouri, Saint Louis University, VFL MS 065","manuscript containing Ferial Psalter, single leaf",DS10071,Q44315,Q44314,Saint Louis University,1034806035|VFL MS 065
http://www.wikidata.org/entity/Q130888401,"Saint Louis, Missouri, Saint Louis University, VFL MS 066","manuscript containing Bible, single leaf",DS10072,Q44318,Q44317,Saint Louis University,1057899449|VFL MS 066
http://www.wikidata.org/entity/Q130888404,"Saint Louis, Missouri, Saint Louis University, VFL MS 067","manuscript containing Liber sextus decretalium Bonifacii Pape VIII, single leaf",DS10073,Q44321,Q44320,Saint Louis University,1264416506|VFL MS 067
