item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169872,"Berkeley, California, University of California, Berkeley, BANC MS UCB 129","manuscript containing Inventory of possessions; Messina, Italy",DS12682,"University of California, Berkeley",991047685799706532|BANC MS UCB 129
http://www.wikidata.org/entity/Q132169873,"Berkeley, California, University of California, Berkeley, BANC MS UCB 131",manuscript containing Book of hours; use of Evreux,DS12683,"University of California, Berkeley",991047685839706532|BANC MS UCB 131
http://www.wikidata.org/entity/Q132169874,"Berkeley, California, University of California, Berkeley, BANC MS UCB 132","manuscript containing Liber florum, collectus et continuatus de diversis libris",DS12684,"University of California, Berkeley",991047685879706532|BANC MS UCB 132
http://www.wikidata.org/entity/Q132171005,"Berkeley, California, University of California, Berkeley, BANC MS UCB 119",manuscript containing Medieval documents; a collection of legal and business records,DS12685,"University of California, Berkeley",991047687379706532|BANC MS UCB 119
http://www.wikidata.org/entity/Q132171004,"Berkeley, California, University of California, Berkeley, BANC MS UCB 130",manuscript containing Manuscript leaves; materials for the study of paleography,DS12686,"University of California, Berkeley",991047687539706532|BANC MS UCB 130
http://www.wikidata.org/entity/Q132169959,"Berkeley, California, University of California, Berkeley, BANC MS UCB 134",manuscript containing Miscellanea,DS12687,"University of California, Berkeley",991047687579706532|BANC MS UCB 134
http://www.wikidata.org/entity/Q132169875,"Berkeley, California, University of California, Berkeley, BANC MS UCB 137",manuscript containing Collection of French personal records,DS12688,"University of California, Berkeley",991047687699706532|BANC MS UCB 137
http://www.wikidata.org/entity/Q132169912,"Berkeley, California, University of California, Berkeley, BANC MS UCB 142","manuscript containing Laelius, sive, De amicitia ; Cato maior, vel, De senectute ; Paradoxa",DS12689,"University of California, Berkeley",991047687769706532|BANC MS UCB 142
http://www.wikidata.org/entity/Q132169913,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143",manuscript containing Fernán Núñez collection,DS12690,"University of California, Berkeley",991047687819706532|BANC MS UCB 143
http://www.wikidata.org/entity/Q132169960,"Berkeley, California, University of California, Berkeley, BANC MS UCB 144","manuscript containing Li romans de la rose, ou, L'art d'amors",DS12691,"University of California, Berkeley",991047687869706532|BANC MS UCB 144
http://www.wikidata.org/entity/Q132169961,"Berkeley, California, University of California, Berkeley, BANC MS UCB 147",manuscript containing Liber psalmorum,DS12692,"University of California, Berkeley",991047687889706532|BANC MS UCB 147
http://www.wikidata.org/entity/Q132169964,"Berkeley, California, University of California, Berkeley, BANC MS UCB 148",manuscript containing L'histoire de Troie la Grant,DS12693,"University of California, Berkeley",991047687949706532|BANC MS UCB 148
http://www.wikidata.org/entity/Q132169966,"Berkeley, California, University of California, Berkeley, BANC MS UCB 166",manuscript containing Ars amatoria ; Remedia amoris ; Epistola Sapphus (Heroides),DS12694,"University of California, Berkeley",991047715019706532|BANC MS UCB 166
