item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131312575,"Poughkeepsie, New York, Vassar College, MS. 19",manuscript containing Portable breviary; Franciscan use,DS11908,Vassar College,991002019079707396|MS. 19
http://www.wikidata.org/entity/Q131312576,"Poughkeepsie, New York, Vassar College, MS. 22",manuscript containing Commendations of Souls,DS11909,Vassar College,991007770009707396|MS. 22
http://www.wikidata.org/entity/Q131312577,"Poughkeepsie, New York, Vassar College, MS. 21",manuscript containing Compilation of excerpts from Sebastian Franck's Chronica,DS11910,Vassar College,991007770269707396|MS. 21
http://www.wikidata.org/entity/Q131312578,"Poughkeepsie, New York, Vassar College, Scheetz MS. 15",manuscript containing Eleven leaves from a pocket Bible,DS11911,Vassar College,991008325379707396|Scheetz MS. 15
http://www.wikidata.org/entity/Q131312579,"Poughkeepsie, New York, Vassar College, Scheetz MS. 8",manuscript containing Gradual for Advent and Christmas,DS11912,Vassar College,991008325509707396|Scheetz MS. 8
http://www.wikidata.org/entity/Q131312580,"Poughkeepsie, New York, Vassar College, Scheetz MS. 6",manuscript containing Portions of a psalter,DS11913,Vassar College,991008326209707396|Scheetz MS. 6
http://www.wikidata.org/entity/Q131312581,"Poughkeepsie, New York, Vassar College, Scheetz MS. 7",manuscript containing Portion of a breviary; use of Paris,DS11914,Vassar College,991008327969707396|Scheetz MS. 7
http://www.wikidata.org/entity/Q131312582,"Poughkeepsie, New York, Vassar College, Scheetz MS. 3",manuscript containing Incomplete Book of hours,DS11915,Vassar College,991008329869707396|Scheetz MS. 3
http://www.wikidata.org/entity/Q131312584,"Poughkeepsie, New York, Vassar College, Scheetz MS. 4",manuscript containing Portion of a Book of hours,DS11916,Vassar College,991008330359707396|Scheetz MS. 4
http://www.wikidata.org/entity/Q131312585,"Poughkeepsie, New York, Vassar College, Scheetz MS. 1",manuscript containing Summa abel,DS11917,Vassar College,991008523579707396|Scheetz MS. 1
http://www.wikidata.org/entity/Q131312589,"Poughkeepsie, New York, Vassar College, Scheetz MS. 25",manuscript containing Antoine de Toulouse's notarial book,DS11918,Vassar College,991008525129707396|Scheetz MS. 25
http://www.wikidata.org/entity/Q131312590,"Poughkeepsie, New York, Vassar College, MS. 23","manuscript containing Chronicle of the kings of Rome, etc",DS11919,Vassar College,991009616889707396|MS. 23
http://www.wikidata.org/entity/Q131312591,"Poughkeepsie, New York, Vassar College, MS. 6",manuscript containing Book of hours; use of Paris,DS11920,Vassar College,991010651009707396|MS. 6
http://www.wikidata.org/entity/Q131312593,"Poughkeepsie, New York, Vassar College, MS. 7",manuscript containing Book of hours; use of Amiens,DS11921,Vassar College,991010651399707396|MS. 7
http://www.wikidata.org/entity/Q131312586,"Poughkeepsie, New York, Vassar College, MS. 11",manuscript containing Book of hours; use of Mons,DS11922,Vassar College,991010689389707396|MS. 11
http://www.wikidata.org/entity/Q131312587,"Poughkeepsie, New York, Vassar College, MS. 4","manuscript containing Psalter, illuminated by Jean Semont",DS11923,Vassar College,991010693429707396|MS. 4
http://www.wikidata.org/entity/Q131312588,"Poughkeepsie, New York, Vassar College, MS. 3","manuscript containing Compendium including works attributed to Bonaventura, Hugh of Saint-Victor, and Anselm",DS11924,Vassar College,991010695399707396|MS. 3
http://www.wikidata.org/entity/Q131312594,"Poughkeepsie, New York, Vassar College, MS. 2",manuscript containing Georgics,DS11925,Vassar College,991010696789707396|MS. 2
http://www.wikidata.org/entity/Q131312595,"Poughkeepsie, New York, Vassar College, MS. 12",manuscript containing Book of Sermons,DS11926,Vassar College,MS. 12|991010714079707396
http://www.wikidata.org/entity/Q131312596,"Poughkeepsie, New York, Vassar College, MS. 10",manuscript containing Bull in coena domini,DS11927,Vassar College,991010714319707396|MS. 10
http://www.wikidata.org/entity/Q131312600,"Poughkeepsie, New York, Vassar College, MS. 9",manuscript containing Book of hours; use of Besançon,DS11928,Vassar College,991010715769707396|MS. 9
http://www.wikidata.org/entity/Q131312601,"Poughkeepsie, New York, Vassar College, MS. 17",manuscript containing Ferial psalter,DS11929,Vassar College,991010984379707396|MS. 17
http://www.wikidata.org/entity/Q131312602,"Poughkeepsie, New York, Vassar College, MS. 16",manuscript containing Gradual; Cistercian use,DS11930,Vassar College,991010984669707396|MS. 16
http://www.wikidata.org/entity/Q131312603,"Poughkeepsie, New York, Vassar College, MS. 20",manuscript containing De senectute; Paradoxa] ; [Somnium Scipionis,DS11931,Vassar College,991012849129707396|MS. 20
http://www.wikidata.org/entity/Q131312598,"Poughkeepsie, New York, Vassar College, MS. 24",manuscript containing Dominican ferial psalter,DS11932,Vassar College,991018999880907396|MS. 24
http://www.wikidata.org/entity/Q131312574,"Poughkeepsie, New York, Vassar College, MS. 25",manuscript containing Privileges du Vicomte de Turenne,DS11933,Vassar College,991019126382607396|MS. 25
http://www.wikidata.org/entity/Q131312599,"Poughkeepsie, New York, Vassar College, MS. 15","manuscript containing Inventories, mainly of livestock and furnishings",DS11934,Vassar College,991019130481407396|MS. 15
http://www.wikidata.org/entity/Q131312597,"Poughkeepsie, New York, Vassar College, MS. 18","manuscript containing Manorial accounts for Uggeshall, Sotterley, Ellough, and Willingham (Suffolk)",DS11935,Vassar College,991019130876807396|MS. 18
