item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131087330,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 096",manuscript containing Canon law with gloss,DS10169,University of Missouri,Fragmenta Manuscripta 096
http://www.wikidata.org/entity/Q131087331,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 097","manuscript containing Calendar November, December",DS10170,University of Missouri,Fragmenta Manuscripta 097
http://www.wikidata.org/entity/Q131087332,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 098",manuscript containing Missal,DS10171,University of Missouri,Fragmenta Manuscripta 098
http://www.wikidata.org/entity/Q131087333,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 099",manuscript containing Prayerbook,DS10172,University of Missouri,Fragmenta Manuscripta 099
http://www.wikidata.org/entity/Q131087334,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 100",manuscript containing Prayerbook,DS10173,University of Missouri,Fragmenta Manuscripta 100
http://www.wikidata.org/entity/Q131086824,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 101",manuscript containing Digest,DS10174,University of Missouri,Fragmenta Manuscripta 101
http://www.wikidata.org/entity/Q131087335,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 102",manuscript containing Missal,DS10175,University of Missouri,Fragmenta Manuscripta 102
http://www.wikidata.org/entity/Q131087336,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 103",manuscript containing Missal,DS10176,University of Missouri,Fragmenta Manuscripta 103
http://www.wikidata.org/entity/Q131087337,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 104",manuscript containing Psalter,DS10177,University of Missouri,Fragmenta Manuscripta 104
http://www.wikidata.org/entity/Q131086826,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 105","manuscript containing Sermon 93, De verbis Evangelii, Mt. 25:1-13",DS10178,University of Missouri,Fragmenta Manuscripta 105
http://www.wikidata.org/entity/Q131087338,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 106",manuscript containing Breviary,DS10179,University of Missouri,Fragmenta Manuscripta 106
http://www.wikidata.org/entity/Q131087339,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 107",manuscript containing Breviary,DS10180,University of Missouri,Fragmenta Manuscripta 107
http://www.wikidata.org/entity/Q131086485,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 108",manuscript containing Bible,DS10181,University of Missouri,Fragmenta Manuscripta 108
http://www.wikidata.org/entity/Q131086487,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 109",manuscript containing Bible,DS10182,University of Missouri,Fragmenta Manuscripta 109
http://www.wikidata.org/entity/Q131086490,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 110",manuscript containing Consuetudinary,DS10183,University of Missouri,Fragmenta Manuscripta 110
http://www.wikidata.org/entity/Q131086491,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 111",manuscript containing Bible,DS10184,University of Missouri,Fragmenta Manuscripta 111
http://www.wikidata.org/entity/Q131086492,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 112",manuscript containing Sermon (on saints?),DS10185,University of Missouri,Fragmenta Manuscripta 112
http://www.wikidata.org/entity/Q131086493,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 113",manuscript containing Civil law with gloss,DS10186,University of Missouri,Fragmenta Manuscripta 113
http://www.wikidata.org/entity/Q131086494,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 114",manuscript containing Treatise on Blessed Virgin Mary,DS10187,University of Missouri,Fragmenta Manuscripta 114
http://www.wikidata.org/entity/Q131086496,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 115",manuscript containing Physiological material,DS10188,University of Missouri,Fragmenta Manuscripta 115
http://www.wikidata.org/entity/Q131086498,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 116",manuscript containing Bible,DS10189,University of Missouri,Fragmenta Manuscripta 116
http://www.wikidata.org/entity/Q131086500,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 117",manuscript containing Bible,DS10190,University of Missouri,Fragmenta Manuscripta 117
http://www.wikidata.org/entity/Q131086599,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 118",manuscript containing Bible,DS10191,University of Missouri,Fragmenta Manuscripta 118
http://www.wikidata.org/entity/Q131086601,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 119","manuscript containing Sins, Head to Toe",DS10192,University of Missouri,Fragmenta Manuscripta 119
http://www.wikidata.org/entity/Q131086603,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 120",manuscript containing De fide,DS10193,University of Missouri,Fragmenta Manuscripta 120
http://www.wikidata.org/entity/Q131086604,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 121",manuscript containing Bible with Interpretations of Hebrew Names,DS10194,University of Missouri,Fragmenta Manuscripta 121
http://www.wikidata.org/entity/Q131086606,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 122",manuscript containing Bible,DS10195,University of Missouri,Fragmenta Manuscripta 122
http://www.wikidata.org/entity/Q131086831,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 123",manuscript containing Treatise on tumors,DS10196,University of Missouri,Fragmenta Manuscripta 123
http://www.wikidata.org/entity/Q131086833,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 124",manuscript containing Martyrologium,DS10197,University of Missouri,Fragmenta Manuscripta 124
http://www.wikidata.org/entity/Q131086837,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 125",manuscript containing Aurora,DS10198,University of Missouri,Fragmenta Manuscripta 125
http://www.wikidata.org/entity/Q131086608,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 126","manuscript containing Psalter, ferial",DS10199,University of Missouri,Fragmenta Manuscripta 126
http://www.wikidata.org/entity/Q131086610,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 127",manuscript containing Philosophical text,DS10200,University of Missouri,Fragmenta Manuscripta 127
http://www.wikidata.org/entity/Q131086616,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 128",manuscript containing Devotional text,DS10201,University of Missouri,Fragmenta Manuscripta 128
http://www.wikidata.org/entity/Q131086619,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 129",manuscript containing Prayer,DS10202,University of Missouri,Fragmenta Manuscripta 129
http://www.wikidata.org/entity/Q131086623,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 130",manuscript containing Canon law,DS10203,University of Missouri,Fragmenta Manuscripta 130
http://www.wikidata.org/entity/Q131086839,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 131","manuscript containing Sermon 93, De verbis Evangelii, Mt. 25:1-13",DS10204,University of Missouri,Fragmenta Manuscripta 131
http://www.wikidata.org/entity/Q131086625,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 132",manuscript containing Ecclesiastical text,DS10205,University of Missouri,Fragmenta Manuscripta 132
http://www.wikidata.org/entity/Q131086627,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 133",manuscript containing Civil law commentary,DS10206,University of Missouri,Fragmenta Manuscripta 133
http://www.wikidata.org/entity/Q131086629,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 134",manuscript containing Civil law,DS10207,University of Missouri,Fragmenta Manuscripta 134
http://www.wikidata.org/entity/Q131086841,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 135",manuscript containing Miroiror Evangiles des Domnees,DS10208,University of Missouri,Fragmenta Manuscripta 135
http://www.wikidata.org/entity/Q131086630,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 136",manuscript containing Philosophical text,DS10209,University of Missouri,Fragmenta Manuscripta 136
http://www.wikidata.org/entity/Q131086632,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 137",manuscript containing Royal document on soldiers serving in France,DS10210,University of Missouri,Fragmenta Manuscripta 137
http://www.wikidata.org/entity/Q131086843,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 138",manuscript containing Doctrinalewith commentary,DS10211,University of Missouri,Fragmenta Manuscripta 138
http://www.wikidata.org/entity/Q131086633,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 139",manuscript containing Resumptio from book of common legal forms,DS10212,University of Missouri,Fragmenta Manuscripta 139
http://www.wikidata.org/entity/Q131086634,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 140",manuscript containing Enrollments of writs to sheriffs from book of common legal forms,DS10213,University of Missouri,Fragmenta Manuscripta 140
http://www.wikidata.org/entity/Q131086635,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 141",manuscript containing Philosophical text,DS10214,University of Missouri,Fragmenta Manuscripta 141
http://www.wikidata.org/entity/Q131086638,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 142",manuscript containing Legal text,DS10215,University of Missouri,Fragmenta Manuscripta 142
http://www.wikidata.org/entity/Q131086640,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 143",manuscript containing Philosophical text,DS10216,University of Missouri,Fragmenta Manuscripta 143
http://www.wikidata.org/entity/Q131086641,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 144",manuscript containing Civil law,DS10217,University of Missouri,Fragmenta Manuscripta 144
http://www.wikidata.org/entity/Q131086642,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 145",manuscript containing Bible,DS10218,University of Missouri,Fragmenta Manuscripta 145
http://www.wikidata.org/entity/Q131086643,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 146",manuscript containing Philosophical text,DS10219,University of Missouri,Fragmenta Manuscripta 146
http://www.wikidata.org/entity/Q131086364,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 147",manuscript containing Ordinale,DS10220,University of Missouri,Fragmenta Manuscripta 147
http://www.wikidata.org/entity/Q131086366,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 148",manuscript containing Canon law,DS10221,University of Missouri,Fragmenta Manuscripta 148
http://www.wikidata.org/entity/Q131086420,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 149",manuscript containing Ordinale?,DS10222,University of Missouri,Fragmenta Manuscripta 149
http://www.wikidata.org/entity/Q131086644,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 150",manuscript containing Dialogue between Life and Fortune,DS10223,University of Missouri,Fragmenta Manuscripta 150
http://www.wikidata.org/entity/Q131086645,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 151","manuscript containing Bible, verbal index to",DS10224,University of Missouri,Fragmenta Manuscripta 151
http://www.wikidata.org/entity/Q131086648,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 152",manuscript containing Philosophical text,DS10225,University of Missouri,Fragmenta Manuscripta 152
http://www.wikidata.org/entity/Q131086656,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 153",manuscript containing Chess problem,DS10226,University of Missouri,Fragmenta Manuscripta 153
http://www.wikidata.org/entity/Q131086658,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 154",manuscript containing Decretals,DS10227,University of Missouri,Fragmenta Manuscripta 154
http://www.wikidata.org/entity/Q131086661,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 155",manuscript containing Decretalswith commentary,DS10228,University of Missouri,Fragmenta Manuscripta 155
http://www.wikidata.org/entity/Q131086845,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 156",manuscript containing Roman de la Rose,DS10229,University of Missouri,Fragmenta Manuscripta 156
http://www.wikidata.org/entity/Q131086650,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 157",manuscript containing Chanson d'aventure Florence de Rome,DS10230,University of Missouri,Fragmenta Manuscripta 157
http://www.wikidata.org/entity/Q131086654,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 158",manuscript containing Missal,DS10231,University of Missouri,Fragmenta Manuscripta 158
http://www.wikidata.org/entity/Q131086662,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 159",manuscript containing Memoriall to serve God,DS10232,University of Missouri,Fragmenta Manuscripta 159
http://www.wikidata.org/entity/Q131086664,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 160",manuscript containing Book of hours,DS10233,University of Missouri,Fragmenta Manuscripta 160
http://www.wikidata.org/entity/Q131086667,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 161",manuscript containing Book of hours,DS10234,University of Missouri,Fragmenta Manuscripta 161
http://www.wikidata.org/entity/Q131086672,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 162",manuscript containing Missal,DS10235,University of Missouri,Fragmenta Manuscripta 162
http://www.wikidata.org/entity/Q131086675,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 163",manuscript containing Gradual,DS10236,University of Missouri,Fragmenta Manuscripta 163
http://www.wikidata.org/entity/Q131086678,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 164",manuscript containing Processional,DS10237,University of Missouri,Fragmenta Manuscripta 164
http://www.wikidata.org/entity/Q131086681,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 165",manuscript containing Breviary for Sarum use,DS10238,University of Missouri,Fragmenta Manuscripta 165
http://www.wikidata.org/entity/Q131086683,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 166",manuscript containing Processional,DS10239,University of Missouri,Fragmenta Manuscripta 166
http://www.wikidata.org/entity/Q131086685,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 167",manuscript containing Lectionary,DS10240,University of Missouri,Fragmenta Manuscripta 167
