item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q133280818,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-8",manuscript containing Gradual,DS16487,Q69153,Q69154,Rochester Institute of Technology,cc20190605_08|PORTFOLIO BOX 1-8
http://www.wikidata.org/entity/Q133280819,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-32",manuscript containing Gradual,DS16488,Q69156,Q69157,Rochester Institute of Technology,cc20190605_32|PORTFOLIO BOX 2-32
http://www.wikidata.org/entity/Q133280820,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-24",manuscript containing Book of hours,DS16489,Q69159,Q69160,Rochester Institute of Technology,cc20190605_24|PORTFOLIO BOX 1-24
http://www.wikidata.org/entity/Q133280821,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-28",manuscript containing Book of hours,DS16490,Q69162,Q69163,Rochester Institute of Technology,cc20190605_28|PORTFOLIO BOX 2-28
http://www.wikidata.org/entity/Q133280822,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-29",manuscript containing Book of hours,DS16491,Q69165,Q69166,Rochester Institute of Technology,cc20190605_29|PORTFOLIO BOX 2-29
http://www.wikidata.org/entity/Q133280823,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-30",manuscript containing Book of hours,DS16492,Q69168,Q69169,Rochester Institute of Technology,cc20190605_30|PORTFOLIO BOX 2-30
http://www.wikidata.org/entity/Q133280824,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-36",manuscript containing Book of hours,DS16493,Q69171,Q69172,Rochester Institute of Technology,cc20190605_36|PORTFOLIO BOX 2-36
http://www.wikidata.org/entity/Q133280825,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-43",manuscript containing Book of hours,DS16494,Q69174,Q69175,Rochester Institute of Technology,cc20190605_43|PORTFOLIO BOX 2-43
http://www.wikidata.org/entity/Q133280826,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-45",manuscript containing Book of hours,DS16495,Q69177,Q69178,Rochester Institute of Technology,cc20190605_45|PORTFOLIO BOX 2-45
http://www.wikidata.org/entity/Q133280827,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-46",manuscript containing Book of hours,DS16496,Q69180,Q69181,Rochester Institute of Technology,cc20190605_46|PORTFOLIO BOX 2-46
http://www.wikidata.org/entity/Q133280828,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-47",manuscript containing Book of hours,DS16497,Q69183,Q69184,Rochester Institute of Technology,cc20190605_47|PORTFOLIO BOX 2-47
http://www.wikidata.org/entity/Q133280829,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-48",manuscript containing Book of hours,DS16498,Q69186,Q69187,Rochester Institute of Technology,cc20190605_48|PORTFOLIO BOX 2-48
http://www.wikidata.org/entity/Q133280830,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-50",manuscript containing Book of hours,DS16499,Q69189,Q69190,Rochester Institute of Technology,cc20190605_50|PORTFOLIO BOX 2-50
http://www.wikidata.org/entity/Q133280801,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-31",manuscript containing Book of hours,DS16500,Q69192,Q69193,Rochester Institute of Technology,cc20190605_31|PORTFOLIO BOX 2-31
http://www.wikidata.org/entity/Q133280802,"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-21",manuscript containing Hymnal,DS16501,Q69195,Q69196,Rochester Institute of Technology,cc20190605_21|PORTFOLIO BOX 1-21
http://www.wikidata.org/entity/Q133280867,"Rochester, New York, Rochester Institute of Technology, CSC-0062",manuscript containing Bible,DS16502,Q69198,Q69199,Rochester Institute of Technology,cc_csc0062_armenian.jpg|CSC-0062
http://www.wikidata.org/entity/Q133280803,"Rochester, New York, Rochester Institute of Technology, 109908",manuscript containing Book of hours,DS16503,Q69201,Q69202,Rochester Institute of Technology,109908|cc109908_bookofhours
http://www.wikidata.org/entity/Q133280868,"Rochester, New York, Rochester Institute of Technology, 108299",manuscript containing Choir book,DS16504,Q69204,Q69205,Rochester Institute of Technology,108299|cc_108299_antiphonal
