item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131749813,"Lawrence, Kansas, University of Kansas, MS Q95","manuscript containing Leaf containing psalms 136 (137), 137 (138), 138 (139)",DS1335,Q6825,Q6826,University of Kansas,9855073|MS Q95
http://www.wikidata.org/entity/Q131749846,"Lawrence, Kansas, University of Kansas, MS Qa38","manuscript containing Leaf containing ""Splendor paternae gloriae"" / Ambrose of Milan",DS1336,Q6828,Q6829,University of Kansas,9855074|MS Qa38
http://www.wikidata.org/entity/Q131749847,"Lawrence, Kansas, University of Kansas, MS R29",manuscript containing Leaf from an antiphonary (Manuscript Kenneth Spencer Research Library. MS R29),DS1337,Q6831,Q6832,University of Kansas,9855075|MS R29
http://www.wikidata.org/entity/Q131749848,"Lawrence, Kansas, University of Kansas, MS J6:3:A3","manuscript containing Corpus juris civilis. Digesta. Digestum vetus. Prooemium, leaf 1",DS1338,Q6834,Q6835,University of Kansas,9855107|MS J6:3:A3
http://www.wikidata.org/entity/Q131749849,"Lawrence, Kansas, University of Kansas, MS 9/1:B6",manuscript containing Documents concernant les [...] Tronchiennes et autre [...,DS1339,Q6837,Q6838,University of Kansas,9913304|MS 9/1:B6
http://www.wikidata.org/entity/Q131749864,"Lawrence, Kansas, University of Kansas, MS E289",manuscript containing Carta executoria de hidalguía de Lazaro de Adarve,DS16382,Q67871,Q67872,University of Kansas,10166779|MS E289
http://www.wikidata.org/entity/Q131749865,"Lawrence, Kansas, University of Kansas, Pryce MS C1",manuscript containing Vosper hours,DS16383,Q67874,Q67875,University of Kansas,10630704|Pryce MS C1
http://www.wikidata.org/entity/Q131749850,"Lawrence, Kansas, University of Kansas, MS 9:2.2","manuscript containing Secrets and collects for the Proper of Saints, 9-4 Kalends of September",DS6342,Q26533,Q26534,University of Kansas,2998920|MS 9:2.2
http://www.wikidata.org/entity/Q131749851,"Lawrence, Kansas, University of Kansas, MS 9:2.1",manuscript containing Service book,DS6343,Q26536,Q26537,University of Kansas,2998921|MS 9:2.1
http://www.wikidata.org/entity/Q131749852,"Lawrence, Kansas, University of Kansas, MS 9:2.3",manuscript containing Leaf from a book of hours,DS6344,Q26539,Q26540,University of Kansas,2998922|MS 9:2.3
http://www.wikidata.org/entity/Q131749853,"Lawrence, Kansas, University of Kansas, MS 9:2.10",manuscript containing Leaf from a book of hours,DS6345,Q26542,Q26543,University of Kansas,2999076|MS 9:2.10
http://www.wikidata.org/entity/Q131749854,"Lawrence, Kansas, University of Kansas, MS 9:2.16",manuscript containing Vocabularius rerum,DS6346,Q26545,Q26546,University of Kansas,2999078|MS 9:2.16
http://www.wikidata.org/entity/Q131749855,"Lawrence, Kansas, University of Kansas, MS 9:2.17",manuscript containing Liber glossarum,DS6347,Q26548,Q26549,University of Kansas,2999079|MS 9:2.17
http://www.wikidata.org/entity/Q131749856,"Lawrence, Kansas, University of Kansas, MS 9:2.18",manuscript containing Service-book,DS6348,Q26551,Q26552,University of Kansas,2999080|MS 9:2.18
http://www.wikidata.org/entity/Q131749857,"Lawrence, Kansas, University of Kansas, MS 9:2.19",manuscript containing Service-book,DS6349,Q26554,Q26555,University of Kansas,2999081|MS 9:2.19
http://www.wikidata.org/entity/Q131749859,"Lawrence, Kansas, University of Kansas, MS 9:2.20",manuscript containing Service-book,DS6350,Q26557,Q26558,University of Kansas,2999082|MS 9:2.20
http://www.wikidata.org/entity/Q131749860,"Lawrence, Kansas, University of Kansas, MS 9:2.27",manuscript containing Vita Sancti Eudecii,DS6351,Q26560,Q26561,University of Kansas,2999096|MS 9:2.27
http://www.wikidata.org/entity/Q131749861,"Lawrence, Kansas, University of Kansas, MS 9:2.29","manuscript containing Compendium historiae in genealogia Christi, incomplete /",DS6352,Q26563,Q26564,University of Kansas,2999098|MS 9:2.29
http://www.wikidata.org/entity/Q131749862,"Lawrence, Kansas, University of Kansas, MS 9:2.30",manuscript containing Leaf containing the service of the first Tuesday in Lent. Missal,DS6353,Q26566,Q26567,University of Kansas,2999099|MS 9:2.30
http://www.wikidata.org/entity/Q131749863,"Lawrence, Kansas, University of Kansas, MS 9:2.12","manuscript containing Gospel of John, incomplete",DS6354,Q26569,Q26570,University of Kansas,2999111|MS 9:2.12
