row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
34,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.404Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.971Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.914Z",Deeds.,rbgenr,,,
42,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.405Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.975Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Early works to 1800.,,,,
45,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.975Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Endleaves.,lobt,,,
46,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.975Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Envelope flaps (features),lobt,,,
47,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.975Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Envelope flaps.,lobt,,,
48,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.976Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Epic poetry.,gsafd,,,
53,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.976Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Finding tabs.,,,,
54,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.976Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Flap bindings,rbbin,,,
56,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.977Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.915Z",Frame covers.,lobt,,,
57,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:36:01.160Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-05-24T03:38:08.322Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-05-24T03:38:38.730Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-05-24T03:40:11.684Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-05-24T12:26:03.406Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-05-24T12:26:21.977Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-05-24T12:30:30.226Z | GENRE RECON, STEP 7: FINALIZED 2022-05-24T12:35:04.916Z",Full covers.,lobt,,,
