name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Acquired before February 1992 and probably in library for many decades.,former owner,,,,,
"Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
Survived as part of a binding?; probably in library for many decades.,former owner,,,,,
