row_index,workflow_history,material_as_recorded,authorized_label,structured_value
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper""]",paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper and parchment""]",paper|parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper and parchment, color illustrations""]",paper|parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper illustrations""]",paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, color illustrations""]",paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, color illustrations, coats of arms""]",paper,http://vocab.getty.edu/aat/300014109
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, color illustrations, music""]",paper,http://vocab.getty.edu/aat/300014109
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, color, illustrations""]",paper,http://vocab.getty.edu/aat/300014109
11,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, colored illustrations""]",paper,http://vocab.getty.edu/aat/300014109
12,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illumination""]",paper,http://vocab.getty.edu/aat/300014109
13,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illuminations""]",paper,http://vocab.getty.edu/aat/300014109
14,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illustrated""]",paper,http://vocab.getty.edu/aat/300014109
15,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illustrations""]",paper,http://vocab.getty.edu/aat/300014109
16,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illustrations, illuminations""]",paper,http://vocab.getty.edu/aat/300014109
17,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, illustrations, music""]",paper,http://vocab.getty.edu/aat/300014109
18,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, music""]",paper,http://vocab.getty.edu/aat/300014109
19,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, seals""]",paper,http://vocab.getty.edu/aat/300014109
20,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper, tables""]",paper,http://vocab.getty.edu/aat/300014109
21,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""paper.""]",paper,http://vocab.getty.edu/aat/300014109
22,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment""]",parchment,http://vocab.getty.edu/aat/300011851
23,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment (9 paper)""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
24,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment and paper""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
25,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment and paper, color illustrations""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
26,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment and paper, color illustrations, music""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
27,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment and paper, illustrations""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
28,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851
29,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, color""]",parchment,http://vocab.getty.edu/aat/300011851
30,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, color illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
31,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, color illustrations, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851
32,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, color illustrations, maps""]",parchment,http://vocab.getty.edu/aat/300011851
33,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, color illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851
34,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, colored illustration""]",parchment,http://vocab.getty.edu/aat/300011851
35,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
36,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851
37,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, music""]",parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, music, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
39,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""parchment, paper""]",parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
40,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-27T13:54:00.583249600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-07-27T13:54:36.549013800Z","[""wove paper""]",paper,http://vocab.getty.edu/aat/300014109
