row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
994,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.774005200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.101169100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Baldus de Ubaldis,author,,,human,Baldus de Ubaldis,Q504929
998,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.101169100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Barbaro, Francesco 1390-1454.",author,,,human,Francesco Barbaro,Q712032
999,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.101169100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Barberini, Raffaello 1532-1582.",author,,,human,Raffaello Barberini,Q15735630
1005,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus Anglicus,author,,,human,Bartholomeus Anglicus,Q809312
1006,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus Brixiensis,author,,,human,Bartholomew of Brescia,Q809304
1007,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus Carthusiensis,author,,,human,Bartholomäus von Maastricht,Q55132808
1008,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus Oxoniensis,author,,,human,Bartholomew Iscanus,Q4865261
1010,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Chaimis,author,,,human,Bartolomeo Caimi,Q55226197
1011,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Chaimis.,author,,,human,Bartolomeo Caimi,Q55226197
1012,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Pisis,author,,,human,Bartolomeo da Rinonico,Q809391
1013,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),author,,,human,Bartholomew of San Concordio,Q3635444
1014,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Sancto Concordio,author,,,human,Bartholomew of San Concordio,Q3635444
1015,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Sancto Concordio.,author,,,human,Bartholomew of San Concordio,Q3635444
1016,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Saxoferrato,author,,,human,Bartolus de Saxoferrato,Q439050
1017,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomaeus de Vitellensibus,author,,,human,Bartolomeo Vitelleschi,Q374618
1020,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomew of San Concordia c.1260-1347,author,,,human,Bartholomew of San Concordio,Q3635444
1021,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartholomew of San Concordio 1262-1347.,author,,,human,Bartholomew of San Concordio,Q3635444
1022,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Bartholomew, Bishop of Vicenza",author,,,human,Bartholomew of Braganca,Q4865302
1025,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolomeo Cepolla,author,,,human,Bartolomeo Cipolla,Q2932838
1028,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.775004400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolomeo da Ferrara.,author,,,human,Bartolomeo of Ferrara,Q93876431
1030,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolomeu Velho,author,,,human,Bartolomeu Velho,Q265633
1031,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolomé de las Casas,author,,,human,Bartolomé de Las Casas,Q207416
1032,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.102167500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolus de Saxoferrato,author,,,human,Bartolus de Saxoferrato,Q439050
1033,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bartolux de Saxoferrato,author,,,human,Bartolus de Saxoferrato,Q439050
1034,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Barzizza, Gasparino ca. 1360-1431.",author,,,human,Gasparinus de Bergamo,Q1236187
1035,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Basil,author,,,human,Basil of Caesarea,Q44258
1036,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Basil Saint, Bishop of Caesarea ca. 329-379.",author,,,human,Basil of Caesarea,Q44258
1037,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Basil the Great,author,,,human,Basil of Caesarea,Q44258
1038,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Battista Agnese,author,,,human,Battista Agnese,Q612967
1039,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Battista Malatesta,author,,,human,Battista Malatesta,Q4869934
1040,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Baudouin d'Avesnes.,author,,,human,Baldwin of Avesnes,Q466184
1041,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Beccadelli, Antonio 1394-1471.",author,,,human,Antonio Beccadelli,Q599858
1042,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Beda Venerabilis,author,,,human,Bede,Q154938
1043,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bede,author,,,human,Bede,Q154938
1045,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z","Bede the Venerable, Saint 673-735.",author,,,human,Bede,Q154938
1046,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Bede?,author,,,human,Bede,Q154938
1052,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.776003900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.103167800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.451615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Belonged ca. 1870 to John Milne Buckie.,former owner,,,human,John Milne Buckie,Q114242431
1076,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.777004600Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.106166900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.373669600Z",Belonged to Charles Sumner (1811-1874).,former owner,,,human,Charles Sumner,Q1066198
1120,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.778004300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.107167600Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.202825500Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to George Dunn (1864-1912).,former owner,,,human,George Dunn,Q5538678
1136,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.778004300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.108164800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to James Melville Hunnewell (1879-1954).,former owner,,,human,James Melville Hunnewell,Q105743174
1155,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.778004300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.108164800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to Otto Heinrich Friederich Vollbehr (1869-1945/1946?).,former owner,,,human,Otto Vollbehr,Q23906104
1157,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.778004300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.108164800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to Paolo Guerrini (1880-1960).,former owner,,,human,Paolo Guerrini,Q61476535
1162,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.778004300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.109166700Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to Renato Piattoli (1906-1974).,former owner,,,human,Renato Piattoli,Q16595519
1166,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.779005400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.109166700Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.705674Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to Rosamond Bowditch Loring (1889-1950).,former owner,,,human,Rosamond B. Loring,Q60402722
1208,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.779005400Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.110167900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.706678900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.203824400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.452614800Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.374662800Z",Belonged to Thomas E. Marston (date and place of his acquisition not recorded).,former owner,,,human,Thomas E. Marston,Q114666017
