row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
661,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.089167900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.703428Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Adam, magister",author,,,human,Adamo,Q21548167
668,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.089167900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.703428Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Adolfus von Wien 14th cent.,author,,,human,Adolf von Wien,Q364908
671,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.089167900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.703428Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aegidius Carlerii,author,,,human,Gilles Carlier,Q115217720
672,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.703428Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aegidius Columna (Aegidius Romanus),author,,,human,Giles of Rome,Q380647
673,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.703428Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aegidius Romanus,author,,,human,Giles of Rome,Q380647
674,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.766004700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aegidius de Fuscarariis,author,,,human,Egidio Foscarari,Q41569530
675,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aegidius of Paris (Aegidius Parisiensis),author,,,human,Gilles de Paris,Q5355
676,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aelfric,author,,,human,Ælfric of Eynsham,Q271377
677,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aelfric Abbot of Eynsham.,author,,,human,Ælfric of Eynsham,Q271377
678,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aelian 3rd cent.,author,,,human,Aelian,Q313782
