row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.108762300Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.430793600Z",,undetermined,http://vocab.getty.edu/tgn/7544559
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.431796Z",Aachen,Aachen,http://vocab.getty.edu/tgn/7004799
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Ancona,Ancona,http://vocab.getty.edu/tgn/7003980
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Ancona (Italy),Ancona|Italy,http://vocab.getty.edu/tgn/7003980|http://vocab.getty.edu/tgn/1000080
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z","Andenne, Belgium",Andenne|Belgium,http://vocab.getty.edu/tgn/7007854|http://vocab.getty.edu/tgn/1000063
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Arles,Arles,http://vocab.getty.edu/tgn/7008775
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.472014600Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z","Arras, France",Arras|France,http://vocab.getty.edu/tgn/7008468|http://vocab.getty.edu/tgn/1000070
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.473015200Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Arroya,Castile-Leon,http://vocab.getty.edu/tgn/7001158
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.473015200Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.473015200Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Austria or Southern Germany,Austria|South Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/4004316
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-02T22:36:45.110761200Z | PLACE RECON, STEP 3: START RECON 2023-01-02T22:42:20.721671800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-01-02T22:51:28.473015200Z | PLACE RECON, STEP 6: FINALIZED 2023-01-03T20:15:22.433794Z",Avignon,Avignon,http://vocab.getty.edu/tgn/7008799
