row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.973549100Z",Books of hours--France.,,Books of hours|France,http://id.worldcat.org/fast/836484|http://id.worldcat.org/fast/1204289
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.977548700Z",Books of hours.,,Books of hours,http://id.worldcat.org/fast/836484
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.977548700Z",Breviary--Texts.,,Breviaries|Texts,http://id.worldcat.org/fast/838495|http://id.worldcat.org/fast/1423705
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.977548700Z",Catholic Church--Liturgy--Texts.,,Catholic Church|Liturgics|Texts,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1000579|http://id.worldcat.org/fast/1423705
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.977548700Z",Catholic Church--Prayers and devotions--Latin.,,Catholic Church|Prayers and devotions|Latin language,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1423909|http://id.worldcat.org/fast/993125
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.535249300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.978547500Z",Catholic Church.,,Catholic Church,http://id.worldcat.org/fast/531720
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.536250400Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.978547500Z",Christian saints--Italy--Assisi--Biography.,,Christian saints|Italy|Italy--Assisi|Biographies,http://id.worldcat.org/fast/859491|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1206046|http://id.worldcat.org/fast/1919896
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.536250400Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.978547500Z",Christian saints.,,Christian saints,http://id.worldcat.org/fast/859491
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.536250400Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.978547500Z","Cibo, Alderano, 1613-1700--Relics.",,"Cibo, Alderano, 1613-1700|Relics",http://id.worldcat.org/fast/1551617|http://id.worldcat.org/fast/1093664
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-02-27T18:26:30.671258Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-02-27T18:27:18.226786300Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:27:38.477835600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-02-27T18:28:36.916509200Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:29:26.536250400Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-02-27T18:30:33.225677Z | KNOWN SUBJECT RECON APPLIED 2023-02-27T18:31:51.830792600Z | SUBJECT RECON, STEP 12: FINALIZED 2023-02-27T18:38:33.978547500Z","Cibo, Alderano, 1613-1700.",,"Cibo, Alderano, 1613-1700",http://id.worldcat.org/fast/1551617
