title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
A Myrour to lewde men and wymmen,,,,A Myrour to Lewde Men and Wymmen
A dream of bounden dutie,,,,A Dream of Bounden Dutie
Abscondita naturae,,,,Abscondita naturae
Acciaiuoli family correspondence,,,,Family documents
Account book,,,,Account book
Account book and record of transactions,,,,Account book
Account book of Vincenzo Spada,,,,Account book
Account of payments,,,,Account book
Adam Luce Dominici deed of sale,,,,Deed
Alamanno Taviani power of attorney,,,,Power of attorney
Alchemical compendium,,,,"Alchemical miscellany
"
Alchemical miscellany,,,,Alchemical miscellany
Aldobrando Delci power of attorney,,,,Power of attorney
Alessandri family power of attorney,,,,Power of attorney
Algorismus,,,,Algorismus
Algorismus ... etc,,,,Algorismus
Alphabetical index to Medici (?) account book,,,,Account book
Alphabetum malarum mulierum ... etc,,,,Alphabetum malarum mulierum
Andrea Amadio botanical illustrations,,,,Illustrations
Andrea di Nanni Todeschini Piccolomini legal document,,,,Legal documents
Andrea di Sommariva power of attorney,,,,Power of attorney
Angiola Pagani power of attorney,,,,Power of attorney
Annotata in libellos Aristotelis Parva naturalia appellatos,,,,Parva naturalia;Commentary on Parva naturalia
Annotated copy of Tacitus' Germania,,,,Germania
Annotated copy of Terence's works,,,,Commentary on Terence
Antiphonary,,,,Antiphonary
Antiphonary and lectionary,,,,Antiphonary;Lectionary
Antiphonary fragment,,,,Antiphonary
Antiphonary fragments,,,,Antiphonary
Antonio Acciaioli will,,,,Will
Antonio Cilli deed,,,,Deed
Antonio Cocchi Donati will,,,,Will
Antonio Mannucci power of attorney,,,,Power of attorney
Antonio de' Grifoni power of attorney,,,,Power of attorney
Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi
Apparatus domini Bernardi Raymundi in sexto libro decretalium,,,,Decretales Gregorii IX
Arcangelo Paffiere will,,,,Will
Arrigucci family papers,,,,Family documents
Ascanio Maria Sforza notarial document,,,,Notarial documents
Ascetic miscellany,,,,Ascetic miscellany
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese m'lingua italiana, de ordine dela serenissimo ducal signoria de Venetia /",,Livre des assises,,Livre des assises
Assizes of Romania,,Liber consuetudinum Imperii Romaniae.,,Liber consuetudinum Imperii Romaniae
Astronomical and astrological tables,,,,Astronomy
Astronomical anthology,,,,Astronomy
Astronomical compendium,,,,Astronomy
Astronomical fragments,,,,Astronomy
Astronomical treatises and tables,,,,Astronomy
Astronomy lecture notes,,,,Astronomy
Aurora,,,,Aurora
Bartolomea Villani deed,,,,Deed
Bartolomeo di Piero power of attorney,,,,Power of attorney
Bellum Catilinae,,,,De coniuratione Catilinae
Benedetto degli Armaleoni power of attorney,,,,Power of attorney
Benedictiones episcopales ... etc,,,,Benedictiones episcopales
Bernardo di Ventura power of attorney,,,,Power of attorney
Bertin family documents,,,,Family documents
Betta Giubbettari power of attorney,,,,Power of attorney
Bible,,Bible.,,Bible
Bible leaf,,Bible.,,Bible
Biblia,,Bible.,,Bible
Biblia sacra,,Bible.,,Bible
Biblia sacra manuscripta,,Bible.,,Bible
Bifolium from Liber completus in iudiciis stellarum,,Bāriʻ fī aḥkām al-nujūm.,,Bāriʻ fī aḥkām al-nujūm
Bishop of Osma legal instrument,,,,Legal documents
Blancandin et l'Orgueilleuse d'Amour,,Blancandin.,,Blancandin
Book of Hours,,,,Book of hours
Book of deeds to various territorial acquisitions,,,,Deed
Book of hours,,,,Book of hours
Book of hours bifolium,,,,Book of hours
Book of hours leaf,,,,Book of hours
Books II-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Books III-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Brancacci family documents,,,,Family documents
Breviary,,,,Breviary
Breviary collages,,,,Breviary
Breviary fragments,,,,Breviary
Breviary fragments,,Breviary (Salisbury),,Breviary
Breviary leaf,,,,Breviary
Bruno Burelli power of attorney,,,,Power of attorney
Buch von den probierten Künsten,,,,Buch von den probierten Künsten
Bulla Leonis X cum insertis Eugenii in Concilio Florentino,,,,Bull
Bullae Sanctorum Pontificum,,,,Bull
Bullarium Augustinianum,,,,Bull
Buonanno de' Malecarni power of attorney,,,,Power of attorney
Camera della Biccherna legal document,,,,Legal documents
Canon law miscellany,,,,Canon law
Canzoniere,,,,Canzoniere
Carmen paschale,,Paschale carmen,,Paschale carmen
Carretto family papers,,,,Family documents
Carta executoria de hidalguia a pedimiento,,,,Carta executoria de hidalguia
"Carta executoria de hidalguia a pedimiento de Rrodrigo Calera, vezino de Villarrobledo",,,,Carta executoria de hidalguia
Cartolarii /,,,,Cartulary
Cartulary,,,,Cartulary
Caterina Buonaventura power of attorney,,,,Power of attorney
Cecco di Nardo deed,,,,Deed
Cenni Pagliaiolo power of attorney,,,,Power of attorney
Chant book,,,,Chant book
Checca Serotini power of attorney,,,,Power of attorney
Choir psalter gatherings,,,,Psalter
Chronicle,,,,Chronicle
Cistercian liturgical psalter,,,,Psalter
Ciulla Casini power of attorney,,,,Power of attorney
