name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Archer, Michell",author,,,human,Michell Archer,Q116236850
Ardillonius,scribe,,,human,Ardillonius,Q116235905
"Aresty, Esther Bradford",former owner,,,human,Esther Bradford Aresty,Q18619001
"Aretino, Pietro, 1492-1556",author,,http://id.loc.gov/authorities/names/n79089193,human,Pietro Aretino,Q296272
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182,human,Aristotle,Q868
Arles (France),author,,http://id.loc.gov/authorities/names/n79089381,organization,Arles,Q48292
"Armellini Medici, Francesco de', Cardinal, 1470-1527",author,,,human,Francesco Armellini Pantalassi de' Medici,Q2374621
"Arnoul, de Bohéries, 12th century",author,,,human,Arnulf of Bohéries,Q88017720
Arrigucci family,author,,,organization,Arrigucci family,Q116712171
"Arrigucci, Federico",author,,,human,Federico Arrigucci,Q116235914
"Arte della lana (Guild : Florence, Italy)",author,,http://id.loc.gov/authorities/names/nr94031062,organization,Wool Guild,Q542935
"Ascherson, C. S",former owner,,,human,Charles Stephen Ascherson,Q51376234
"Ashburner, Walter, 1864-1936",former owner,,http://id.loc.gov/authorities/names/n84056231,human,Walter Ashburner,Q52155775
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104
"Ashkenazi, Peretz ben Yehuda Mintz",former owner,,,human,Peretz ben Yehuda Mintz Ashkenazi,Q116250351
"Assemani, Antonio",former owner,,,human,Antonio Assemani,Q116250586
"Astarābādī, ʻAlī ibn Kamāl al-Dīn Maḥmūd",scribe,استرابادي، علي بن كمال الدين محمود،,,human,ʻAlī ibn Kamāl al-Dīn Maḥmūd Astarābādī,Q116250121
"Augustine, of Hippo, Saint, 354-430",author,,http://id.loc.gov/authorities/names/n80126290,human,Augustine of Hippo,Q8018
Augustinians,author,,http://id.loc.gov/authorities/names/n80119539,organization,Augustinians,Q29075
Augustinus de Leonissa,author,,,human,Augustinus de Leonissa,Q112416909
"Augustus Frederick, Prince, Duke of Sussex, 1773-1843",former owner,,http://id.loc.gov/authorities/names/n82220757,human,"Prince Augustus Frederick, Duke of Sussex",Q375467
"Auzina, Francisco",author,,,human,Francisco Auzina,Q116250558
"Averroës, 1126-1198",author,,http://id.loc.gov/authorities/names/n81027798,human,Averroes,Q39837
"Avicenna, 980-1037",author,,http://id.loc.gov/authorities/names/n80002386,human,Avicenna,Q8011
"Avicenna, 980-1037",author,"ابن سينا, 980-1037",http://id.loc.gov/authorities/names/n80002386,human,Avicenna,Q8011
"Avicenna, 980-1037",author,ابن سينا، 980-1037,http://id.loc.gov/authorities/names/n80002386,human,Avicenna,Q8011
"Ayala, Diego de, active 1576-1578",former owner,,http://id.loc.gov/authorities/names/no2016085800,human,Diego de Ayala,Q116250459
"Babthorpe, William",former owner,,,human,William Babthorpe,Q8004899
"Baghdādī, Muḥammad ibn ʻAbd Allāh ibn al-Mujill",scribe,بغدادي، محمد بن عبد الله بن المجل،,,human,Muḥammad ibn ʻAbd Allāh ibn al-Mujill Baghdādī,Q116250606
Bagnano family,author,,,organization,Bagnano family,Q116730914
"Baier, Johann David",former owner,,,human,Johann David Baier,Q55674108
"Balbi, Jacobus",author,,,human,Jacobus Balbi,Q116250637
"Baldovinetti, Giovanni",former owner,,,human,Giovanni Baldovinetti,Q116065836
"Balthasar, de Piscia, 15th century",author,,,human,Balthasar de Piscia,Q116250665
"Barnston, H. Charles",former owner,,,human,H. Charles Barnston,Q116250696
"Barrois, Joseph, approximately 1785-1855",former owner,,http://id.loc.gov/authorities/names/nr97040610,human,Joseph Barrois,Q97783947
"Bartholomaeus, Anglicus, active 13th century",author,,http://id.loc.gov/authorities/names/n81078877,human,Bartholomew Anglicus,Q809312
"Bartholomeus, de Vitellensibus de Corneto",author,,,human,Bartholomeus de Vitellensibus de Corneto,Q116250675
"Bartholomew, Bishop of Vicenza, approximately 1200-1270",author,,http://id.loc.gov/authorities/names/nr2001016327,human,Bartholomew of Braganca,Q4865302
"Bartolomeo da San Miniato, Bartolomeo di",author,,,human,Bartolomeo di Bartolomeo da San Miniato,Q116250707
"Bartolomeus, de Velo Luxiane",scribe,,,human,Bartolomeus de Velo Luxiane,Q116250761
Batide Rolande,author,,,human,Batide Rolande,Q116250776
"Baugh, Albert C. 1891-1981",former owner,,http://id.loc.gov/authorities/names/n50005429,human,Albert C. Baugh,Q4709851
"Bayard, Jean",author,,http://id.loc.gov/authorities/names/n2008072938,human,Jean Bayard,Q116066006
"Bayle, H",former owner,,,human,H. Bayle,Q116172472
"Bedford, John Plantagenet, Duke of, 1389-1435",author,,http://id.loc.gov/authorities/names/nr94011215,human,"John of Lancaster, 1st Duke of Bedford",Q348441
"Beer, John T. approximately 1826-1903",former owner,,http://id.loc.gov/authorities/names/nr93022576,human,John Thomas Beer,Q116250783
"Beltamino, Joannes Thomas",author,,,human,Joannes Thomas Beltamino,Q116250805
Benedictines,author,,http://id.loc.gov/authorities/names/n81012408,organization,Benedictines,Q131132
Benediktinerstift Lambach,former owner,,http://id.loc.gov/authorities/names/n91000117,organization,Lambach Abbey,Q315889
"Benoît, de Sainte-More, active 12th century",author,,http://id.loc.gov/authorities/names/n80038172,human,Benoît de Sainte-Maure,Q435578
"Beraldus, Antonius",author,,,human,Antonius Beraldus,Q116250797
"Beresford-Jones, Duncan",former owner,,,human,Duncan Beresford-Jones,Q116250128
"Bergin, Thomas Goddard, 1904-1987",former owner,,http://id.loc.gov/authorities/names/n50007481,human,Thomas G. Bergin,Q1725378
"Berio, Francesco Maria, marchese di Salza, 1765-1820",former owner,,http://id.loc.gov/authorities/names/nr88008669,human,Francesco Berio di Salsa,Q21001104
"Bernardinis, Martino",scribe,,,human,Martino Bernardinis,Q116066224
"Bernardo, Francesco",author,,,human,Francesco Bernardo,Q116172487
"Bernardus, Paschualis",author,,,human,Paschualis Bernardus,Q116250824
"Berry, Jean de France, duc de, 1340-1416",author,,http://id.loc.gov/authorities/names/n50007562,human,"John, Duke of Berry",Q346761
"Bersuire, Pierre, approximately 1290-1362",author,,http://id.loc.gov/authorities/names/no99062512,human,Pierre Bersuire,Q1370726
Bertin family,author,,,organization,Bertin family,Q116730924
"Bertini, Francesco",author,,,human,Francesco Bertini,Q116172416
Bet din tsedeḳ London ṿeha-medinah (Great Britain),former owner,,http://id.loc.gov/authorities/names/nr97024203,organization,Bet din tsedeḳ London ṿeha-medinah,Q116694897
"Betham, William, Sir, 1779-1853",former owner,,http://id.loc.gov/authorities/names/n85077084,human,William Betham,Q8005506
"Bethencourt, Sarrazius de",author,,,human,Sarrazius de Bethencourt,Q116268686
"Biagio, Oddo di",author,,,human,Oddo di Biagio,Q116250877
Biblioteca Malvezzi-Medici,former owner,,,organization,Malvezzi de' Medici,Q116694909
Biblioteca apostolica vaticana,former owner,,http://id.loc.gov/authorities/names/n80050101,organization,Vatican Library,Q213678
"Bicknacre Priory (Essex, England)",author,,,organization,Bicknacre Priory,Q4903689
"Bingham, Geffrey de",author,,,human,Geffrey de Bingham,Q116269440
"Biondi, Giuseppe, 1537-1598",author,,http://id.loc.gov/authorities/names/nr94036708,human,Giuseppe Biondi,Q62401783
"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048",author,بيروني، محمد بن احمد، 973?-1048,http://id.loc.gov/authorities/names/n80014376,human,Al-Biruni,Q11826
"Blarer, Jacques-Christophe, de Wartensee, 1542-",author,,http://id.loc.gov/authorities/names/nb99161676,human,Jakob Christoph Blarer von Wartensee,Q116949
"Block, Gordon A., Jr., 1914-1973",former owner,,http://id.loc.gov/authorities/names/no2019036866,human,Gordon A. Block Junior,Q113817555
Blois (France : County). Noblesse,author,,http://id.loc.gov/authorities/names/no92011243,organization,House of Blois,Q1590002
"Blondet, André",author,,,human,André Blondel de Rocquencourt,Q2847321
"Blum, Herman, 1884-",former owner,,http://id.loc.gov/authorities/names/n85240643,human,Herman Blum,Q116269457
"Boccaccio, Giovanni, 1313-1375",author,,http://id.loc.gov/authorities/names/n78087605,human,Giovanni Boccaccio,Q1402
"Bodeck, Nicholai von, 17th century",former owner,,,human,Nicholai von Bodeck,Q116269466
"Boethius, -524",author,,http://id.loc.gov/authorities/names/n79029805,human,Boethius,Q102851
Bohemia (Kingdom). Sovereign (1526-1564 : Ferdinand I),author,,http://id.loc.gov/authorities/names/n82050984,organization,Kingdom of Bohemia,Q42585
"Boltz, Valentin, -1560",author,,http://id.loc.gov/authorities/names/nr2006028760,human,Valentin Boltz,Q2508243
"Boncompagni, Baldassarre, 1821-1894",former owner,,http://id.loc.gov/authorities/names/n84804080,human,Baldassarre Boncompagni,Q680832
"Bondonus, Ludovicus",author,,,human,Ludovicus Bondonus de Branchis,Q116269474
"Bonet, Honoré, active 1378-1398",author,,http://id.loc.gov/authorities/names/n87878545,human,Honoré Bonet,Q570021
"Bonius, Antonio de",former owner,,,human,Antonio de Bonius,Q116269481
"Bonyngton, William",author,,,human,William Bonyngton,Q116269498
"Bordon, Benedetto, 1450-1530",illuminator,,http://id.loc.gov/authorities/names/n83319255,human,Benedetto Bordone,Q2041910
Borgia (Family : active 14th century-18th century),author,,http://id.loc.gov/authorities/names/no2013080085,organization,House of Borgia,Q237599
"Borgia Lanzol de Romaní, Pietro Lodovico, Cardinal, 1417-1511",author,,,human,Pedro Luis de Borja Lanzol de Romaní,Q2034112
"Borough, John, -1386",author,,http://id.loc.gov/authorities/names/nr93013476,human,John Burgh,Q18530204
"Borve, Adrien de le",author,,,human,Adrien de le Borve,Q116269505
"Bourne, William, approximately 1535-1582",author,,http://id.loc.gov/authorities/names/n80123360,human,William Bourne,Q3568450
"Bouter, Samuell",former owner,,,human,Samuell Bouter,Q116269834
"Braco, Petrus de, -approximately 1352",author,,,human,Petrus de Braco,Q116040900
Bragadin family,author,,,organization,Bragadìn,Q2923529
"Bremlen, Gaspardus, Governor",author,,,human,Gaspardus Bremlen,Q116269822
"Brooke, Thomas, -1439",author,,,human,Thomas Brooke,Q26265611
Brousses (Seigneury),author,,,organization,Seigneury de Brousses,Q116694949
"Bullinger, Heinrich, 1504-1575",author,,http://id.loc.gov/authorities/names/n80045117,human,Heinrich Bullinger,Q123839
"Burchard, of Mount Sion, -1285",author,,http://id.loc.gov/authorities/names/n2004063569,human,Burchard of Mount Sion,Q4998199
"Burdet, Richard",author,,,human,Richard Burdet,Q116172504
Burg Kreuzenstein (Austria),former owner,,,organization,Burg Kreuzenstein,Q669642
"Burgueño, Juan",former owner,,,human,Juan Burgueño,Q116250142
"Burgueño, Julian",former owner,,,human,Julian Burgueño,Q116269844
"Burr, Charles W. 1861-1944",former owner,,http://id.loc.gov/authorities/names/n85800274,human,Charles Walts Burr,Q116250718
"Butlar, John",former owner,,,human,John Butlar,Q116269857
"Cabanier, Dieudonné, 14th century",author,,,human,Dieudonné Cabanier,Q116269853
Cacciacomes family,author,,,organization,Cacciacomes,Q116730957
Caesareum Societatis Jesu Collegium Viennense,former owner,,http://id.loc.gov/authorities/names/n96045386,organization,Caesareum Societatis Jesu Collegium Viennense,Q116710545
"Calvi, Sebastiano, 17th century",former owner,,,human,Sebastiano Calvi,Q116269862
"Canal, Bernardo",author,,,human,Bernardo Canal,Q116172546
Cancon (France),author,,,organization,Cancon,Q1063738
"Canonici, Matteo Luigi, 1727-1805",former owner,,http://id.loc.gov/authorities/names/nr98044437,human,Matteo Luigi Canonici,Q55226394
Canons Regular of Urgel,author,,,organization,Canons Regular of Urgel,Q116694928
"Carafa, Carlo, approximately 1517-1561",author,,http://id.loc.gov/authorities/names/nr94043884,human,Carlo Carafa,Q1041979
