subject_as_recorded,source_authority_uri,authorized_label,structured_value
Abbots--Early works to 1800,,Abbots,http://id.worldcat.org/fast/794221
Accounting--France--14th century,,Accounting|France|Fourteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/933420
Adriatic Sea,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
Advaita,,Advaita,http://id.worldcat.org/fast/797410
Advaita--Early works to 1800,,Advaita,http://id.worldcat.org/fast/797410
Agriculture--Early works to 1800,,Agriculture,http://id.worldcat.org/fast/801355
Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
Alchemy--Early works to 1800,,Alchemy,http://id.worldcat.org/fast/804245
Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134
Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
Animal culture--Early works to 1800,,Animal culture,http://id.worldcat.org/fast/809131
Antiquities,,Antiquities,http://id.worldcat.org/fast/810745
Aqueducts--Italy--Rome--Early works to 1800,,Aqueducts|Italy|Italy--Rome,http://id.worldcat.org/fast/812149|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204500
Arab countries,,Arab countries,http://id.worldcat.org/fast/1240128
Arab logic--Early works to 1800,,Arab logic,http://id.worldcat.org/fast/1748003
Arabic language--Dictionaries--Turkish,,Arabic language|Dictionaries|Turkish language,http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423826|http://id.worldcat.org/fast/1159411
"Arabic language--Glossaries, vocabularies, etc.--Early works to 1800",,"Arabic language|Glossaries, vocabularies, etc.",http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423786
Arabic language--Grammar,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Grammar--Early works to 1800,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Versification--Early works to 1800,,Arabic language--Versification,http://id.worldcat.org/fast/812458
Arabic literature--Miscellanea--Early works to 1800,,Arabic literature|Miscellanea,http://id.worldcat.org/fast/812478|http://id.worldcat.org/fast/1353832
Arabic poetry--750-1258,,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry--Early works to 1800,,Arabic poetry,http://id.worldcat.org/fast/812533
Arithmetic,,Arithmetic,http://id.worldcat.org/fast/814484
Arithmetic--Early works to 1900,,Arithmetic,http://id.worldcat.org/fast/814484
Artillery--Early works to 1800,,Artillery,http://id.worldcat.org/fast/817490
Artillery--History,,Artillery|History,http://id.worldcat.org/fast/817490|http://id.worldcat.org/fast/1411628
Astrolabes--Early works to 1800,,Astrolabes,http://id.worldcat.org/fast/819392
Astrolabes--Islamic Empire,,Astrolabes|Islamic Empire,http://id.worldcat.org/fast/819392|http://id.worldcat.org/fast/1244134
