ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,"",Q21578,Princeton University,99114545413506421,30.1,https://catalog.princeton.edu/catalog/99114545413506421,"","","","",300-499,300^499,4;5,http://vocab.getty.edu/aat/300404496;http://vocab.getty.edu/aat/300404497,,Bible.,"","New Testament. Gospel of St. Matthew and a bilingual Greek/Coptic text, Doxology V 1-39","","Bible, New Testament","","","","Manuscripts, Greek--New Jersey--Princeton|Coptic manuscripts--New Jersey--Princeton",http://id.worldcat.org/fast/1008349;http://id.worldcat.org/fast/1204939|http://id.worldcat.org/fast/1734594;http://id.worldcat.org/fast/1204939,"Manuscripts, Greek;New Jersey--Princeton|Coptic manuscripts;New Jersey--Princeton","","","","","","","","","","","","","","","","","","",,,,,,,mul|grc|cop,||Q36155,||Coptic,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 14 lines per page (Coptic); 13 lines per page Greek/Coptic parchment 11.9 x 10.1 cm,"fol. 1a: upper margin - 1 cm; lower margin - 2 cm; left margin - 1.3 cm; right margin - 2.5 cm .|Provenance unknown (the dialect of the text suggests Oxyrhynchus), IV/V A.D|Greek.",,2023-11-08 07:45:52 -0500,2023-01-25,20230928-princeton-marcxml-scheide.xml
,,,marc-xml,"",Q21578,Princeton University,99114545893506421,Scheide M96B,https://catalog.princeton.edu/catalog/99114545893506421,"","","","",600-799,600^799,7;8,http://vocab.getty.edu/aat/300404499;http://vocab.getty.edu/aat/300404500,,"","",Letter with monastic connections,"",Letter,"","","",Coptic manuscripts (Papyri)--New Jersey--Princeton,http://id.worldcat.org/fast/1735635;http://id.worldcat.org/fast/1204939,Coptic manuscripts (Papyri);New Jersey--Princeton,"","","","","","","","","","","","","","","","","","",,,,,,,cop,Q36155,Coptic,"","","","","","",papyrus,http://vocab.getty.edu/aat/300014127,papyrus,Extent: 6 lines papyrus 6.0 x 17 2.0 cm,"Text is written against the fibers. An address and a design on the back.|Provenance unknown, VII-VIII A.D|Coptic.",,2023-11-08 07:45:52 -0500,2020-10-14,20230928-princeton-marcxml-scheide.xml
,,,marc-xml,"",Q21578,Princeton University,99114545983506421,Scheide M96B,https://catalog.princeton.edu/catalog/99114545983506421,"","","","",600-799,600^799,7;8,http://vocab.getty.edu/aat/300404499;http://vocab.getty.edu/aat/300404500,,"","",Letter,"",Letter,"","","",Coptic manuscripts (Papyri)--New Jersey--Princeton,http://id.worldcat.org/fast/1735635;http://id.worldcat.org/fast/1204939,Coptic manuscripts (Papyri);New Jersey--Princeton,"","","","","","","","","","","","","","","","","","",,,,,,,cop,Q36155,Coptic,"","","","","","",papyrus,http://vocab.getty.edu/aat/300014127,papyrus,Extent: 6 lines papyrus 6.0 x 17 2 cm,"Front (letter) text is written against the fibers. Approximately one half of the letter (the left half) extant. Back has seal-like design and remains of address. Sender is a deacon named Apabêsalôm (or Apa Abêsalom; cf. Preisigke, Namenbuch, ""Abisalôm,"" ""Abesalôm.""). Recipient is described as sender's ""brother"" (no doubt in the broad religious sense). A monastêrion is mentioned.|Provenance unknown, VII-VIII A.D|Coptic.",,2023-11-08 07:45:52 -0500,2020-10-14,20230928-princeton-marcxml-scheide.xml
,,,marc-xml,rda,Q21578,Princeton University,9918489943506421,K1920.9/7554,https://catalog.princeton.edu/catalog/9918489943506421,https://figgy.princeton.edu/concern/scanned_resources/7c467a4f-90f7-414b-83fc-c568cf04fce5/manifest,Korea,http://vocab.getty.edu/tgn/7059230,Korea,between 1647 and 1899,1647^1899,17;18;19,http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,"","",Tansŏ chinam : Pukch'ang pigyŏl /,丹書 指南 :,"","","","",Taoism--Korea|Taoist philosophy,http://id.worldcat.org/fast/1142920;http://id.worldcat.org/fast/1206434|http://id.worldcat.org/fast/1754627,Taoism;Korea|Taoist philosophy,"Chŏng, Ryŏm, 1506-1549","정 렴, 1506-1549","",Q122949198,human,Ryŏm Chŏng,"","","","","","","","","","","","",,,,,,,Text in Korean,Q9176,Korean,"","","","","","","","","",Extent: 1 volume (60 double leaves) ; 25 cm,Ryŏm: U+78CF.,,2023-11-05 10:32:49 -0500,2022-12-18,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9930958943506421,QM21 .K38,https://catalog.princeton.edu/catalog/9930958943506421,https://figgy.princeton.edu/concern/scanned_resources/cb0c8da1-9349-46e0-8893-924ea53e527f/manifest,"","","",Kyōwa jinjutsu 1802,1802^1756,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,"","",Kaishihen /,解屍編 /,Kaishihen,"","","",Human anatomy--Japan|Moxa--Japan,http://id.worldcat.org/fast/962785;http://id.worldcat.org/fast/1204082|http://id.worldcat.org/fast/1028556;http://id.worldcat.org/fast/1204082,Human anatomy;Japan|Moxa;Japan,"Kawaguchi, Shinnin, 1736-1811","河口信任, 1736-1811","",Q9336056,human,Shinnin Kawaguchi,"","","","","","","","","","","","",,,,,,,jpn,Q5287,Japanese,"","","","","","",ill.,"","",Extent: 32 leaves : ill. ; 23 cm.,"Cover title.|""Yamaji Tadaichi zōsho"" -- leaf 13.|On double leaves, oriental style.|Ms. reproduction (1st work). Original pref. dated: 1771.|Ms. reproduction (2nd work). Original pref. dated: 1756.",,2023-11-05 10:32:49 -0500,2022-04-19,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9931178643506421,Oversize BQ4240 .P72q,https://catalog.princeton.edu/catalog/9931178643506421,"",S.l.,"","",between 1185-1333.,1185^1333,12;13;14,http://vocab.getty.edu/aat/300404504;http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,,Pratītyasamutpãdasūtra.,"",Engi shōdōkyō /,緣起聖道経 /,Yuánqǐ shèng dào jīng,"","","",Pratītyasamutpāda|Buddhism--Doctrines|Causation,http://id.worldcat.org/fast/1074673|http://id.worldcat.org/fast/840040|http://id.worldcat.org/fast/849829,Pratītyasamutpāda|Buddhism--Doctrines|Causation,"","","","","","","","","","","","","","","","","","",,,,,,,chi,Q7850,Chinese,"","","","","","","","","",Extent: 1 scroll ; 24 cm.,"Caption title.|Ms.|""Kamakura shoki sha""-- Cover of box.|In box 30 cm.",,2023-11-05 10:32:49 -0500,2022-12-16,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9931497843506421,BQ1881 .D34 1265,https://catalog.princeton.edu/catalog/9931497843506421,"","","","",Bunʼei 2-Kagen 2 1265-1304,1265^1304,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,,Tripiṭaka.,"",Daihannya haramitakyō /,大般若波羅蜜多經 /,Tripiṭaka,Sacred works,http://id.worldcat.org/fast/1923249,Sacred works,Mahayana Buddhism--Sacred books,http://id.worldcat.org/fast/1005985,Mahayana Buddhism--Sacred books,"","","","","","","","","","","","","","","","","","",,,,,,,chi|jpn,|Q5287,|Japanese,"","","","","","","","","",Extent: 32 v. ; 26 cm.,"Caption title.|Ms.|Accordion binding.|Vols (27-28, 30), (32-35), (37-39), (41-42, 45-47), (53-55, 57, 69) in 5 cases, cataloged around 1990.|Vols. 48, 73, 77, 80, 154, 227, 416, 473, 508, 556, 575 acquired around 2/11/1988 from Rudolph, Richard C (1909-2003) as book list number 4, cataloged on 6/28/2011.",,2023-11-05 10:32:49 -0500,2020-08-24,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9931588883506421,Oversize BQ1881 .D34 1238q,https://catalog.princeton.edu/catalog/9931588883506421,"",Ōmi no kuni Takashima-gun,http://vocab.getty.edu/tgn/8743324,Takashima-shi,Katei 4 1238,1238,13,http://vocab.getty.edu/aat/300404505,,Tripiṭaka.,"",Daihannya haramitakyō.,大般若波羅蜜多經.,Tripiṭaka,Sacred works,http://id.worldcat.org/fast/1923249,Sacred works,Mahayana Buddhism--Sacred books,http://id.worldcat.org/fast/1005985,Mahayana Buddhism--Sacred books,"","","","","","","","","","","","","","","","","","",,,,,,,chi,Q7850,Chinese,"","","","","","","","","",Extent: 83 p. ; 30 cm.,"Caption title.|Ms.|Accordion binding, in box.",,2023-11-05 10:32:49 -0500,2022-12-20,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9931783953506421,3263/0.83,https://catalog.princeton.edu/catalog/9931783953506421,"",Beijing,http://vocab.getty.edu/tgn/7001758,Beijing,Qing Qianlong 46 nian i.e. 1781,1781,18,http://vocab.getty.edu/aat/300404512,,"","",Qin ding Rehe zhi : yi bai er shi juan /,欽定熱河志 :,"","","","",Chengde (China)--History|Shi bu--Di li lei--Fang zhi,http://id.worldcat.org/fast/1303653;http://id.worldcat.org/fast/958235|,China--Chengde;History|,"","","","","","","","","","","","","","","","","","",,,,,,,chi,Q7850,Chinese,"","","","","","",ill.,"","",Extent: 40 v. : ill. ; 28 cm.,"Library's copy imperfect: juan 1-14, 21-22, 25-34, 36-37, 39, 41, 44-46, 49-53, 56-57, 67-77, 79-80, 84-85, 94, 119-120 in manuscript.|In 8 cases.|Shen: Unicode value 73C5.",,2023-11-05 10:32:49 -0500,2023-01-25,20230928-princeton-marcxml-eastasian.xml
,,,marc-xml,"",Q21578,Princeton University,9935983413506421,N9101/1715 vol.2793-2798,https://catalog.princeton.edu/catalog/9935983413506421,"","","","","Edo, between 1600 and 1868",1600^1868,17;18;19,http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,Works.,"",Taibai yuan gao : shi san juan /,太白原藁 :,"","","","",Ji bu--Bie ji lei--Ming,"","","Liu, Jingshao, 1517-1578","劉景韶, 1517-1578","",Q45672380,human,Liu Jinghao,"","","","","","","","","","","","",,,,,,,chi,Q7850,Chinese,"","","","","","","","","",Extent: 6 v.,Ms.,,2023-11-05 10:32:49 -0500,2023-02-14,20230928-princeton-marcxml-eastasian.xml
