genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Lacquered bindings (Binding),openn-form/genre,,Lacquered bindings,http://id.loc.gov/vocabulary/rbmscv/cv00578,,
Liturgical books,openn-form/genre,,Liturgical books,http://id.worldcat.org/fast/1922455,,
Liturgical poetry,openn-form/genre,,Liturgical poetry,http://id.worldcat.org/fast/1921717,,
Liturgical use,openn-form/genre,http://id.loc.gov/authorities/subjects/sh2002011416.html,,,Liturgics,http://id.worldcat.org/fast/1000579
Manuscripts (documents),openn-form/genre,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,,
"Manuscripts, 16th century",openn-form/genre,,Manuscripts;Sixteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1119851,,
"Manuscripts, 17th century",openn-form/genre,,Manuscripts;Seventeenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1113663,,
"Manuscripts, 18th century",openn-form/genre,,Manuscripts;Eighteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/904058,,
"Manuscripts, 19th century",openn-form/genre,,Manuscripts;Nineteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1037841,,
"Manuscripts, Arabic",openn-form/genre,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,,
"Manuscripts, Arabic--15th century",openn-form/genre,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962,,
"Manuscripts, Arabic--16th century",openn-form/genre,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,,
"Manuscripts, Arabic--17th century",openn-form/genre,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,,
"Manuscripts, Arabic--18th century",openn-form/genre,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,,
"Manuscripts, Arabic--19th century",openn-form/genre,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841,,
"Manuscripts, Coptic--17th century",openn-form/genre,,Coptic manuscripts;Seventeenth century,http://id.worldcat.org/fast/1734594;http://id.worldcat.org/fast/1113663,,
"Manuscripts, Coptic--18th century",openn-form/genre,,Coptic manuscripts;Eighteenth century,http://id.worldcat.org/fast/1734594;http://id.worldcat.org/fast/904058,,
"Manuscripts, Indic",openn-form/genre,,"Manuscripts, Indic",http://id.worldcat.org/fast/1008370,,
"Manuscripts, Oriental",openn-form/genre,,"Manuscripts, Oriental",http://id.worldcat.org/fast/1008453,,
"Manuscripts, Oriental--15th century",openn-form/genre,,"Manuscripts, Oriental;Fifteenth century",http://id.worldcat.org/fast/1008453;http://id.worldcat.org/fast/923962,,
"Manuscripts, Oriental--16th century",openn-form/genre,,"Manuscripts, Oriental;Sixteenth century",http://id.worldcat.org/fast/1008453;http://id.worldcat.org/fast/1119851,,
"Manuscripts, Oriental--17th century",openn-form/genre,,"Manuscripts, Oriental;Seventeenth century",http://id.worldcat.org/fast/1008453;http://id.worldcat.org/fast/1113663,,
"Manuscripts, Oriental--18th century",openn-form/genre,,"Manuscripts, Oriental;Eighteenth century",http://id.worldcat.org/fast/1008453;http://id.worldcat.org/fast/904058,,
"Manuscripts, Oriental--19th century",openn-form/genre,,"Manuscripts, Oriental;Nineteenth century",http://id.worldcat.org/fast/1008453;http://id.worldcat.org/fast/1037841,,
"Manuscripts, Persian",openn-form/genre,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,,
"Manuscripts, Persian--17th century",openn-form/genre,,"Manuscripts, Persian;Seventeenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1113663,,
"Manuscripts, Persian--18th century",openn-form/genre,,"Manuscripts, Persian;Eighteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058,,
"Manuscripts, Persian--19th century",openn-form/genre,,"Manuscripts, Persian;Nineteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1037841,,
"Manuscripts, Syriac",openn-form/genre,,"Manuscripts, Syriac",http://id.worldcat.org/fast/1008506,,
"Manuscripts, Turkish",openn-form/genre,,"Manuscripts, Turkish",http://id.worldcat.org/fast/1008521,,
"Manuscripts, Turkish--18th century",openn-form/genre,,"Manuscripts, Turkish;Eighteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/904058,,
"Manuscripts, Turkish--19th century",openn-form/genre,,"Manuscripts, Turkish;Nineteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1037841,,
Miniatures (paintings),openn-form/genre,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,,
Notes (documents),openn-form/genre,,notes (documents),http://vocab.getty.edu/aat/300027200,,
Onlays (decoration),openn-form/genre,,onlays (decorative components),http://w3id.org/lob/concept/1462,,
Onlays (decorative components),openn-form/genre,,onlays (decorative components),http://w3id.org/lob/concept/1462,,
Pictorial works,openn-form/genre,,Pictorial works,http://id.worldcat.org/fast/1423874,,
Poems,openn-form/genre,,poems,http://vocab.getty.edu/aat/300026451,,
Poetry,openn-form/genre,,Poetry,http://id.worldcat.org/fast/1423828,,
Portraits,openn-form/genre,,portraits,http://vocab.getty.edu/aat/300015637,,
Prayer books,openn-form/genre,,prayer books,http://vocab.getty.edu/aat/300026476,,
Prayers,openn-form/genre,,prayers (literary works),http://vocab.getty.edu/aat/300026452,,
Prayers (literary works),openn-form/genre,,prayers (literary works),http://vocab.getty.edu/aat/300026452,,
Prayers and devotions,openn-form/genre,,Prayers and devotions,http://id.worldcat.org/fast/1423909,,
Pull-off boxes,openn-form/genre,,pull-off boxes,http://w3id.org/lob/concept/4465,,
Qur'ans,openn-form/genre,,Qur'ans,http://vocab.getty.edu/aat/300265128,,
Qurʼans,openn-form/genre,,Qur'ans,http://vocab.getty.edu/aat/300265128,,
Scrolls (information artifacts),openn-form/genre,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629,,
Specimens,openn-form/genre,,Specimens,http://id.worldcat.org/fast/1423861,,
Stained calf (bindings),openn-form/genre,,Stained calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00595,,
Stamps (Provenance),openn-form/genre,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142,,
Tables,openn-form/genre,,tables (documents),http://vocab.getty.edu/aat/300027364,,
Tables (documents),openn-form/genre,,tables (documents),http://vocab.getty.edu/aat/300027364,,
Translations (documents),openn-form/genre,,translations (documents),http://vocab.getty.edu/aat/300027389,,
Wills,openn-form/genre,,wills,http://vocab.getty.edu/aat/300027764,,
amulets,openn-form/genre,,amulets,http://vocab.getty.edu/aat/300266585,,
codices (bound manuscripts),openn-form/genre,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,,
detached leaves (gathered matter),openn-form/genre,,detached leaves,http://vocab.getty.edu/aat/300379890,,
diagrams,openn-form/genre,,diagrams,http://vocab.getty.edu/aat/300015387,,
manuscripts (documents),openn-form/genre,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,,
miniatures (paintings),openn-form/genre,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,,
tables (documents),openn-form/genre,,tables (documents),http://vocab.getty.edu/aat/300027364,,
