genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Abridgements,openn-form/genre,,abridgements,http://vocab.getty.edu/aat/300202489,,
Amulets,openn-form/genre,,amulets,http://vocab.getty.edu/aat/300266585,,
Annotations (Provenance),openn-form/genre,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,,
Anthologies,openn-form/genre,,anthologies,http://vocab.getty.edu/aat/300026037,,
Biography,openn-form/genre,,biographies (literary works),http://vocab.getty.edu/aat/300080102,,
Blind tooled (decoration),openn-form/genre,,blind-tooled (decoration),http://w3id.org/lob/concept/2288,,
Bookplates (Provenance),openn-form/genre,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,,
Books of hours,openn-form/genre,http://vocab.getty.edu/aat/300026457,,,books of hours,http://vocab.getty.edu/aat/300026457
Calendars (documents by form),openn-form/genre,,calendars (documents),http://vocab.getty.edu/aat/300026741,,
"Charts, diagrams, etc",openn-form/genre,,"Charts, diagrams, etc.",http://id.worldcat.org/fast/1423732,,
Codices (bound manuscipts),openn-form/genre,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,,
Codices (bound manuscripts),openn-form/genre,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,,
Commentaries,openn-form/genre,,commentaries,http://vocab.getty.edu/aat/300026098,,
Compilation manuscripts,openn-form/genre,,compilation manuscripts,http://vocab.getty.edu/aat/300403970,,
Devotional literature,openn-form/genre,,devotional literature,http://vocab.getty.edu/aat/300254377,,
Diagrams,openn-form/genre,,diagrams,http://vocab.getty.edu/aat/300015387,,
Dictionaries,openn-form/genre,,dictionaries,http://vocab.getty.edu/aat/300026186,,
Early works,openn-form/genre,,Early works,http://id.worldcat.org/fast/1411636,,
Envelope flaps (features),openn-form/genre,,envelope flaps (features),http://w3id.org/lob/concept/1343,,
Epic poems,openn-form/genre,,epic poems,http://vocab.getty.edu/aat/300253035,,
Filigree,openn-form/genre,,filigree,http://w3id.org/lob/concept/2895,,
Flap bindings,openn-form/genre,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,,
Full covers,openn-form/genre,,full covers,http://w3id.org/lob/concept/1348,,
Gatherings (gathered matter components),openn-form/genre,,gatherings (gathered matter components),http://vocab.getty.edu/aat/300194226,,
Genealogical tables,openn-form/genre,,genealogical tables,http://vocab.getty.edu/aat/300027016,,
History,openn-form/genre,,History,http://id.worldcat.org/fast/1411628,,
Hymns,openn-form/genre,,hymns,http://vocab.getty.edu/aat/300167054,,
Illuminations,openn-form/genre,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,,
Illuminations (painting),openn-form/genre,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,,
Illuminations (paintings),openn-form/genre,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,,
Inlaying,openn-form/genre,,inlaying,http://w3id.org/lob/concept/4236,,
Inlays (decorative components),openn-form/genre,,inlays (decorative components),http://w3id.org/lob/concept/3533,,
Islamic bindings (Binding),openn-form/genre,,Islamic bindings,http://id.loc.gov/vocabulary/rbmscv/cv00337,,
