row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452382Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.215787Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798284Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.581944Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794487Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493370Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.777815Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.741970Z",(Pseudo-) Bernard of Clairvaux,author,,,human,Pseudo Bernard of Clairvaux,Q114242512,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452925Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216695Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798699Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596046Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794832Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493600Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778306Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742201Z",A follower of the Masters of the Golden Fleece,artist,,,human,A follower of the Masters of the Golden Fleece,Q122872878,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452933Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216704Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798703Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596083Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794836Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493606Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778332Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742205Z",Abbot von Heselwang,former owner,,,,,,human,Abbot von Heselwang,Q114242549
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452936Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216707Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798708Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596089Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794845Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493617Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778340Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742209Z","Abezier, Johann",former owner,,,human,Johannes Abezier,Q95771,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452938Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216716Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798719Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596100Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794896Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493620Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778344Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742212Z","Accursius, glossator, approximately 1182-approximately 1260",author,,http://viaf.org/viaf/102317020,human,Accursius,Q339824,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452950Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216719Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798722Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596113Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794898Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493624Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778360Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742215Z",Ada E. Moorhead Thomas,former owner,,,human,Ada E. Moorhead Thomas,Q122873223,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452952Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216722Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798726Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596118Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794908Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493629Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778367Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742219Z","Adam, of Buckfield, approximately 1220-approximately 1294",author,,http://viaf.org/viaf/1444148997586159870006,human,Adam of Bockenfield,Q2824030,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452955Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216728Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798730Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596126Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794910Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493632Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778379Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742221Z","Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,,,,human,Albertanus of Brescia,Q2831705
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452959Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216730Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798732Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596134Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794914Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493635Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778399Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742223Z","Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,,,,human,Albertus Magnus,Q60059
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T17:35:05.452962Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-19T17:38:53.216733Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-19T17:39:16.798737Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-19T17:39:46.596139Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-19T17:40:11.794918Z | NAME RECON STEP 6: START ORG RECON 2023-09-21T19:55:42.493641Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-21T19:56:36.778409Z | NAME RECON STEP 9: FINALIZED 2023-09-26T18:21:01.742228Z","Alfonso X, King of Castile and Leon, 1221-1284",author,,https://viaf.org/viaf/66476694,human,Alfonso X of Castile and Leon,Q47595,,,
