row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
40,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Poetry,lcgft,,,,Poetry,http://id.worldcat.org/fast/1423828
41,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Prices (Provenance),rbprov,,Prices (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00263,,
42,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Primary tackets,lobt,,primary tackets,http://w3id.org/lob/concept/1522,,
43,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Printed waste (Binding),rbbin,,Printed waste,http://id.loc.gov/vocabulary/rbmscv/cv01764,,
44,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Provenance labels (Provenance),rbprov,,Provenance labels,http://id.loc.gov/vocabulary/rbmscv/cv00226,,
45,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Quarter bindings (Binding),rbbin,,Quarter bindings,http://id.loc.gov/vocabulary/rbmscv/cv00333,,
46,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Quotations,lcgft,,Quotations,http://id.worldcat.org/fast/1423792,,
47,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Raised bands (Binding),rbbin,,Raised bands,http://id.loc.gov/vocabulary/rbmscv/cv00665,,
48,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Reversed leather bindings (Binding),rbbin,,Reversed leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00688,,
49,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Sayings,lcgft,,Sayings,http://id.worldcat.org/fast/1920779,,
50,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.027499600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Separate sewing guards,lobt,,separate sewing guards,http://w3id.org/lob/concept/4921,,
51,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Sermons,lcgft,,,,Sermons,http://id.worldcat.org/fast/1423904
52,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Sprinkled edges (Binding),rbbin,,Sprinkled edges,http://id.loc.gov/vocabulary/rbmscv/cv00753,,
53,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Stamps (Provenance),rbprov,,,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142
54,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Tacketed bindings (Binding),rbbin,,Tacketed bindings,http://id.loc.gov/vocabulary/rbmscv/cv00677,,
55,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Text guards,lobt,,text guards,http://w3id.org/lob/concept/3697,,
56,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Text-hook endleaves,lobt,,text-hook endleaves,http://w3id.org/lob/concept/1662,,
57,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.215076600Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Témoin,lobt,,témoin,http://w3id.org/lob/concept/5640,,
58,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Transverse spine linings,lobt,,transverse spine linings,http://w3id.org/lob/concept/1680,,
59,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Vellum bindings (Binding),rbbin,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,,
60,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Vellum bindings (Bindings),rbbin,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,,
61,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Velvet bindings (Binding),rbbin,,Velvet bindings,http://id.loc.gov/vocabulary/rbmscv/cv00708,,
62,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Watermarks (Provenance),rbprov,,Watermarks,http://id.loc.gov/vocabulary/rbmscv/cv01089,,
63,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.381916700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Wooden bindings (Binding),rbbin,,Wooden bindings,http://id.loc.gov/vocabulary/rbmscv/cv00600,,
64,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.381916700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Wooden boards (Binding),rbbin,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,,
65,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.381916700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Wooden boards (Bindings),rbbin,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,,
66,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.381916700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.028494400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.216074700Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Yapp style bindings (Binding),rbbin,,Yapp style bindings,http://id.loc.gov/vocabulary/rbmscv/cv00469,,
