row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
11,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Breviaries,lcgft,,Breviaries,http://id.worldcat.org/fast/1922430,,
12,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Brocade bindings (Binding),rbbin,,Brocade bindings,http://id.loc.gov/vocabulary/rbmscv/cv00449,,
13,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Chained bindings (Binding),rbbin,,Chained bindings,http://id.loc.gov/vocabulary/rbmscv/cv00546,,
14,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Chants,lcgft,,Chants,http://id.worldcat.org/fast/1920060,,
15,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Contemporary bindings (Binding),rbbin,,Contemporary bindings,http://id.loc.gov/vocabulary/rbmscv/cv00480,,
16,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Continuous sewing guards,lobt,,continuous sewing guards,http://w3id.org/lob/concept/4919,,
17,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Devices (Provenance),rbprov,,Devices (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00140,,
18,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Devotional literature,lcgft,,,,Devotional literature,http://id.worldcat.org/fast/892015
19,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Diced leather bindings (Binding),rbbin,,Diced leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00507,,
20,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Flap bindings (Binding),rbbin,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,,
21,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Genealogies (Genre/Form),rbgenr,,Genealogies,http://id.loc.gov/vocabulary/rbmscv/cv01398,,
22,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Gilt edges (Binding),rbbin,,Gilt edges,http://id.loc.gov/vocabulary/rbmscv/cv00748,,
23,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Gold tooled bindings (Binding),rbbin,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,,
24,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Gold tooled bindings (Provenance),rbprov,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,,
25,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.000386200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Half bindings (Binding),rbbin,,Half bindings,http://id.loc.gov/vocabulary/rbmscv/cv00332,,
26,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.002380700Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Inscriptions (Provenance),rbprov,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,,
27,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.002380700Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Kapitalbünde,lobt,,Kapitalbünde,http://w3id.org/lob/concept/1406,,
28,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Leather bindings (Binding),rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
29,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Legal forms,lcgft,,Legal forms,http://id.worldcat.org/fast/1774278,,
30,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Liturgical books,lcgft,,Liturgical books,http://id.worldcat.org/fast/1922455,,
31,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.379915800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Manicules (Provenance),rbprov,,Manicules,http://id.loc.gov/vocabulary/rbmscv/cv00248,,
32,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Manuscript waste (Binding),rbbin,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,,
33,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Manuscript waste (Bindings),rbbin,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,,
34,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Marbled paper bindings (Binding),rbbin,,Marbled paper bindings,http://id.loc.gov/vocabulary/rbmscv/cv00496,,
35,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Neumes,lcsh,,Neumes,http://id.worldcat.org/fast/1036242,,
36,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Numbers (Provenance),rbprov,,Numbers (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00020,,
37,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.766415600Z",Paper bindings (Binding),rbbin,,Paper bindings,http://id.loc.gov/vocabulary/rbmscv/cv00488,,
38,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Paste paper bindings (Binding),rbbin,,Paste paper bindings,http://id.loc.gov/vocabulary/rbmscv/cv00498,,
39,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-23T22:37:45.380914400Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-08-23T22:38:07.003378300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-08-23T22:38:33.026493800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-08-23T22:46:09.214077300Z | GENRE RECON, STEP 7: FINALIZED 2023-08-23T22:46:35.767413400Z",Personal correspondence,lcgft,,Personal correspondence,http://id.worldcat.org/fast/1919948,,
