row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.569467Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.142110Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.163066Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.616915Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042368Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:23.974982Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.521912Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.409477Z",(Pseudo-) Bernard of Clairvaux,author,,,,,,human,Pseudo Bernard of Clairvaux,Q114242512
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570863Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143226Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174498Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618446Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042696Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.015719Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.527073Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.412023Z",A follower of the Masters of the Golden Fleece,artist,,,,,,human,A follower of the Masters of the Golden Fleece,Q122872878
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570871Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143231Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174533Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618455Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042701Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016215Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537171Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413663Z",Abbot von Heselwang,former owner,,,,,,human,Abbot von Heselwang,Q114242549
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570888Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143242Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174544Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618461Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042703Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016255Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537682Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413683Z","Abdülbâkî Ârif Efendi, 1633-1713",author,عبد الباقي عارف افندي،,,"Abdülbâkî Ârif Efendi, 1633-1713",human,Q123581714,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570893Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143244Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174560Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618464Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042709Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016299Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537689Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413691Z","Abezier, Johann",former owner,,,,,,human,Johannes Abezier,Q95771
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570897Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143246Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174567Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618467Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042711Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016323Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537695Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413703Z",Abū Bakr ibn Sulaymān,scribe,أبو بكر بن سليمان.,,Abū Bakr ibn Sulaymān,human,Q123581715,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570907Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143251Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174578Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618478Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042713Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016345Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537702Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413710Z","Accursius, glossator, approximately 1182-approximately 1260",author,,http://viaf.org/viaf/102317020,,,,human,Accursius,Q339824
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570912Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143253Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174591Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618484Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042716Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016374Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537708Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413717Z",Ada E. Moorhead Thomas,former owner,,,,,,human,Ada E. Moorhead Thomas,Q122873223
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570916Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143255Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174597Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618491Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042722Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016394Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537713Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413726Z","Adam, of Buckfield, approximately 1220-approximately 1294",author,,http://viaf.org/viaf/1444148997586159870006,,,,human,Adam of Bockenfield,Q2824030
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-25T20:03:33.570922Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-25T20:05:17.143260Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-25T20:06:14.174606Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-25T20:06:41.618494Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-25T20:07:01.042724Z | NAME RECON STEP 6: START ORG RECON 2023-11-29T18:31:24.016415Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-29T18:31:50.537721Z | NAME RECON STEP 9: FINALIZED 2023-11-29T18:32:08.413733Z","Ahmet Paşa Hersekzade, -1516 or 1517",author,احمد پاشا هرسکزاده,,Hersekzade Ahmed Pasha,human,Q1312312,,,
