row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Ascherson, Charles Stephen, 1877-1945",former owner,,,,,,human,Charles Stephen Ascherson,Q51376234
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Augustine, of Hippo, Saint, 354-430",author,,,,,,human,Augustine of Hippo,Q8018
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Augustinus, de Ancona, -1328",author,,,,,,human,Augustinus Triumphus,Q2871655
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Aureolus, Petrus, approximately 1280-1322",author,,,,,,human,Petrus Aureolus,Q1383191
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Baillie-Weaver, Harold, 1860-1926",former owner,,,,,,human,Harold Baillie Weaver,Q18821788
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Baldung, Johannes, active 1465-1514",scribe,,,,,,human,Johannes Baldung,Q120442554
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Barresi, Matteo, marchese di Pietraperzia, -1531 or 1532",former owner,,,,,,human,Matteo Barresi,Q120442555
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Barzizza, Gasparino, approximately 1360-1431",author,,,,,,human,Gasparinus de Bergamo,Q1236187
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Benedict, Saint, Abbot of Monte Cassino",author,,,,,,human,Benedict of Nursia,Q44265
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Bernard, de Gordon, approximately 1260-approximately 1318",author,,,,,,human,Bernard de Gordon,Q826286
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Bernardino, da Siena, Saint, 1380-1444",author,,,,,,human,Bernardino of Siena,Q316295
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Beroaldo, Filippo, 1453-1505",author,,,,,,human,Filippo Beroaldo,Q3071870
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Bonaventure, Saint, Cardinal, approximately 1217-1274",author,,,,,,human,Bonaventure,Q43746
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Bracciolini, Giovan Battista,‏ ‎ 1440-1470",author,,,Giovan Battista Bracciolini,human,Q3766057,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Broomall, Henry Lewis, 1860-1930",former owner,,,,,,human,Henry Lewis Broomall,Q120442557
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Burgh, Hubert de, -1243",author,,,,,,human,"Hubert de Burgh, 1st Earl of Kent",Q1381324
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Caracciolo, Tristano, approximately 1435-1528",author,,,,,,human,Tristano Caracciolo,Q1324187
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Caresini, Rafaino, 1314?-1390",author,,,,,,human,Rafaino Caresini,Q41568536
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z",Catholic Church,author,,,,,,organization,Catholic Church,Q9592
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Cavalca, Domenico, -1342",author,,,,,,human,Domenico Cavalca,Q3712952
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z",Chartreuse de Montrieux,former owner,,,,,,organization,Chartreuse de Montrieux-le-Vieux,Q2961270
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z",Chartreuse du Val de bénédiction,former owner,,,,,,organization,Cloître de la Chartreuse du Val de Bénédiction,Q107126810
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Cherubino da Spoleto, Franciscan",author,,,,,,human,Cherubino da Spoleto,Q18945146
