row_index,workflow_history,subject_as_recorded,subject-term,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",9th century,9th century,,openn-keywords,,Ninth century,http://id.worldcat.org/fast/1037854,,
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Accounts,,,openn-keywords,,,,Accounts,http://id.worldcat.org/fast/795510
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Alchemy,,,openn-keywords,,,,Alchemy,http://id.worldcat.org/fast/804245
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Allegory,Allegory,,openn-keywords,,Allegory,http://id.worldcat.org/fast/805516,,
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Annotated,Annotated,,openn-keywords,,annotations,http://vocab.getty.edu/aat/300026100,,
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Antiphonary,Antiphonary,,openn-keywords,,Antiphonaries,http://id.worldcat.org/fast/810657,,
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Armenian,Armenian,,openn-keywords,,Armenian (ancient culture or style),http://vocab.getty.edu/aat/300254935,,
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Armorial,Armorial,,openn-keywords,,armorials (reference sources),http://vocab.getty.edu/aat/300255028,,
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Astrology,,,openn-keywords,,,,Astrology,http://id.worldcat.org/fast/819398
21,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Astronomy,,,openn-keywords,,,,Astronomy,http://id.worldcat.org/fast/819673
22,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Austria,,,openn-keywords,,,,Austria,http://id.worldcat.org/fast/1204901
23,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Austrian,Austrian,,openn-keywords,,Austrian,http://vocab.getty.edu/aat/300111153,,
24,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Belgium,Belgium,,openn-keywords,,Belgium,http://id.worldcat.org/fast/1210278,,
25,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Bible,Bible,,openn-keywords,,Bible,http://id.worldcat.org/fast/1356024,,
