row_index,workflow_history,subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.307607500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.905223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.433155Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.464840100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.426980800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.309030700Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",10th century,,openn-keywords,,,,Tenth century,http://id.worldcat.org/fast/1147737
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.464840100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.426980800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",11th century,,openn-keywords,,,,Eleventh century,http://id.worldcat.org/fast/908096
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.464840100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.426980800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",12th century,,openn-keywords,,,,Twelfth century,http://id.worldcat.org/fast/1159791
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.464840100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",13th century,,openn-keywords,,,,Thirteenth century,http://id.worldcat.org/fast/1150138
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.464840100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",14th century,,openn-keywords,,,,Fourteenth century,http://id.worldcat.org/fast/933420
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.465839100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",15th century,,openn-keywords,,,,Fifteenth century,http://id.worldcat.org/fast/923962
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.465839100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",16th century,,openn-keywords,,,,Sixteenth century,http://id.worldcat.org/fast/1119851
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.124579800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.756628900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.465839100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",17th century,,openn-keywords,,,,Seventeenth century,http://id.worldcat.org/fast/1113663
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.125573100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.757627300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.465839100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.275591500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",18th century,,openn-keywords,,,,Eighteenth century,http://id.worldcat.org/fast/904058
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-29T16:52:41.125573100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-29T16:53:13.364388500Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:57:24.308608200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-29T16:58:26.051836700Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T16:59:03.757627300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-29T17:01:57.906223Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:03:44.434154600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-29T17:04:14.465839100Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:05:37.374025200Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-29T17:06:12.276595900Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:06:36.450700300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-29T17:09:01.545651700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-29T17:09:31.797704Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:10:23.953317700Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-11-29T17:11:04.203712300Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:11:33.427981Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-11-29T17:14:59.220947100Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-11-29T17:15:38.636219200Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:16:25.310029100Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-11-29T17:17:01.082245Z | KNOWN SUBJECT RECON APPLIED 2023-11-29T17:17:55.544654800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-11-29T17:18:12.893485900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-29T17:18:55.799326300Z",19th century,,openn-keywords,,,,Nineteenth century,http://id.worldcat.org/fast/1037841
