row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله,,Abu Nu`aym,human,Q2822174,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله، 948-1038,,Abu Nu`aym,human,Q2822174,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,"ابو نعيم الاصبهاني، احمد بن عبد الله, 948-1038",,Abu Nu`aym,human,Q2822174,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Sālim al-Naṣībī, Muḥammad ibn Ṭalḥah, 1186 or 1187-1254 or 1255",author,ابو سال النصيبي، محمد بن طلحة، 1186 or 1187-1254 or 1255,,,,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Shāmah, ʻAbd al-Raḥmān ibn Ismāʻīl, 1203-1267",author,ابو شامة، عبد الرحمن بن اسماعيل,http://id.loc.gov/authorities/names/n80137503,Abu-Shama al-Maqdissí,human,Q481455,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Abū Ṭāhir al-Samarqandī,author,ابو طاهر السمرقندي,,,,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842",author,ابو تمام حبيب بن اوس الطائي، active 808-842,,Abu Tammam,human,Q1750054,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842",author,ابو تمام حبيب بن اوس الطائي، active 808-842,,Abu Tammam,human,Q1750054,,,
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Adhraʻī, Abū Bakr ibn Aḥmad",author,اذرعي، ابو بكر بن احمد,,,,,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Adhraʻī, Aḥmad ibn Ḥamdān, 1308 or 1309-1381 or 1382",author,اذرعي، احمد بن حمدان، 1308 or 1309-1381 or 1382,,,,,,,
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Adranawī, Muḥammad ibn Ḥasan, -1461 or 1462",author,ادرنوي، محمد بن حسن، -1461 or 1462,,,,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Aḥmadī, Muḥammad ibn Muḥammad, active 17th century",scribe,احمدي، محمد بن محمد، active 17th century,,,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Aḥmad ibn Muḥammad, active 18th century",scribe,احمد بن محمد، active 18th century,,,,,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Aḥmad ibn Muṣṭafá, active 17th century",scribe,احمد بن مصطفى، active 17th century,,,,,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Aḥmad ibn Qāsim, 1813 or 1814-approximately 1856 or 1857",author,احمد بن قاسم، 1813 or 1814-approximately 1856 or 1857,,,,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Aḥmad ibn Shāhīn,author,احمد بن شاهين,,,,,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Aḥsāʼī, Aḥmad ibn Sulaymān, active 17th century",scribe,احسائي، احمد بن سليمان، active 17th century,,,,,,,
