title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Homeliae in Evangelia,,,,Homilies on the Gospels
Homilies on the Gospels by St Gregory the Great and commentaries on the passion of Christ by Herman Appeldorn,,,,Homilies
In canticum canticorum,,,,In canticum canticorum
In Johannis Evangelium tractatus : homilies 51-52,,,,Gospel of John;Homilies
Initiales literae ex liturgiae voluminibus depromptae caenobitarum curis calamo atque minio exornatae ad instaurandam Italam picturam priusquam torculi tiipografici exortae,,,,Liturgical texts
Instructions on how to use a breviary,,,,Instructions;Breviary
Itinerarium,,Itinerarium.,,Itinerary
Itinerarius,,Itinerarium.,,Itinerary
Itinerarius,,Itinerarium,,Itinerary
"Itinerary, Naples-Paris-Sermoneta",,,,Itinerary
La mistica theolozia dellamore divino,,Viae Sion Lugent.,,La mistica theolozia dellamore divino
"La regola de frati minori in volgare and other Italian religious works, including the Laudi of Jacopone da Todi",,,,Religious works
La reigle et status des monasteres de vierges de lordre Sainct Benoist reformees au diocese de Paris /,,,,La reigle et status des monasteres
La scientia chiamata Arismetrica,,,,La scientia chiamata Arismetrica
La sfera /,,,,La sfera
"Latin fragment ""gaudio""",,,,Gaudio
Latin treatises on religious matters,,,,Religious works
"Laudes, sermones, miracula, exempla, etc. de Beata Maria Virgine",,,,Sermons
Le anime de quelli defuncti liquali āno facti relicti alla Venerabile cōpagnia del Confalone de Roma,,,,Le anime de quelli defuncti
Le livre de bonnes meurs /,,,,Le livre de bonnes meurs
Leaf apparently from a harmony of the Gospels,,Bible.,,Gospels
"Leaf containing ""Splendor paternae gloriae"" / Ambrose of Milan",,,,Splendor paternae gloriae
"Leaf containing Ecclesiastes xii, 16 to xvi, 22",,Bible.,,Ecclesiastes
Leaf containing Psalm 141 leaf 10 to Psalm 143 leaf 8,,Bible.,,Psalms
"Leaf containing psalms 136 (137), 137 (138), 138 (139)",,,,Psalms
Leaf containing the first Sunday after Pentecost,,Missal (Manuscript Kenneth Spencer Research Library. MS J6:3:A5),,Missal
Leaf containing the service of the first Tuesday in Lent. Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/2:30),,Missal
Leaf from a Book of Hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:9),,Book of hours
Leaf from a book of hours,,Book of hours ((Manuscript Kenneth Spencer Research Library. MS 9/2:10),,Book of hours
Leaf from a book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:3),,Book of hours
Leaf from a book of hours containing a miniature of the Crucifixion,,,,Book of hours
Leaf from a book of hours containing Psalms 44 (45) and 45 (46),,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:4),,Book of hours
Leaf from a book of hours containing the fifteen joys of Mary (Doulce dame de misericorde),,Book of hours (Kenneth Spencer Research Library. Department of Special Collections. Manuscript. MS 9/2:6),,Book of hours
"Leaf from a book of hours, calendar for November",,Book of hours (Manuscript Kenneth Spencer Research Library. MS A28),,Book of hours
Leaf from an antiphonary (Manuscript Kenneth Spencer Research Library. MS R29),,,,Antiphonary
Leaf from Kalendar for September-October,,Book of hours.,,Book of hours
"Leaf from large choir-book beginning ""Jubilate Deo""",,,,Choir book
Leaf of a litany,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:7),,Litany
Lectionary of Epistle and Gospel readings,,,,Lectionary
Lectionary of the gospels,,,,Lectionary
"Lectionary, incomplete",,,,Lectionary
Legend of the Cross,,,,Legend of the Cross
Lexicon (Manuscript Kenneth Spencer Research Library. MS D14),,Lexicon,,Lexicon
Liber beati Ysidori episcopi qui appelatur sumum bonum,,Sententiae,,Liber beati Ysidori episcopi
Liber excusationum in causis criminalibus,,,,iber excusationum in causis criminalibus
Liber glossarum,,,,Liber glossarum
Liber meditationum sive orationum /,,,,Liber meditationum
"Liber scintillarum, De virtutibus et vitiis, and other collections of excerpts and religious tracts /",,Liber scintillarum,,Liber scintillarum;De virtutibus et vitiis
Liber sententiarum,,,,Liber sententiarum
Libro dil transito e de li dignissimi miracoli del glorioso e excelente doctore Misser Sancto Jeronimo,,,,Libro de li dignissimi miracoli
Librum aurore /,,Aurora,,Librum aurore
"Lilium medicinae, extract",,,,Lilium medicinae
List of salutations,,,,List of salutations
Malogranatus and other texts,,,,Malogranatus
Medical recipes,,,,Medical miscellany
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:A24),,Missal
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B4),,Missal
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B3),,Missal
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B5),,Missal
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:C3),,Missal
Moralia in Job,,,,Moralia in Job
Notarial formulae,,,,Notarial formulae
Observationes in regularum ordinis Sancti Dominici,,,,Observationes in regularum ordinis
On buying and selling,,,,On buying and selling
One leaf of a 13th century Latin Bible,,Bible.,,Bible
Opera omnia,,Works.,,Works
Opusculum de formandis epistolis (incomplete),,,,Opusculum de formandis epistolis
Ordinatio totius officii divini secundum usum monasterii Beatae Mariae de Balgentiaco,,,,Ordinatio totius officii divini
Panormia,,,,Panormia
Pantheon,,,,Pantheon
Philosophical text,,,,Philosophical text
Pontifical,,,,Pontifical
Pontifical (Fragment Kenneth Spencer Research Library. MS 9/2:28),,,,Pontifical
Prediche sul nome di Gesu /,,,,Sermons
Priorista fiorentino dal 1282-1466,,,,Priorista fiorentino
Protocol-book B,,,,Protocols
Psalterium abreviatum,,,,Psalms
Quadragesimale Rothimata /,,,,Quadragesimale Rothimata
Quaestiones quodlibetales,,,,Quaestiones quodlibetales
Quaestionum canonisticarum collectio Aragonensis,,,,Quaestionum canonisticarum
Quid sit annus solaris,,,,Quid sit annus solaris
Quit claim,,,,Quitclaim
Receipt against sickness that comes of cold,,,,Receipt
Registrum brevium and other legal texts,,,,Legal texts
"Regula, with Latin commentary",,,,Regula
Regulae grammaticales,,,,Regula
Regulae parvorum,,,,Regula
Reisen durch das gelobte Land,,Itinerarium.,,Itinerary
Rime,,,,Rime
Rule of St. Augustine /,,Regula,,Regula;Rule of St. Augustine
Sacramentary,,,,Sacramentary
Scholastic work (Fragment Kenneth Spencer Research Libary. MS 9/1:B2),,,,Scholastic literature
"Secrets and collects for the Proper of Saints, 9-4 Kalends of September",,Missal ((Manuscript Kenneth Spencer Research Library. MS 9/2:2),,Missal
Sententiae /,,Sentences,,Sententiae
Sermon material,,,,Sermons
Sermones,,,,Sermons
Sermones de mortuis secundum evangelia dominicalia /,,,,Sermons
Sermones de sanctis,,,,Sermons
Sermones de vitiis et de penitentia,,,,Sermons
Sermones dominicales,,,,Sermons
Sermones et miscellanea,,,,Sermons
Sermones quadragesimales,,,,Sermons
Sermoni alli soi frati heremitani,,,,Sermons
Sermons,,,,Sermons
Sermons (Manuscript Kenneth Spencer Research Library. MS 9/1:A21),,,,Sermons
Sermons (Manuscript Kenneth Spencer Research Library. MS 9/1:B9),,,,Sermons
"Sermons of Barnardine Ochine of Sena ... Christopher Hegendorff, and John Oecolampadius",,,,Sermons
Service book,,Benedictional (Manuscript Kenneth Spencer Research Library. MS 9/2:1),,Missal
Service-book,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/2:19),,Missal
Service-book,,Gradual (Manuscript Kenneth Spencer Research Library. MS 9/2:18),,Missal
Service-book,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS 9/2:20),,Missal
Spirto gentil magnanimo et sublime ...,,,,Spirto gentil magnanimo et sublime
