title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Chronica de rebus Glastoniensis,,Cronica,,Chronica de rebus Glastoniensis,
Collection of Arabic commentaries and glosses,,,,Arabic commentaries,
Collection of Arabic poems,,,,Arabic poems,
Collection of Arabic poems and miscellany,,,,Arabic poems,
Collection of Arabic stories and sayings,,,,Arabic stories,
Collection of Arabic tales,,,,Arabic stories,
Collection of Arabic texts,,,,Arabic texts,
Collection of Arabic texts in three fragments,,,,Arabic texts,
Collection of Arabic texts on Hanafite Islamic law,,,,Texts on Islamic law,
Collection of Arabic texts on Islamic inheritance law,,,,Texts on Islamic law,
Collection of Arabic texts on the Qurʼān,,,,Texts on the Qurʼan,
Collection of ijāzahs,,,,Ijāzah,
Collection of Islamic law texts,,Works.,اعمال.,Texts on Islamic law,
Collection of texts by Muḥammad ibn Sālim al-Ḥifnī,,Works.,اعمال.,Arabic texts,
Confessio amantis,,,,Confessio amantis,
Cronica Venetiarum /,,,,Cronica Venetiarum,
Dalālat al-ʻāmil bi-rubʻ al-maqṭūʻ al-shamālī ilá al-mīqāt wa-ḥarakat al-samāwāt wa-al-sāʻāt al-zamānīyah ... etc,"دلالة العامل بربع المقطوع الشمالي الى الميقات وحركة السماوات والساعات
				الزمانية ... الخ.",,,Arabic book on astronomy,
Ḍawʼ al-maʻālī li-Badʼ al-amālī,ضوء المعالي لبدء الامالي.,,,Ḍawʼ al-maʻālī li-Badʼ al-amālī,
Ḍawʼ al-Miṣbāh,ضوء المصباح.,,,Ḍawʼ al-Miṣbāḥ,
Ḍawʼ al-Miṣbāḥ (incomplete),,Ḍawʼ al-Miṣbāḥ.,ضوء المصباح.,Ḍawʼ al-Miṣbāḥ,
Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr /,ضوء القبس المنير لرموز رجال الجامع الصغير /,,,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,
De Consolatione Philosophie /,,De consolatione philosophiae,,De consolatione philosophiae,
De consuetudinibus et conditionibus orientalium regionum /,,Travels of Marco Polo.,,Travels of Marco Polo,
Decretum,,,,,Decretals
De fallaciis que sepius occurrunt in sacra pagina ... etc,,,,De fallaciis,
Dībājat sharḥ Miṣbāḥ ʻawāmil,ديباجة شرح مصباح عوامل,Iʻrāb dībājat al-Miṣbāḥ.,اعراب ديباجة المصباح.,Iʻrāb dībājat al-Miṣbāḥ,
Diodori Siculi Historiarum Priscarum /,,Bibliotheca historica.,,Bibliotheca historica,
Dīwān,ديوان.,,,Dīwān,
Dīwān,ديوان.,,,Dīwān,
Dīwān /,ديوان /,,,Dīwān,
Dīwān /,ديوان.,,,Dīwān,
Dīwān /,ديوان /,,,Dīwān,
Dīwān ... etc,,,,Dīwān,
Dīwān al-Abīwardī,ديوان الابيوردي.,Dīwān,ديوان,Dīwān,
Dīwān al-ʻĀrif billāh taʻālá quṭb al-ʻārifīn wa-minhāj jamīʻ al-nāsikīn imām al-ṭarīqah wa-shaykh shuyūkh al-ḥaqīqah waḥīd dahrihi wa-farīd ʻaṣrihi Sharaf al-Dīn Abī Ḥafṣ ʻUmar Ibn Abī al-Ḥasan ʻAlī al-Saʻdī al-shahīr bi-Ibn al-Fāriḍ ʻafá ʻanhu,"ديوان العارف بالله تعالى قطب العارفين ومنهاج جميع الناسكين امام الطريقة
				وشيخ شيوخ الحقيقة وحيد دهره وفريد عصره شرف الدين ابي حفص عمر ابن ابي الحسن علي
				السعدي الشهير بابن الفارض عفى عنه.",Dīwān,ديوان,Dīwān,
Dīwān sayyidunā Saʻd al-Dīn ibn sayyidunā Muḥyī al-Dīn al-ʻArab,ديوان سيدنا سعد الدين بن سيدنا محيي الدين العرب.,Dīwān,ديوان,Dīwān,
Ḍiyāʼ al-abṣār fī mawlid al-Nabī al-mukhtār,ضياء الابصار في مولد النبي المختار.,,,Fī mawlid al-Nabī al-mukhtār,
Durar al-kalim wa-ghurar al-ḥikam,درر الكلم وغرر الحكم.,,,Durar al-kalim wa-ghurar al-ḥikam,
Durr al-naẓīm,در النظيم.,,,Durr al-naẓīm,
Essays,,Essays.,,Essays,
Evsebii Caesariensis De Evangelica Praeparatione Liber,,De evangelica praeparatione.,,Praeparatio evangelica,
Expositio Haimonis svper ysaiam Prophetam,,Annotatio libri Isaiae prophetae,,Biblical expositions,
Expositio in evangelium Mathei,,Expositio in Matthaeum,,Biblical expositions,
Expositio super novem lectiones mortuorum /,,,,Expositio super novem lectiones mortuorum,
Fahrasat kutub Jalāl al-Dīn al-Suyūṭī al-Shāfiʻī. Sīrat Ibn al-Jawzī,فهرسة كتب جلال الدين السيوطي الشافعي. سيرة ابن الجوزي.,,,,
Farāyid al-fikar fī al-Imām al-Mahdī al-muntaẓar /,فرايد الفكر في الامام المهدي المنتظر /,Farāʼid al-fikar fī al-Imām al-Mahdī al-muntaẓar,فرائد الفکر في الامام المهدي المنتظر,Farāʼid al-fikar fī al-Imām al-Mahdī al-muntaẓar,
Fatāwá /,فتاوي /,,,Fatāwá,
Fatāwá Muʼayyadʹzādah,فتاوى مؤيدزادة.,Majmūʻat masāʼil.,مجموعة مسائل.,Fatāwá,
Fatḥ al-abhaj fī sharḥ Sharḥ al-Minhaj /,فتح الابهج في شرح شرح المنهج /,,,,
Fatḥ al-asrār fī Kitāb al-Iẓhār,فتح الاسرار في کتاب الاظهار.,,,Fatḥ al-asrār fī Kitāb al-Iẓhār,
Fatḥ al-qadīr ʻalá matn al-Ustādh al-Amīr,فتح القديرعلى متن الاستاذ الامير.,,,Fatḥ al-Qadīr,
Fatḥ al-qahhār fī manʻ al-bināʼ fī ḥarīm al-anhār /,فتح القهار في منع البنا في حريم الانهار /,,,Fatḥ al-Qadīr,
Fī dhikr al-aʼimmah al-arbaʻah al-mujtahidīn wa-baʻḍ masāyil fiqhīyah ʻalá madhhab al-Ḥanafīyah /,"في ذكر الائمة الاربعة المجتهدين وبعض مسايل فقهية على مذهب الحنفية
				/","Risālah fī dhikr al-aʼimmah al-arbaʻah al-mujtahidīn wa-baʻḍ masāʼil
				fiqhīyah ʻalá madhhab al-Ḥanafīyah","رسالة في ذكر الائمة الاربعة المجتهدين وبعض مسائل فقهية على مذهب
				الحنفية",Texts on Islamic law,
Fragment of a text on Islamic law,,,,Texts on Islamic law,
Fragments from the Qurʼān,,Qurʼan.,قرآن.,Qurʼan,
Franciscan antiphonary,,"Antiphonary (Princeton University. Library. Manuscript. Princeton MS.
				125)",,Antiphonary,
Ghāyat al-maṭlab fī al-rahn idhā dhahab ... etc,غاية المطلب في الرهن اذا ذهب ... الخ.,,,,
Ghurar anbāʼ nujabāʼ al-abnāʼ /,غرر انباء نجباء الابناء /,,,,
Gospels,,,,Gospels,
Ḥadāʼiq al-inʻām fī faḍāʼil Dimashq al-Shām /,حدائق الانعام في فضائل دمشق الشام /,,,,
Hādhā al-Dīwān Abū al-Ḥasan ʻAlī ibn al-Nabīh,هذا الديوان ابو الحسن علي بن النبيه.,Dīwān,ديوان,Dīwān,
Hādhā al-Dīwān Rawḍat al-ʻirfān wa-nuzʹhat al-insān,هذا الديوان روضة العرفان ونزهة الانسان.,Rawḍat al-ʻirfān wa-nuzʹhat al-insān.,روضة العرفان ونزهة الانسان.,Rawḍat al-ʻirfān wa-nuzʹhat al-insān,
Hādhā al-Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm /,هذا الفيض العميم في معنى القرآن العظيم /,Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm.,فيض العميم في معنى القرآن العظيم.,Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm.,
Hādhā al-Istīʻāb fī maʻrifat al-aṣḥāb /,هذا الاستيعاب في معرفة الاصحاب /,Istīʻāb fī maʻrifat al-aṣḥāb,استيعاب في معرفة الاصحاب,Istīʻāb fī maʻrifat al-aṣḥāb,
Hādhā al-Kitāb al-Mūjaz fī ʻilm al-ṭibb /,هذا الكتاب الموجز في علم الطب /,Mūjaz fī al-ṭibb,موجز في الطب,Mūjaz fī al-ṭibb,
Hādhā al-Kitāb Dhikr mulūk Ḥimyar /,هذا الكتاب ذكر ملوك حمير /,Qaṣīdah al-Ḥimyarīyah,قصيدة الحميرية,,
Hādhā al-Kitāb fī al-radd ʻalá al-rawāfiḍ wa-ʻaqāʼidihim,هذا الكتاب في الرد على الروافض وعقائدهم.,Mushtamil al-aqāwīl,مشتمل الاقاويل,Hādhā al-Kitāb fī al-radd ʻalá al-rawāfiḍ wa-ʻaqāʼidihim,
Hādhā al-Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā,هذا الكتاب في صناعة الاحجار وخواصها.,Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā.,کتاب في صناعة الاحجار وخواصها,Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā,
Hādhā al-Kitāb Īḍāḥ iṣlāḥ,هذا الكتاب ايضاح اصلاح.,Īḍāḥ al-iṣlāḥ,اصلاح والايضاح,Īḍāḥ al-iṣlāḥ,
Hādhā al-Kitāb Sharḥ lil-Qaṣīdah al-Dālīyah,هذا الكتاب شرح للقصيدة الدالية.,Sharḥ lil-Qaṣīdah al-Dālīyah.,شرح للقصيدة الدالية.,Sharḥ lil-Qaṣīdah al-Dālīyah,
Hādhā al-Kitāb Sharḥ Shihāb al-Quḍāʻī fī al-ḥadīth al-ʻaẓīm,هذا الكتاب شرح شهاب القضاعي في الحديث العظيم.,"Sharḥ Shihāb al-akhbār fī al-ḥikam wa-al-amthāl wa-al-ādāb min al-aḥādīth
				al-nabawīyah.",شرح شهاب الاخبار في الحکم والامثال والاداب من الاحاديث النبوية.,,
Hādhā al-Kitāb Sharḥ Unmūdhaj min fann al-naḥw,هذا الكتاب شرح انموذج من فن النحو.,Sharḥ al-Unmūdhaj.,شرح الانموذج.,Sharḥ al-Unmūdhaj,
Hādhā al-mukhtaṣar al-laṭīf al-jāmiʻ li-akthar al-taṣānīf,هذا المختصر اللطيف الجامع لاكثر التصانيف.,Mukhtaṣar fī ʻilm al-jabr wa-al-muqābalah,مختصر في علم الجبر والمقابلة,Mukhtaṣar fī ʻilm al-jabr wa-al-muqābalah,
Hādhā Ḍawʼ al-maʻālī sharḥ Badʼ al-amālī /,هذا ضوء المعالى شرح بدء الامالى /,Ḍawʼ al-maʻālī li-Badʼ al-amālī,ضوء المعالي لبدء الامالي,Ḍawʼ al-maʻālī li-Badʼ al-amālī,
Hādhā Dīwān Abī al-Safā ibn Abī al-Wafā al-ʻIrāqī,هذا ديوان ابي السفا بن ابي الوفا العراقي.,Dīwān.,ديوان.,Dīwān,
Hādhā Dīwān Abī Tamām Ḥabīb ibn Aws al-Ṭāʼī,هذا ديوان ابي تمام حبيب بن اوس الطائي.,Dīwān.,ديوان.,Dīwān,
Hādhā Dīwān al-Shushtarī,هذا ديوان الششتري.,Dīwān.,ديوان.,Dīwān,
Hādhā Dīwān Fatḥ Allāh al-Baylūnī,هذا ديوان فتح الله البيلوني.,Dīwān.,ديوان.,Dīwān,
Hādhā Dīwān Saʻd al-Dīn ibn al-Shaykh Muḥyī al-Dīn al-ʻArab ṣāḥib al-Futūḥāt al-Makkīyah,"هذا ديوان سعد الدين بن الشيخ محيي الدين العرب صاحب الفتوحات
				المكية.",Dīwān,ديوان,Dīwān,
Hādhā Dīwān shiʻr /,هذا ديوان شعر /,Dīwān,ديوان,Dīwān,
Hādhā Dīwān ʻAbd Allāh al-Shabrāwī,هذا ديوان عبد الله الشبراوي.,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,منايح الالطاف في مدايح الاشراف,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,
Hādhā Ḥusn al-ṣanīʻ bi-sharḥ Nūr al-badīʻ,هذا حسن الصنيع بشرح نور البديع.,Ḥusn al-ṣanīʻ bi-sharḥ Nūr al-badīʻ,حسن الصنيع بشرح نور البديع,,
Hādhā Kitāb Abū al-Muntahá li-sharḥ al-Fiqh al-akbar ... etc,هذا كتاب ابو المنتهى لشرح الفقه الاكبر ... الخ.,,,Texts on Islamic law,
Hādhā Kitāb al-Ighḍā ʻan ḥadīth al-aʻḍā /,هذا كتاب الاغضا عن حديث الاعضا /,Works.,اعمال.,,
Hādhā Kitāb al-Imʻān li-Birkawī ʻalá al-Maqṣūd,هذا كتاب الامعان لبركوي على المقصود.,Imʻān al-anẓār,امعان الانظار,Imʻān al-anẓār,
Hādhā Kitāb al-Isʻāf fī aḥkām al-awqāf /,هذا كتاب الاسعاف في احكام الاوقاف /,Isʻāf fī aḥkām al-awqāf,اسعاف في احکام الاوقاف,Isʻāf fī aḥkām al-awqāf,
Hādhā Kitāb al-Jawāhir al-bahīyah fī sharḥ al-Arbaʻīn al-Nawawīyah /,هذا كتاب الجواهر البهية في شرح الاربعين النووية /,Jawāhir al-bahīyah fī sharḥ al-Arbaʻīn al-Nawawīyah,جواهر البهية في شرح الاربعين النووية,,
Hādhā Kitāb al-Lumʻah fī ʻilm al-ḥisāb ... etc,هذا كتاب اللمعة في علم الحساب ... الخ.,,,Arabic texts of mathematics,
Hādhā Kitāb al-Mifrāḥ fī sharḥ al-Marāḥ,هذا كتاب المفراح في شرح المراح,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,مفراح في شرح مراح الارواح,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,
Hādhā Kitāb al-Miṣbāḥ ... etc,هذا كتاب المصباح ... الخ.,,,Hādhā Kitāb al-Miṣbāḥ,
Hādhā Kitāb al-Qudūrī,هذا كتاب القدوري.,Mukhtaṣar al-Qudūrī,مختصر القدوري,,
Hādhā Kitāb al-Quṭr al-Miṣrī fī qirāʼāt al-Imām Abī ʻAmr ibn al-ʻAlāʼ al-Baṣrī,"هذا كتاب القطر المصري في قراءات الامام ابي عمرو بن العلاء
				البصري.","Quṭr al-Miṣrī fī qirāʼāt al-Imām Abī ʻAmr ibn-al-ʻAlāʼ
				al-Baṣrī",قطر المصري في قراءة الامام ابي عمرو بن العلاء البصري,,
Hādhā Kitāb al-Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān /,هذا كتاب الصلح بين الاخوان في حكم اباحة الدخان /,Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān,صلح بين الاخوان في حکم اباحة الدخان,,
Hādhā Kitāb al-Ṭirāz al-manqūsh fī maḥāsin al-Ḥubūsh /,هذا كتاب الطراز المنقوش في محاسن الحبوش /,Ṭirāz al-manqūsh,طراز المنقوش,Ṭirāz al-manqūsh,
Hādhā Kitāb al-ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻah funūn al-adabīyah /,هذا كتاب العقيدة الدرويشية في تحرير السبعة فنون الادبية /,"ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn
				al-adabīyah.",عقيدة الدرويشية في تحرير السبع فنون الادبية.,,
Hādhā Kitāb al-ʻAẓamah /,هذا كتاب العظمة /,Kitāb al-ʻAẓamah,کتاب العظمة,Kitāb al-ʻAẓamah,
Hādhā Kitāb Ashrāṭ al-sāʻah /,هذا كتاب اشراط الساعة /,Ashrāṭ al-sāʻah,اشراط الساعة,Ashrāṭ al-sāʻah,
Hādhā Kitāb Bahjat al-majālis wa-anīs al-mujālis /,هذا كتاب بهجة المجالس وانيس المجالس /,Bahjat al-majālis wa-anīs al-mujālis.,بهجة المجالس وانيس المجالس.,Bahjat al-majālis wa-anīs al-mujālis,
Hādhā Kitāb bi-sharḥ Alfīyat al-ʻIrāqī al-musammá bi-Fatḥ al-Bāqī /,هذا كتاب بشرح الفية العراقي المسمى بفتح الباقي /,Fatḥ al-bāqī bi-sharḥ Alfīyat al-ʻIrāqī,فتح الباقي بشرح الفية العراقي,,
Hādhā Kitāb Bulūgh al-murād ʻalá Bānat Suʻād /,هذا كتاب بلوغ المراد على بانت سعاد /,Bulūgh al-murād ʻalá Bānat Suʻād,بلوغ المراد على بانت سعاد,Bulūgh al-murād,
Hādhā Kitāb Dīwān mukhtārāt shuʻarāʼ al-ʻArab,هذا کتاب ديوان مختارات شعراء العرب.,Poems.,,Arabic poems,
Hādhā Kitāb Dunqūz,هذا كتاب دنقوز.,Sharḥ Marāḥ al-arwāḥ,شرح مراح الارواح,Sharḥ Marāḥ al-arwāḥ,
Hādhā Kitāb faḍāʼil aʻmāl /,هذا كتاب فضائل اعمال /,Faḍāʼil aʻmāl,فضائل اعمال,Faḍāʼil aʻmāl,
Hādhā Kitāb Fanārī,هذا كتاب فناري.,Fawāʼid al-Fanārīyah,فوائد الفنارية,Fawāʼid al-Fanārīyah,
Hādhā Kitāb Fatāwá kabīr,هذا كتاب فتاوى كبير.,Fatāwá kabīr.,فتاوى کبير.,Fatāwá,
Hādhā Kitāb fī manāqib al-Imām al-aʻẓam Abī Ḥanīfah ibn Thābit al-Nuʻmān,هذا كتاب في مناقب الامام الاعظم ابي حنيفة بن ثابت النعمان.,"Kitāb fī manāqib al-Imām al-aʻẓam Abī Ḥanīfah ibn Thābit
				al-Nuʻmān",كتاب في مناقب الامام الاعظم ابي حنيفة بن ثابت النعمان,,
Hādhā Kitāb fī sharḥ ʻAwāmil ...,هذا كتاب في شرح عوامل ...,Sharḥ al-ʻAwāmil al-miʼah,شرح العوامل المائة,Sharḥ al-ʻAwāmil al-miʼah,
Hādhā Kitāb Ḥāshiyah ʻalá Sharḥ Shaykh al-Islām al-Shaykh Walī al-Dīn al-ʻIrāqī ʻalá Sharḥ al-Bahjah li-Shaykh al-Islām ... Sirāj al-Dīn ʻUmar ibn al-Wardī /,"هذا كتاب حاشية على شرح شيخ الاسلام الشيخ ولي الدين العراقي على شرح البهجة
				لشيخ الاسلام ... سراج الدين عمر بن الوردي /",Ḥāshiyah ʻalá Sharḥ al-Bahjah al-Wardīyah,حاشية على شرح البهجة الوردية,Ḥāshiyah ʻalá Sharḥ al-Bahjah al-Wardīyah,
Hādhā Kitāb Ḥilyat al-Kuramā wa-bahjat al-nudamā ... etc,هذا كتاب حلية الكرما وبهجة الندما ... الخ.,,,,
Hādhā Kitāb Iftitāḥ min fann al naḥw,هذا كتاب افتتاح من فن ال نحو,Iftitāḥ.,افتتاح.,Iftitāḥ,
Hādhā Kitāb Jārbardī Sharḥ Shāfiyah,هذا كتاب جاربردي شرح شافية,Sharḥ al-Shāfiyah.,شرح الشافية.,Sharḥ al-Shāfiyah,
Hādhā Kitāb Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn /,هذا كتاب كنز الحق المبين في احاديث سيد المرسلين /,Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn,کنز الحق المبين في احاديث سيد المرسلين,Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn,
Hādhā Kitāb Manār,هذا كتاب منار,Manār,منار,Manār,
Hādhā Kitāb Marāḥ ... etc,هذا كتاب المراح ... الخ,,,Marāḥ,
Hādhā Kitāb Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar /,هذا كتاب مصاعد النظر للاشراف على مقاصد السور /,Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar,مصاعد النظر للاشراف على مقاصد السور,Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar,
Hādhā Kitāb Maṭlūb,هذا كتاب مطلوب.,Maṭlūb fī sharḥ al-Maqṣūd.,مطلوب في شرح المقصود.,,
Hādhā Kitāb Matn Alfīyat al-sīrah /,هذا كتاب متن الفية السيرة /,Naẓm al-durar al-sanīyah,نظم الدرر السنية,Naẓm al-durar al-sanīyah,
Hādhā Kitāb Mufīd al-ʻulūm wa-mubīd al-humūm /,هذا كتاب مفيد العلوم ومبيد الهموم /,Mufīd al-ʻulūm wa-mubīd al-humūm,مفيد العلوم ومبيد الهموم,Mufīd al-ʻulūm wa-mubīd al-humūm,
Hādhā Kitāb Mukhtaṣar al-Mustaṭraf alladhī ḥuwiya min kull fann mustaẓraf,هذا كتاب مختصر المستطرف الذي حوي من كل فن مستظرف.,Mukhtaṣar al-Mustaṭraf fī kull fann mustaẓraf.,مختصر المستطرف في کل فن مستظرف.,Mukhtaṣar al-Mustaṭraf fī kull fann mustaẓraf,
Hādhā Kitāb mukhtaṣar al-Ṣubḥ al-munabbī ʻan ḥaythīyāt al-Mutanabbī lil-Shaykh al-ʻĀlim Yūsuf al-Badīʻī,"هذا كتاب مختصر الصبح المنبي عن حيثيات المتنبي للشيخ العالم يوسف
				البديعي.",Mukhtaṣar al-Ṣubḥ al-munabbī ʻan ḥaythīyāt al-Mutanabbī.,مختصر الصبح المنبي عن حيثيات المتنبي.,,
Hādhā Kitāb Mukhtaṣar Muḥammad ibn Fatḥ Allāh ibn Maḥmūd al-Baylūnī min Riḥlat Abī ʻAbd Allāh Muḥammad ibn Muḥammad ibn Ibrāhīm ibn Baṭṭūṭah,"هذا كتاب مختصر محمد بن فتح الله بن محمود البيلوني من رحلة ابي عبد الله محمد
				بن محمد بن ابراهيم بن بطوطة.",Mukhtaṣar Riḥlat Ibn Baṭṭūṭah.,مختصر رحلة ابن بطوطة.,Mukhtaṣar Riḥlat Ibn Baṭṭūṭah,
Hādhā Kitāb Munaqqaḥāt,هذا كتاب منقحات.,Munaqqaḥāt al-mashrūḥah,منقحات المشروحة,Munaqqaḥāt al-mashrūḥah,
Hādhā Kitāb mushtamilah ʻalá Siyāsat al-khayl wa-maʻrifat ṭibbihā wa-iʻlājihā bi-al-tamām ... etc,"هذا كتاب مشتملة على سياسة الخيل ومعرفة طبها واعلاجها بالتمام ...
				الخ.",,,,
Hādhā Kitāb Rawḍat al-ʻāshiqīn wa-zahrat al-ṭālibīn /,هذا كتب روضة العاشقين وزهرة الطلبين /,Rawḍat al-ʻāshiqīn wa-zahrat al-ṭālibīn,روضة العاشقين وزهرة الطالبين,Rawḍat al-ʻāshiqīn wa-zahrat al-ṭālibīn,
Hādhā Kitāb Shāfiyah,هذا كتاب شافية.,Shāfiyah,شافية,Shāfiyah,
Hādhā Kitāb Sharḥ al-Miʻrāj ... etc,هذا كتاب شرح المعراج ... الخ.,,,Sharḥ al-Miʻrāj,
Hādhā Kitāb Sharḥ al-Muʻallaqāt ʻalá al-tamām wa-al-kamāl,هذا كتاب شرح المعلقات على التمام والكمال.,Sharḥ al-Muʻallaqāt,شرح المعلقات,Sharḥ al-Muʻallaqāt,
Hādhā Kitāb Sharḥ Faṣīḥ Thaʻlab,هذا كتاب شرح فصيح ثعلب.,Talwīḥ fī sharḥ al-Faṣīḥ,تلويح في شرح الفصيح,Talwīḥ fī sharḥ al-Faṣīḥ,
Hādhā Kitāb Sharḥ Jaghmīnī ... etc,هذا كتاب شرح جغميني ... الخ.,,,,
Hādhā Kitāb Sharḥ Marāḥ Ḥasan Pāshā,هذا كتاب شرح مراح حسن پاشا.,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ.,مفراح في شرح مراح الارواح.,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,
Hādhā Kitāb Sharḥ Maṭāliʻ,هذا كتاب شرح مطالع.,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,حاشية على مطالع الانوار,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,
Hādhā Kitāb Sharḥ ʻAqāʼid maʻa Shams al-Dīn,هذا كتاب شرح عقائد مع شمس الدين.,,,,
Hādhā Kitāb Sharḥ ʻAwāmil al-Jurjānī ... etc,,,,Sharḥ ʻAwāmil al-Jurjānī,
Hādhā Kitāb Sharḥ ʻAwāmil jadīd /,هذا كتاب شرح عوامل جديد /,Sharḥ al-ʻAwāmil al-jadīd.,شرح العوامل الجديد.,Sharḥ al-ʻAwāmil al-jadīd,
Hādhā Kitāb Shirʻat al-Islām,هذا كتاب شرعة الاسلام.,Shirʻat al-Islām,شرعة الاسلام,Shirʻat al-Islām,
Hādhā Kitāb Shirʻat al-Islām,هذا كتاب شرعة الاسلام,Shirʻat al-Islām,شرعة الاسلام,Shirʻat al-Islām,
Hādhā Kitāb Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān al-mukarram,هذا كتاب تفسير سورة الدخان وفضل ليلة شعبان المكرم.,Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān.,تفسير سورة الدخان وفضل ليلة شعبان.,Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān,
Hādhā Kitāb Tuḥfat al-anām,هذا كتاب تحفة الانام.,"Tuḥfat al-anām fī al-waqf ʻalá al-hamzah li-Ḥamzah
				wa-Hishām",تحفة الانام في الوقف على الهمزة لحمزة وهشام,Tuḥfat al-anām,
Hādhā Kitāb ʻIqd al-jawāhir fī salāsil al-akābir ... etc,هذا كتاب عقد الجواهر في سلاسل الاكابر ... الخ.,,,Hādhā Kitāb ʻIqd al-jawāhir fī salāsil al-akābir,
Hādhā Kitāb ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl,هذا كتاب علم التاريخ على التمام والكمال,ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl.,علم التاريخ على التمام والكمال,ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl,
Hādhā Kitāb ʻUṣfūrī,هذا كتاب عصفوري.,Kitāb ʻUṣfūrī,کتاب عصفوري,Kitāb ʻUṣfūrī,
Hādhā Lumʻat al-anwār al-falakīyah wa-maʻrifat awqāt al-asrār al-khafīyah /,هذا لمعة الانوار الفلكية ومعرفة اوقات الاسرار الخفية /,"Lumʻat al-anwār al-falakīyah wa-maʻrifat awqāt al-asrār
				al-khafīyah",لمعة الانوارالفلکية ومعرفة اوقات الاسرار الخفية,,
Hādhā majmūʻ fīhi thalāth dawāwīn,هذا مجموع فيه ثلاث دواوين :,,,,
Hādhā majmūʻ fī ʻilm al-ʻarūḍ fīhi min al-shurūḥ wa-al-rasāyil,هذا مجموع في علم العروض فيه من الشروح والرسايل.,,,Majmūʻ fī ʻilm al-ʻarūḍ,
Hādhā Matn al-Jazarīyah ... etc,هذا متن الجزرية ... الخ.,,,,
Hādhā matn al-Khaṣāyiṣ al-ṣughrá al-musammá bi-al-Unmūdhaj lil-ʻAllāmah al-Suyūṭī /,هذا متن الخصايص الصغرى المسمى بالانموذج للعلامة السيوطي /,Fatḥ al-qarīb al-mujīb fī naẓm Khaṣāʼiṣ al-ḥabīb.,فتح القريب المجيب في نظم خصائص الحبيب.,,
Hādhā mukhtaṣar Ibn al-Ṣalāḥ fī uṣūl al-ḥadīth al-sharīf,هذا مختصر ابن الصلاح في اصول الحديث الشريف.,Mukhtaṣar Uṣūl al-ḥadīth.,مختصر اصول الحديث.,Mukhtaṣar Uṣūl al-ḥadīth,
Hādhā Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ /,هذا روض المستريح بشرح غرامي صحيح /,Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ,روض المستريح بشرح غرامي صحيح,Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ,
Hādhā Ṣafwat al-zamān fīman tawallá ʻalá Miṣr min amīr wa-sulṭān /,هذا صفوة الزمان فيمن تولى على مصر من امير وسلطان /,"Ṣafwat al-zamān fīman tawallá ʻalá Miṣr min amīr
				wa-sulṭān",صفوة الزمان فيمن تولى على مصر من امير وسلطان,,
Hādhā Sharḥ al-Badīʻīyah al-Bāʻūnīyah,هذا شرح البديعية الباعونية,Fatḥ al-mubīn fī madḥ al-Amīn,فتح المبين في مدح الامين,,
