title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
al-Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī /,الدر المنتظم بالشعر الملتزم في مدح النبي /,,,Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī,
al-Farāyid al-Burhānīyah fī taḥqīq al-Fawāyid al-Fanārīyah,الفرايد البرهانية في تحقيق الفوايد الفنارية.,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,فرائد البرهانية في تحقيق الفوائد الفنارية,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,
al-Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah,الفواكه البدرية في الاقضية الحكمية.,,,Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah,
al-Fawāyid al-ghazīrah fī ḥadīth Barīrah,الفوايد الغزيره في حديث بريره.,Fawāʼid al-ghazīrah fī ḥadīth Barīrah.,فوائد الغزيرة في حديث بريرة.,Fawāʼid al-ghazīrah fī ḥadīth Barīrah,
al-Fawāʼid al-Fanārīyah ... etc,الفوائد الفنارية ... الخ.,,,Fawāʼid al-Fanārīyah,
Alfīyah al-Ṭayyibah ... etc,الفية الطيبة ... الخ.,,,,
al-Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,الفتوحات الربانية في هزيمة الفرنساوية.,,,Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,
al-Ḥadhāqah fī anwāʻ al-ʻalāqah /,الحذاقة في انواع العلاقة.,,,Ḥadhāqah fī anwāʻ al-ʻalāqah,
al-Ḥawāshī al-mujammaʻah min sharḥ al-aḥādīth al-muttabaʻah /,الحواشى المجمعة من شرح الاحاديث المتبعه /,Minhāj al-muḥaddithīn.,منهاج المحدثين.,Minhāj al-muḥaddithīn,
al-Hayʼah al-sanīyah,الهيئة السنية.,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,هيئه السنية في الهيئه السنية,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,
al-Ḥudūd li-abwāb al-fiqh,الحدود لابواب الفقه.,,,Ḥudūd li-abwāb al-fiqh,
al-Īḍāḥ ... etc,الايضاح ... الخ,,,Īḍāḥ,
al-Īḍāḥ fī al-waqf wa-al-ibtidāʼ /,الايضاح في الوقف والابتدى /,,,Īḍāḥ fī al-waqf wa-al-ibtidāʼ,
al-Ijāzah,الاجازة.,,,Ijāzah,
al-Intibāh li-muʻālajat al-bāh ... etc,الانتباه لمعالجة الباه ... الخ.,,,Intibāh li-muʻālajat al-bāh,
al-Intiṣār,الانتصار.,,,Intiṣār,
al-Jalīs al-laṭīf wa-al-nadīm al-ẓarīf ... etc,الجليس اللطيف والنديم الظريف ... الخ.,,,Jalīs al-laṭīf wa-al-nadīm al-ẓarīf,
al-Jazl al-muʻtamad al-mufīd,الجزل المعتمد المفيد.,,,Jazl al-muʻtamad al-mufīd,
al-Juzʼ al-akhīr fī tafsīr al-Qurʼān al-ʻaẓīm /,الجزؤ الاخير في تفسير القرآن العظيم /,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān,كشف والبيان عن تفسير القرآن,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān,
