row_index,workflow_history,subject_as_recorded,subfield_codes,authorized_label_add,structured_value_add,vocab,source_authority_uri,authorized_label,structured_value
11,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.555943900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.288964600Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Bible. Matthew--Early works to 1800.,a;p--v,Bible. Matthew;Early works,http://id.worldcat.org/fast/1808086;http://id.worldcat.org/fast/1411636,0,,,
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.555943900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.288964600Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Bible. Matthew.,a;p,,,0,,Bible. Matthew,http://id.worldcat.org/fast/1808086
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.555943900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.288964600Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z","Bible. Psalms, CXIX--Commentaries--Early works to 1800.",a;p--v--v,Bible. Psalms;Commentaries;Early works,http://id.worldcat.org/fast/1808097;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,0,,,
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.288964600Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Bible. Song of Solomon--Commentaries--Early works to 1800.,a;p--v--v,Bible. Song of Solomon;Commentaries;Early works,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,0,,,
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z","Bible. Song of Solomon--Criticism, interpretation, etc.",a;p--x,,,0,,Bible. Song of Solomon;Criticism and interpretation,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1198648
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.657816Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z","Brudenell family,",a,Brudenell family,http://id.worldcat.org/fast/359051,0,,,
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117029200Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.658816500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.727021200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Catholic Church--Doctrines--Early works to 1800.,a--x--v,,,0,,Catholic Church;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117405Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.658816500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.728019400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Catholic Church--France--History--To 1500.,a--z--x--y,Catholic Church;France;History,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,0,,,
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.556947300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117405Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.658816500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.728019400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Catholic Church--Liturgy--Calendar--Early works to 1800.,a--x--v--v,,,0,,Catholic Church;Liturgics;Calendars;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423764;http://id.worldcat.org/fast/1411636
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.557944Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117405Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.367888200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.658816500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.728019400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.289214Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Catholic Church--Liturgy--Texts--Early works to 1800.,a--x--v--v,,,0,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
21,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-28T00:00:46.557944Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-28T00:01:11.662670200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:05:30.028795500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-28T00:09:24.994594200Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:10:53.255698300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-28T00:18:17.039815400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:31:15.314708100Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-28T00:35:18.825818100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:37:00.558935800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-28T00:38:43.515964500Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:43:37.117405Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-28T00:47:23.368890300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:48:56.658816500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-28T00:49:36.728019400Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:51:06.807405200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-28T00:51:23.294211100Z | KNOWN NAMED SUBJECT RECON APPLIED 2023-08-28T00:53:40.649043700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-28T00:57:52.692726600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-28T00:58:31.289962900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-28T00:58:54.322899700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-28T00:59:49.939824400Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-28T01:00:27.284077100Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-28T01:03:48.460560200Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-28T01:04:15.399999600Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-28T01:04:42.538265500Z",Catholic Church--Liturgy--Texts--Rubrics.,a--x--x--v,Catholic Church;Liturgics;Texts;Rubrics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1424192,0,,,
