subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
12th century.,a,fast,,Twelfth century,http://id.worldcat.org/fast/1159791
1399-1485.,a,fast,,1399-1485,http://id.worldcat.org/fast/1355517
13th-15th centuries.,a,fast,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962
13th century.,a,fast,,Thirteenth century,http://id.worldcat.org/fast/1150138
1442-1707.,a,fast,,1442-1707,http://id.worldcat.org/fast/1355537
14th century.,a,fast,,Fourteenth century,http://id.worldcat.org/fast/933420
15th century.,a,fast,,Fifteenth century,http://id.worldcat.org/fast/923962
16th century.,a,fast,,Sixteenth century,http://id.worldcat.org/fast/1119851
17th century.,a,fast,,Seventeenth century,http://id.worldcat.org/fast/1113663
18th century.,a,fast,,Eighteenth century,http://id.worldcat.org/fast/904058
600-1500,a,fast,,500-1500,http://id.worldcat.org/fast/1355938
Absalom (Biblical figure),a;c,fast,http://id.worldcat.org/fast/1801890,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890
Absalom (Biblical figure),a;c,0,http://id.loc.gov/authorities/names/n88240985,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229. ʻArūḍ al-Andalusī.",a;d;t,0,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679
"Abū Ḥanīfah, -767 or 768.",a;d,0,http://id.loc.gov/authorities/names/n82031776--(uri) http://id.loc.gov/authorities/names/n82031776--(uri) http://viaf.org/viaf/sourceID/LC%7cn82031776,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236
"Abū Ḥanīfah, -767 or 768.",a;d,fast,(OCoLC)fst01803236,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar.",a;d;t,0,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867
"Abū Ḥanīfah, -767 or 768--Early works to 1800.",a;d--v,0,,"Abū Ḥanīfah, -767 or 768;Early works",http://id.worldcat.org/fast/1803236;http://id.worldcat.org/fast/1411636
