title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
De corpore et sanguine domini,,,,,,De corpore et sanguine Domini,Q812
Breviary for Day Offices,,Breviary (Dominican),,,,Breviary,Q657
Leaf from a Breviary,,Bible,,Breviary,Q657,,
"German Missal Fragment, 14th century",,,,,,Missal,Q662
Binding fragment,,,,,,Binding fragment,Q10843
Leaf from a Missal,,,,,,Missal,Q662
Leaf from 13th century French pocket Bible,,,,,,Pocket Bible,Q27634
"Leaf from the Papal Bull ""Exivi de paradiso"" of Pope Clement V",,,,,,Papal bull,Q1362
Manuscript in Arabic,,,,,,Arabic text,Q38349
"Bible cutting, Matthew",,Bible,,,,Bible,Q661
"Postilla litteralis in vetus testamentum, pars",,,,,,Bible commentary;Commentary on the Old Testament,Q1433;Q27665
