title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
Princeton Ethiopic Manuscript No. 16: Tablets With Engravings of Saints,,,,Tablets With Engravings of Saints,Q100789
Princeton Ethiopic Manuscript No. 17: Tablets With Engravings of Saints,,,,Tablets With Engravings of Saints,Q100789
Princeton Ethiopic Manuscript No. 18: Psalter. Dawit,,,,Psalter,Q660
Gate of Light (Incomplete At End),,,,Gate of Light,Q100776
Princeton Ethiopic Manuscript No. 19: Prayer against the Tongue (Ləsanä Säb'ə),,,,Prayer,Q20014
"Princeton Ethiopic Manuscript No. 20: Miracles of Mary (Tä'amrä Maryam), Book of Baptism (Mäsəhafä Təmqät)",,,,Miracles of Mary;Book of baptism,Q100782;Q100790
Miracles of Mary 1-10,,,,Miracles of Mary,Q100782
Homily of King Zärə'a Ya'əqob on the Honor of Virgin Mary,,,,Homily,Q100791
Prayer to Mary About the Reading of the Miracles,,,,Prayer,Q20014
Miracles of Mary 11-94,,,,Miracles of Mary,Q100782
Twenty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirtieth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Fortieth Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Fragment of a Miracle About a Certain Priest,,,,Miracles,Q39731
Forty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Forty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Fiftieth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixtieth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventieth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-First Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventy-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Eightieth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Nintieth Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-First Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
"Book of Baptism, (Mäsəhafä Təmqät)",,,,Book of baptism,Q100790
Miracle of Saint Michael the Archangel,,,,Miracles of Saint Michael,Q100792
Miracle of Jesus,,,,Miracles of Jesus,Q100793
Princeton Ethiopic Manuscript No. 21: Homily [in Honor] of [the Archangel] Michael (Dərəsanä Mika'el),,,,Homily,Q100791
Hədar,,,,,
"Homily by Dämatewos, Bishop of Alexandria",,,,Homily,Q100791
Miracle,,,,Miracles,Q39731
"Synaxary Entry: Mission to Joshua, Son of Nun",,,,Synaxarium entry,Q100794
"Greeting to the Archangel, Sälam",,,,,
Tahəśaś,,,,,
"Homily, Author Not Given",,,,Homily,Q100791
Synaxary Entry: Mission of the Archangel to Rescue the Three Holy Children,,,,Synaxarium entry,Q100794
Tərr,,,,,
"Homily on the Glory of St Michael the Archangel, Author Not Given",,,,Homily,Q100791
Synaxary Entry: Mission of the Archangel to Jacob,,,,Synaxarium entry,Q100794
Yäkkatit,,,,,
Synaxary Entry: Mission of the Archangel to Samson the Giant,,,,Synaxarium entry,Q100794
Mäggabit,,,,,
"Homily by Abba Yohannəs, Bishop of Antioch",,,,Homily,Q100791
Synaxary Entry: Mission of the Archangel to Balaam,,,,Synaxarium entry,Q100794
Miyazya,,,,,
Homily of Yohannəs the Orthodox,,,,Homily,Q100791
Synaxary entries: Mission of the Archangel to the Prophet Jeremiah,,,,Synaxarium entry,Q100794
Gənbot,,,,,
"Homily by Yohannəs, Bishop of Ethiopia, Who Came After Bishop Yəśhaq, on the Conflict Between the Consort of King Arqadewos and John Chrysostom",,,,Homily,Q100791
Synaxary entry: Mission of the Archangel to Habakkuk,,,,Synaxarium entry,Q100794
Säne,,,,,
"Homily on the Family of Astäraniqos and Euphemia, by Yohannəs, Bishop of Aksum",,,,Homily,Q100791
Synaxary entry: the Building of the Church of the Archangel in Place of a Pagan Temple in Alexandria,,,,Synaxarium entry,Q100794
Hamle,,,,,
Homily on the Wicked Wealthy Man Whose Property Was Inherited by the Son of His Poor Neighbor [by Bishop Yohannəs],,,,Homily,Q100791
Synaxary entry: Mission to the Camp of Sennacherib,,,,Synaxarium entry,Q100794
Nähase,,,,,
"Homily on the Book of the Angels that Came from Jerusalem, Author Not Given",,,,Homily,Q100791
Synaxary entry: Mission of the Archangel to the Emperor Constantine,,,,Synaxarium entry,Q100794
Mäskäräm,,,,,
"Homily on Not Worshipping Other Gods, Author Not Given",,,,Homily,Q100791
Synaxary entry: Mission to Prophet Isaiah,,,,Synaxarium entry,Q100794
Təqəmt,,,,,
"Homily on the Need to Make the Angels Sureties by Honoring Them, Author Not Given",,,,Homily,Q100791
Synaxary entry: Mission to Prophet Samuel,,,,Synaxarium entry,Q100794
"Prayer for the Current King of Ethiopia, Given as Menilek (r. 1889–1913)",,,,Prayer,Q20014
Image of Saint Michael,,,,Image of Saint Michael,Q100786
Princeton Ethiopic Manuscript No. 22: Psalter. Dawit,,,,Psalter,Q660
"Princeton Ethiopic Manuscript No. 23: Images (Mäləkə'a), Miracle of Mary (Tä'ammərä Maryam), Miracle of Jesus (Tä'ammərä Iyassus), Prayer to Jesus and Mary, Mystagogia (Təməhrətä Həbu'a), and Other Prayers",,,,Miracles of Mary;Mystagogia,Q100782;Q100787
Collection of Devotional Readings,,,,Devotional text,Q19956
"Vision of John, Son of Thunder",,,,Vision of John,Q100795
The Angels' Praise of Mary (Yəweddəsəwa Mäla'əkət),,,,Marian devotional text,Q100796
"Image of Icon of the Virgin Mary, Mäləkə'a Sə'əl",,,,Marian devotional text,Q100796
Introductory Rite from Mu'alləqa,,,,Ritual text,Q100783
On the Five Lamentations of Mary,,,,Marian devotional text,Q100796
First Miracle of Jesus,,,,Miracles of Jesus,Q100793
Second Miracle of Jesus,,,,Miracles of Jesus,Q100793
Third Miracle of Jesus,,,,Miracles of Jesus,Q100793
Prayer to Jesus and the Virgin Mary,,,,Prayer,Q20014
"Hours of the Night, Nə'i Habey (Excerpt)",,,,Hours of the Night,Q100797
"Mystagogia, Təməhrətä Həbu'a (Strelcyn 9.2)",,,,Mystagogia,Q100787
Synaxarium Entry for Säbsətəyanos Martyrdom,,,,Synaxarium entry,Q100794
"Greeting to Saint George, Bähäkä Giyorgis",,,,,
"Image of Michael, Mälkə'a Mika'el",,,,Image of Saint Michael,Q100786
"Image of Gabriel, Mälkə'a Gabri'el",,,,Image of Saint Gabriel,Q100778
Princeton Ethiopic Manuscript No. 24: Book of Missal (Mäshafä Qəddase),,,,Missal,Q662
Missal,,,,Missal,Q662
Order of the Egyptian Fathers,,,,,
Ordinary of the Mass,,,,Ordinary of the Mass,Q100798
Anaphora of the Apostles,,,,Anaphora,Q39195
Anaphora of Our Lord (With Musical Notation),,,,Anaphora,Q39195
Princeton Ethiopic Manuscript No. 25: Psalter. Dawit,,,,Psalter,Q660
Princeton Ethiopic Manuscript No. 26: Antiphonary for the Year (Dəggwa),,,,Antiphonary,Q654
Excerpt from Dəggwa,,,,,
Antiphonary for the Year,,,,Antiphonary,Q654
Antiphonary for the Year (Dəggwa),,,,Antiphonary,Q654
Variation of Hallelujah (Anqäs Haleta),,,,,
Princeton Ethiopic Manuscript No. 27: Psalter. Dawit,,,,Psalter,Q660
