title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
"A Reading from Psalm 121 [in Ethiopic Bible, Psalm 120]",,,,Psalms,Q5972
Magical Prayer of Moses,,,,Prayer;Magical texts,Q20014;Q38350
Reading from a Gospel,,,,Gospel reading,Q100811
Magical Prayer against Enemies,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for the Whole Year,,,,Prayer;Magical texts,Q20014;Q38350
Astrology (On the Stars),,,,Astrological text,Q20378
Computation of the Spirit (Hatäta Mänafəsət),,,,Computation,Q100812
Scheme of Lake Tana,,,,,
Scheme of Lake Kora,,,,,
Scheme of Lake Ela,,,,,
Scheme of Lake Zəway,,,,,
Scheme of Lake Wənəg,,,,,
Scheme of Lake Daha,,,,,
Scheme of Lake Hayəq,,,,,
Scheme of Lake Heno,,,,,
Scheme of Lake Šämazəbe,,,,,
Scheme of Lake Gəmb,,,,,
Scheme of Lake Täkäze,,,,,
Scheme of Lake Abawi,,,,,
Hasab Concerning Taking a Wife,,,,,
Magical Prayer for Getting a Gift,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer With a Talismanic Symbol,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer (In Arabic With Ge'ez Characters) With Magical Charts,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer against Bleeding and Sickness During Pregnancy,,,,Prayer;Magical texts,Q20014;Q38350
Magical Charts,,,,Magical texts,Q38350
Magical Prayer against Miscarriage,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for Love,,,,Prayer;Magical texts,Q20014;Q38350
Computation of Ezra,,,,Computation,Q100812
Computation of Egypt,,,,Computation,Q100812
Magical Prayer for a Safe Journey,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for the Binding of a Slave,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for the Banishment of Demons,,,,Prayer;Magical texts,Q20014;Q38350
The Numerical Values of the Letters of the Ge'ez Alphabet on a Separate Tiny Quire,,,,Numerological text,Q100810
Calculation of the Copts,,,,,
Concerning the Best Dates to Go to War,,,,,
Calendar of the Seasons,,,,Calendar,Q1122
Magical Prayer of Jeremiah,,,,Prayer;Magical texts,Q20014;Q38350
Computation of Aristotle,,,,Computation,Q100812
Magical Prescription against Sickness,,,,Magical text,Q100808
Mästam (The Drowning),,,,,
Computation of Enoch,,,,Computation,Q100812
Magical Prescription against Various Diseases,,,,Magical text,Q100808
Hasab,,,,,
Magical Prayer for Protection When Herding Animals,,,,Prayer;Magical texts,Q20014;Q38350
Net of Solomon,,,,,
Magical Prayers,,,,Prayer;Magical texts,Q20014;Q38350
Magical Charts in Ge'ez and Magical Prayers Written in Arabic With Ge'ez Letters,,,,Magical texts,Q38350
Computation of Daniel,,,,Computation,Q100812
Ge'ez Verbs,,,,Ge'ez linguistic text,Q100813
Magical Prescription against Diseases,,,,Magical text,Q100808
Magical Prayers and Hasab of the Children of Jesse,,,,Prayer;Magical texts,Q20014;Q38350
Lists of Possibilities,,,,,
Hasab of the Circle of the Year,,,,,
Anqäs Concerning Love,,,,Anqäs,Q100809
Magical Prayer against Chest Pain,,,,Prayer;Magical texts,Q20014;Q38350
Princeton Ethiopic Manuscript No. 43: Miracles of Mary (Tä'ammərä Maryam) and Miracles of Saint George (Tä'amərä Giyorgis),,,,Miracles of Mary;Miracles of Saint George,Q100782;Q100814
Introductory Rite from Mu'alləqa (Incomplete At the Beginning),,,,Ritual text,Q100783
Miracles of Saint George,,,,Miracles of Saint George,Q100814
First Miracle of Saint George,,,,Miracles of Saint George,Q100814
Second Miracle of Saint George,,,,Miracles of Saint George,Q100814
Third Miracle of Saint George,,,,Miracles of Saint George,Q100814
Fourth Miracle of Saint George,,,,Miracles of Saint George,Q100814
Fifth Miracle of Saint George,,,,Miracles of Saint George,Q100814
Princeton Ethiopic Manuscript No. 44: Synaxarium (Lives of the Saints). Sənksar,,,,Synaxarium entry,Q100794
Sənksar (Synaxarium for the Second Half of the Year),,,,Synaxarium entry,Q100794
Entries for Mäggabit,,,,,
Entries for Miyazya,,,,,
Entries for Gənbot,,,,,
Entries for Säne,,,,,
Entries for Hamle,,,,,
Entries for Nähase,,,,,
Entries for Pagwame,,,,,
Princeton Ethiopic Manuscript No. 45: Synaxarium (Lives of the Saints). Sənksar,,,,Synaxarium entry,Q100794
Sənksar (Synaxarium for the First Half of the Year),,,,Synaxarium entry,Q100794
Entries for Mäskäräm,,,,,
Entries for Təqəmt,,,,,
Entries for Hədar,,,,,
Entries for Tahəśaś,,,,,
Entries for Tərr,,,,,
Entries for Yäkkatit,,,,,
Princeton Ethiopic Manuscript No. 46: Miracles of Mary (Tä'ammərä Maryam),,,,Miracles of Mary,Q100782
Miracle of Mary,,,,Miracles of Mary,Q100782
Homily of Cyril the Bishop of Jerusalem About the Church of Saint Mary and Her Icon in Damascus,,,,Homily,Q100791
Ninetieth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundredth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and First Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Second Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Third Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Tenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Eleventh Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twelfth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Thirteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Fourteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Fifteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Sixteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Seventeenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Eighteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Nineteenth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twentieth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-First Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Twenty-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Thirtieth Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Thirty-First Miracle of Mary,,,,Miracles of Mary,Q100782
One Hundred and Thirty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
"Princeton Ethiopic Manuscript No. 47: Miracles of Mary (Tä'ammərä Maryam), Miracles of Jesus (Tä'ammərä Iyassus)",,,,Miracles of Mary;Miracles of Jesus,Q100782;Q100793
Beginning of a Miracle of Mary,,,,Miracles of Mary,Q100782
Miracles of Mary Interspersed With Miracles of Jesus,,,,Miracles of Mary;Miracles of Jesus,Q100782;Q100793
Fourth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Fifth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Sixth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Seventh Miracle of Jesus,,,,Miracles of Jesus,Q100793
Eighth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Ninth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Tenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Eleventh Miracle of Jesus,,,,Miracles of Jesus,Q100793
"Synaxarium Entry for the Sixteenth Day of Yäkatit, on the Assumption of the Virgin Mary",,,,Synaxarium entry,Q100794
Twelfth Miracle of Jesus,,,,Miracles of Jesus,Q100793
Princeton Ethiopic Manuscript No. 48: Missal (Mäśəhäfä Qədasse),,,,Missal,Q662
Office Prayer,,,,Prayer,Q20014
"Supplications, Mästäbqä'",,,,Supplications,Q100815
Supplication for the Sick,,,,Supplications,Q100815
Supplication for the Traveler,,,,Supplications,Q100815
Supplication for Rainfall,,,,Supplications,Q100815
"Supplication for Farming (Lit. ""Fruits of the Earth"")",,,,Supplications,Q100815
Supplication for Rivers,,,,Supplications,Q100815
Supplication for the King,,,,Supplications,Q100815
Supplication for the Departed,,,,Supplications,Q100815
Supplication for the Catechumens,,,,Supplications,Q100815
Supplication for the Peace of the Church,,,,Supplications,Q100815
"Litany, Liton, for the Days of the Week",,,,Litany,Q1378
Litany for the Miracle of Mary,,,,Miracles of Mary;Litany,Q1378;Q100816
"Litany for Mary, Lä-Nəgətä Kulənä",,,,Litany,Q1378
"Litany for Monday, Enzä Nä'äkwäto",,,,Litany,Q1378
"Litany for Tuesday, Səməkä Həyaw",,,,Litany,Q1378
"Litany for Wednesday, Lätərus Egzi'o",,,,Litany,Q1378
"Litany for Thursday, Kämä Tadhənänä",,,,Litany,Q1378
"Litany for Friday, Täzäkkär Egzi'o",,,,Litany,Q1378
"Litany for Saturday, Sobä 'äkko Egzi'abəher",,,,Litany,Q1378
"Litany for Sunday, Lä-'amälakä Məhərätt",,,,Litany,Q1378
Litany for the Dead (Lit. the Sleeping),,,,Litany,Q1378
"Litany for the Dead, Egəzi'ä Həyawan",,,,Litany,Q1378
Litany for the Dead,,,,Litany,Q1378
Litany for Vespers,,,,Litany,Q1378
"Prayer of Supplication, Nägś",,,,Supplications,Q100815
Ordinary of the Mass and Anaphoras,,,,Ordinary of the Mass;Anaphora,Q39195;Q100817
"Ordinary of the Mass, Sərə`ata Qədasse",,,,Ordinary of the Mass,Q100798
"Anaphora of the Apostles, Qədasse Häwarəyat",,,,Anaphora,Q39195
"Anaphora of Our Lord, Qədasse Egəzi'",,,,Anaphora,Q39195
"Anaphora of Mary Attributed to Cyriacus of Bəhənsa, Qədasse Maryam Gwäsə'a",,,,Anaphora,Q39195
"Anaphora of John, Son of Thunder, Qədasse Yohannəs Wäldä Nägwädgwad",,,,Anaphora,Q39195
"Anaphora of the 318 Orthodox Fathers, Qädase Zä-Śäläsətu Mə'ət",,,,Anaphora,Q39195
"Anaphora of Epiphanius, Qədasse Epifanəyos Abiy",,,,Anaphora,Q39195
"Anaphora of Gregory, Brother of Basil, Qədasse Gorgorəyos'əhəwä Basələyos",,,,Anaphora,Q39195
"Anaphora of Dioscorus, Qədasse Diyosəqoros Emqədəmä 'aläm",,,,Anaphora,Q39195
"Anaphora of Athanasius, Qədasse Atənatewos Asämə' Läkəmu",,,,Anaphora,Q39195
"Anaphora of Basil, Qədasse Basələyos",,,,Anaphora,Q39195
"Anaphora of John Chrysostom, Qədasse Yohannəs Afä Wärəq Nahu Nəzenu",,,,Anaphora,Q39195
"Anaphora of Jacob of Serugh, Qədasse Zä-śərug",,,,Anaphora,Q39195
"Anaphora of Gregory [the Wonder Worker], Qədasse Gorgorəyos",,,,Anaphora,Q39195
"Anaphora of Cyril, Qədasse Qerəlos",,,,Anaphora,Q39195
"Hymns Which Are Parts of Each of the Preceding Anaphoras, Śärawitä",,,,Hymns,Q3715
"Seal of the Bread of the Host, With Indications of Which Portion Goes to the Priest and Deacons",,,,,
Princeton Ethiopic Manuscript No. 49: Psalter. Dawit,,,,Psalter,Q660
Princeton Ethiopic Manuscript No. 50: Unidentified,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 51: Psalter. Dawit,,,,Psalter,Q660
Princeton Ethiopic Manuscript No. 52: Images (Mälkə'a Guba'e),,,,,
"Image of George, Zä-Säleda Mogäs",,,,Image of Saint George,Q100779
"Image of the Savior of the World, Mälkə'a Mädhane Aläm",,,,Image of the Savior of the World,Q100801
"Image of George, Tämahəsänəku",,,,Image of Saint George,Q100779
A Magical Prayer Against Enemies,,,,Prayer;Magical texts,Q20014;Q38350
Princeton Ethiopic Manuscript No. 53: The Five Pillars of Mystery (Aməsətu A'əmadä Məśətir),,,,Five Pillars of Mystery,Q100818
Introduction,,,,,
The Mystery of the Trinity,,,,Mystery of the Trinity,Q100819
The Mystery of the Incarnation,,,,Mystery of the Incarnation,Q100820
The Mystery of Baptism,,,,Mystery of Baptism,Q100821
The Mystery of the Eucharist,,,,Mystery of the Eucharist,Q100822
The Mystery of the Resurrection of the Dead,,,,Mystery of the Resurrection of the Dead,Q100823
A Magical Prayer for Long Life,,,,Prayer;Magical texts,Q20014;Q38350
Princeton Ethiopic Manuscript No. 54: Synaxarium (Lives of the Saints) Sənksar,,,,Synaxarium entry,Q100794
Entries for Pagwume,,,,,
Princeton Ethiopic Manuscript No. 55: Scriptural Commentary,,,,Bible commentary,Q1433
Princeton Ethiopic Manuscript No. 56: A Book of Magical Prayers With Talismanic Drawings,,,,Prayers;Magical texts,Q798;Q38350
"A Composite Text Beginning in Abrupto With an Extract from the Gospel Text Recounting Jesus' Recruiting of the Apostle Andrew, Followed by a Magical Prayer or Prayers Invoking the Same Apostle",,,,,
"A Prayer for the Binding of Demons, Barya and Zar",,,,Prayer,Q20014
Series of Prayers for the Undoing of Spells or Charms,,,,Prayers;Magical texts,Q798;Q38350
Series of Prayers for the Undoing of Spells,,,,Prayers;Magical texts,Q798;Q38350
"Series of Prayers for ""Drowning"" [of Demons]",,,,Prayers;Magical texts,Q798;Q38350
An Extensive Prayer Without a Title But Also for Release from Spells and Charms,,,,Prayer,Q20014
Princeton Ethiopic Manuscript No. 57: Miracles of Mary With Three Miracles of Saint George,,,,Miracles of Mary;Miracles of Saint George,Q100782;Q100814
The Story of Hildefonsus of Toledo [Däqseyos],,,,,
The Story of the Poor Monk Who Had Neither Food Nor Clothes,,,,,
The Story of the Artisan Who Was Devoted to the Virgin Mary,,,,,
The Story of the Jew of Akhmim,,,,,
The Story of Damianus of Philippi [Demyanos of Felp'esyos],,,,,
The Story of Pope Leon [Bishop Abbas of Romé],,,,,
The Story of Isaac the Monk,,,,,
The Story of the Man from Defra Whose Daughter Was Transported to Paradise,,,,,
The Story of the Artist Who Fell from His Scaffolding,,,,,
The Story of the Sick Merchant,,,,,
The Story of the Young Man Zacharias [Zäkaryas],,,,,
The Story of Juliana and Barbara [Yolyana and Bärbara],,,,,
The Story of the Three Arabs of Rif,,,,,
"The Story of the Church that Was Transported to the Shores of the Sea of ""Iyariko""",,,,,
"The Story of the Blind Priest, Yohannes of Bäkänsi",,,,,
The Story of the Rich Merchant of Qwälasyes,,,,,
The Story of the Daughter of Abreham of Bedreman,,,,,
The Story of the Poor Widow and Her Daughters,,,,,
The Story of the Two Brother Scribes,,,,,
The Story of George the Younger,,,,,
The Story of the Priest Kät'ir of Elkus [sic],,,,,
The Story of the Dyer Näzib,,,,,
The Story of the Man With a Club Foot,,,,,
The Story of Bishop Mercurius [Märqoréwos],,,,,
The Story of the Woman of Haarlem [Hartälom],,,,,
The Story of Abbess Sophia of Carmel [Sofya of Qärmélos],,,,,
The Story of Barok of Finqi,,,,,
The Story of the Deacon Anastasius [Anest'asyos],,,,,
The Story of the Monk Salusi of the Monastery of Qälmon,,,,,
"[bottom, Different hand] Short Hymn or Prayer, mid-1700s",,,,,
The Story of the Cannibal of Qemer,,,,,
The Story of the Widow's Son Who Was a Thief,,,,,
The Story of the Woman Who Gave Birth in a Storm At Sea,,,,,
The Story of the Thirsty Dog,,,,,
The Story of the Five Sorrows Told by the Virgin to Her Son and His Granting of the Covenant of Mercy on Her Behalf,,,,,
"[bottom, Different hand] Prayer to the Virgin Mary",,,,Prayer,Q20014
Miracles of St. George,,,,Miracles of Saint George,Q100814
Princeton Ethiopic Manuscript No. 58: Ethiopic Amulet,,,,Amulet,Q76030
Princeton Ethiopic Manuscript No. 59: Ethiopic Folding Picture Book,,,,Folding picture book,Q100824
Princeton Ethiopic Manuscript No. 60: Collection of Astrological and Divinatory Treatises,,,,Astrological texts;Divination texts,Q3123;Q27675
Explanation of the Stars (Fekkārē Kawākebt),,,,Astronomical text,Q38381
Divinatory Interpretations of Signs and Prescriptions [different hand],,,,Divination texts,Q27675
[Different hand],,,,,
"Prayers for Undoing Spells and against Various Ailments, With Talismanic Drawings [different hand]",,,,Prayers,Q798
Further Divinations and Prescriptions,,,,Divination texts,Q27675
Magic Words and Phrases and Signs,,,,Magical texts,Q38350
"Series of Prayers against Budā, Qu[ra]ññā, Bāryā, etc. and Various Ailments",,,,Prayers,Q798
Further Divinations and Prescriptions [different hand],,,,Divination texts,Q27675
"Prayer Titled ""The Chariot of Elijah"" (Saragallā 'Ēlyās) [different hand]",,,,Prayer,Q20014
"Beginning of a Text Titled ""The Epistles of Shem, Abraham and Isaac"" [different Hand, and outlined]",,,,"Epistles of Shem, Abraham, and Isaac",Q100825
"Magical Prescriptions and Procedures [different Hand, in Amharic]",,,,Magical texts,Q38350
Princeton Ethiopic Manuscript No. 61: Homilies and Miracles of St. Michael,,,,Homilies;Miracles of Saint Michael,Q1246;Q100792
History of St. Michael the Archangel (Zēnā ... Qeddus Mikā'ēl Liqa Malā'ekt),,,,History of Saint Michael,Q100826
Homily of St. Michael for the 12th of Hedār (Nov. 21) by Abbā Damātēwos of Alexandria,,,,Homily,Q100791
Prayers to St. Michael,,,,Prayers,Q798
A Miracle of St. Michael,,,,Miracles of Saint Michael,Q100792
Synaxarium Entry for the 12th of Hedār,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Tāhsās (Dec. 21),,,,Homily,Q100791
Synaxarium Entry for the 12th of Tāhsās,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of T'er (Jan. 20),,,,Homily,Q100791
Synaxarium Entry for the 12th of T'er,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Yakkātit (Feb. 19),,,,Homily,Q100791
Synaxarium Entry for the 12th of Yakkātit,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Maggābit (Mar. 21) by John Bishop of Antioch,,,,Homily,Q100791
Synaxarium Entry for the 12th of Maggābit,,,,Synaxarium entry,Q100794
"Homily of St. Michael for the 12th of Miyāzyā (Apr. 20) by ""the Orthodox"" (Retu'a Haymānot)",,,,Homily,Q100791
Synaxarium Entry for the 12th of Miyāzyā,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Genbot (May 20) by John Bishop of Ethiopia,,,,Homily,Q100791
Synaxarium Entry for the 12th of Genbot,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Sanē (June 19) by the Bishop of Axum,,,,Homily,Q100791
Synaxarium Entries for the 12th of Sanē,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Nahasē (Aug. 18),,,,Homily,Q100791
Synaxarium Entry for the 12th of Nahasē,,,,Synaxarium entry,Q100794
Commemoration of the Feast Day of the Archangel Raphael on the 3rd of P'āgumē[n] (Sept. 7),,,,Commemoration,Q100827
Homily of St. Michael for the 12th of Maskaram (Sept. 22),,,,Homily,Q100791
Synaxarium Entry for the 12th of Maskaram,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of T'eqemt (Oct. 22),,,,Homily,Q100791
Two Miracles of St. Michael,,,,Miracles of Saint Michael,Q100792
Synaxarium Entry for the 12th of T'eqemt,,,,Synaxarium entry,Q100794
[Different hand] Malke' Hymn to the Archangel Michael,,,,Hymns,Q666
Princeton Ethiopic Manuscript No. 62: Psalter,,,,Psalter,Q660
Book of Psalms,,,,Psalms,Q5972
Canticles of the Prophets,,,,Canticles,Q48572
"Praise of Mary, Wəddase Maryam (Weddāsē Māryām), for Each of the Days of the Week",,,,Marian devotional text,Q100796
The Shorter Office of the Virgin Mary (Anqas'a Berhān or Gate of Light),,,,Gate of Light,Q100776
"Princeton Ethiopic Manuscript No. 63: Fragments of the Homilies of St. Michael, and Other Texts",,,,Homilies,Q1246
Introduction to the Homilies and Miracles of St. Michael (Incomplete),,,,Homilies;Miracles of Saint Michael,Q1246;Q100792
[Different hand] Continuation of the Previous,,,,,
Synaxarium Entry (Date Unspecified) for St. Michael,,,,Synaxarium entry,Q100794
Homily of St. Michael for the 12th of Genbot,,,,Homily,Q100791
Homily of St. Michael by John Bishop of Axum,,,,Homily,Q100791
Synaxarium Entry for the 12th of Hedār (Incomplete),,,,Synaxarium entry,Q100794
[Different hand] Treatise on the Four Gospels,,,,Bible commentary,Q1433
Homily of St. Michael by By Abbā Damātēwos of Alexandria (I.e. for the Month of Hedār),,,,Homily,Q100791
"Homily of St. Michael (Unidentified, Possibly for the Month of T'er)",,,,Homily,Q100791
Homily of St. Michael for the 12th of Yakkātit,,,,Homily,Q100791
Homily of St. Michael (Unspecified),,,,Homily,Q100791
[Different hand] History of St. Michael for Reading on the 12th of Sanē,,,,History of Saint Michael,Q100826
Homily of St. Michael for the Month of Hamlē by Bishop John,,,,Homily,Q100791
Homily of St. Michael for the 12th of Maggābit,,,,Homily,Q100791
Part of a Different Homily of St. Michael (Beginning Missing),,,,Homily,Q100791
Synaxarium Entry for the 12th of Hamlē,,,,Synaxarium entry,Q100794
Homily of St. Michael for the Month of Nahāsē,,,,Homily,Q100791
Synaxarium Entry for the 12th of Nahāsē,,,,Synaxarium entry,Q100794
Princeton Ethiopic Manuscript No. 64: Fragment of a Hymnary for the Divine Office (Deggwā),,,,Hymnary,Q100828
"Fragment of the Deggwā (Hymnary for the Divine Office) Containing Hymns and Troparies for the Divine Office, With Cantillation Signs",,,,Hymns,Q3715
Princeton Ethiopic Manuscript No. 65: Miracles of Mary,,,,Miracles of Mary,Q100782
Blank,,,,,
Introduction to the Miracles of Mary,,,,Miracles of Mary,Q100782
MIRACLES OF MARY,,,,Miracles of Mary,Q100782
MIRACLE 1,,,,Miracles of Mary,Q100782
PAINTING 1,,,,Painting,Q38348
PAINTING 2,,,,Painting,Q38348
PAINTING 3,,,,Painting,Q38348
MIRACLE 2,,,,Miracles of Mary,Q100782
PAINTING 4,,,,Painting,Q38348
MIRACLE 3,,,,Miracles of Mary,Q100782
PAINTING 5,,,,Painting,Q38348
PAINTING 6,,,,Painting,Q38348
MIRACLE 4,,,,Miracles of Mary,Q100782
PAINTING 7,,,,Painting,Q38348
MIRACLE 5,,,,Miracles of Mary,Q100782
PAINTING 8,,,,Painting,Q38348
PAINTING 9,,,,Painting,Q38348
MIRACLE 6,,,,Miracles of Mary,Q100782
PAINTING 10,,,,Painting,Q38348
MIRACLE 7,,,,Miracles of Mary,Q100782
PAINTING 11,,,,Painting,Q38348
MIRACLE 8,,,,Miracles of Mary,Q100782
PAINTING 12,,,,Painting,Q38348
MIRACLE 9,,,,Miracles of Mary,Q100782
PAINTING 13,,,,Painting,Q38348
PAINTING 14,,,,Painting,Q38348
MIRACLE 10,,,,Miracles of Mary,Q100782
PAINTING 15,,,,Painting,Q38348
PAINTING 16,,,,Painting,Q38348
MIRACLE 11,,,,Miracles of Mary,Q100782
PAINTING 17,,,,Painting,Q38348
PAINTING 18,,,,Painting,Q38348
MIRACLE 12,,,,Miracles of Mary,Q100782
PAINTING 19,,,,Painting,Q38348
PAINTING 20,,,,Painting,Q38348
blank,,,,,
MIRACLE 13,,,,Miracles of Mary,Q100782
PAINTING 21,,,,Painting,Q38348
PAINTING 22,,,,Painting,Q38348
MIRACLE 14,,,,Miracles of Mary,Q100782
PAINTING 23,,,,Painting,Q38348
PAINTING 24,,,,Painting,Q38348
MIRACLE 15,,,,Miracles of Mary,Q100782
PAINTING 25,,,,Painting,Q38348
PAINTING 26,,,,Painting,Q38348
MIRACLE 16,,,,Miracles of Mary,Q100782
PAINTING 27,,,,Painting,Q38348
PAINTING 28,,,,Painting,Q38348
MIRACLE 17,,,,Miracles of Mary,Q100782
PAINTING 29,,,,Painting,Q38348
PAINTING 30,,,,Painting,Q38348
MIRACLE 18,,,,Miracles of Mary,Q100782
PAINTING 31,,,,Painting,Q38348
PAINTING 32,,,,Painting,Q38348
MIRACLE 19,,,,Miracles of Mary,Q100782
PAINTING 33,,,,Painting,Q38348
MIRACLE 20,,,,Miracles of Mary,Q100782
PAINTING 34,,,,Painting,Q38348
PAINTING 35,,,,Painting,Q38348
MIRACLE 21,,,,Miracles of Mary,Q100782
PAINTING 36,,,,Painting,Q38348
PAINTING 37,,,,Painting,Q38348
MIRACLE 22,,,,Miracles of Mary,Q100782
PAINTING 38,,,,Painting,Q38348
PAINTING 39,,,,Painting,Q38348
MIRACLE 23,,,,Miracles of Mary,Q100782
PAINTING 40,,,,Painting,Q38348
PAINTING 41,,,,Painting,Q38348
MIRACLE 24,,,,Miracles of Mary,Q100782
PAINTING 42,,,,Painting,Q38348
PAINTING 43,,,,Painting,Q38348
MIRACLE 25,,,,Miracles of Mary,Q100782
PAINTING 44,,,,Painting,Q38348
PAINTING 45,,,,Painting,Q38348
PAINTING 46,,,,Painting,Q38348
MIRACLE 26,,,,Miracles of Mary,Q100782
PAINTING 47,,,,Painting,Q38348
PAINTING 48,,,,Painting,Q38348
MIRACLE 27,,,,Miracles of Mary,Q100782
PAINTING 49,,,,Painting,Q38348
MIRACLE 28,,,,Miracles of Mary,Q100782
PAINTING 50,,,,Painting,Q38348
PAINTING 51,,,,Painting,Q38348
MIRACLE 29 [numbered as 30],,,,Miracles of Mary,Q100782
PAINTING 52,,,,Painting,Q38348
PAINTING 53,,,,Painting,Q38348
MIRACLE 30 [numbered as 31],,,,Miracles of Mary,Q100782
PAINTING 54,,,,Painting,Q38348
PAINTING 55,,,,Painting,Q38348
MIRACLE 31 [numbered as 32],,,,Miracles of Mary,Q100782
PAINTING 56,,,,Painting,Q38348
PAINTING 57,,,,Painting,Q38348
MIRACLE 32 [numbered as 33],,,,Miracles of Mary,Q100782
PAINTING 58,,,,Painting,Q38348
PAINTING 59,,,,Painting,Q38348
blank except for two lines of pen trials,,,,Pen trials,Q100829
A hymn to the Virgin Mary,,,,Hymns,Q666
"[different, larger hand]",,,,,
blank leaf with a smaller [190 x 200mm] painted leaf sewn on,,,,,
"Princeton Ethiopic Manuscript No. 66: Book of Magico-Medical, Divinatory and Astrological Texts",,,,Magico-medical texts;Divination texts;Astrological texts,Q100830;Q27675;Q3123
Various magico-medical prescriptions,,,,Magical texts;Medical texts,Q38350;Q817
Prescriptions for undoing spells,,,,Magical texts,Q38350
"Various spells for combatting demons, the evil eye, etc.",,,,Magical texts,Q38350
Prescription for curing typhoid or typhus,,,,Medical text,Q20372
Talismanic drawing in the form of an eight-pointed star with a central face,,,,Talismanic drawings,Q100831
Various magical prayers for binding and destroying demons,,,,Prayers;Magical texts,Q798;Q38350
"Talismanic drawing to accompany ""the prayer of Moses""",,,,Talismanic drawings,Q100831
Various talismanic drawings,,,,Talismanic drawings,Q100831
[blank],,,,,
Talismanic drawing in the form of the cosmic serpent,,,,Talismanic drawings,Q100831
"Various magical prayers for the binding and destruction of demons, evil spirits, etc.",,,,Prayers;Magical texts,Q798;Q38350
"Prayer for ""blocking"" one's enemies",,,,Prayer,Q20014
Sequence (in various hands) of prayers with talismanic drawings for summoning demons,,,,Prayers;Talismanic drawings,Q798;Q100831
"Prayers for ""harming those who harm [me]""",,,,Prayers,Q798
