name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Moses Maimonides (1135 or 1138-1204),author,,,,,,,,human,Moshe ben Maimon,Q127398,Q12310
Moses Shapira,former owner,,,,,,,,human,Moses Shapira,Q1246291,Q75960
Adolph Sutro (1830-1898),former owner,,,,,,,,human,Adolph Sutro,Q214461,Q829
Claude Settlemire (1922-1977),former owner,,,human,Claude Settlemire,Q134414681,DSNAME8660,Q100397,,,,
Convent of Santa María de los Ángeles de Churubusco (de Ocholoposco),former owner,,,,,,,,organization,Monastery of Our Lady of the Angels of Churubusco,Q133266179,Q75966
Adolph Sutro,former owner,,,,,,,,human,Adolph Sutro,Q214461,Q829
1520s Hours Workshop,artist,,,,,,,,organization,1520s Hours Workshop,Q133265947,Q75962
Noel Bellemare,artist,,,,,,,,human,Noel Bellemare,Q7121071,Q75961
Baron Jerome Pichon (1812-1896),former owner,,,,,,,,human,Jérôme Pichon,Q3191022,Q7906
Sam Fogg,former owner,,,,,,,,organization,Sam Fogg Rare Books & Manuscripts,Q116189818,Q27872
Bruce Ferrini,former owner,,,,,,,,human,Bruce P. Ferrini,Q124139405,Q42131
Samuel b. Meshullam Gerondi (ca. 1300),author,,,,,,,,human,Samuel ben Meshullam Gerondi,Q133265999,Q75963
"Harkaran, Multānī",author,,,,,,,,human,Multānı̄ Harikaṇa,Q133266065,Q75965
Shāh Asrār Allāh,scribe,,,,,,,,,,,
Buxheim Charterhouse,former owner,,,,,,,,organization,Buxheim Charterhouse,Q460224,Q832
Hugo Philipp Waldbott-Bassenheim,former owner,,,,,,,,human,Hugo Philipp Waldbott-Bassenheim,Q1682028,Q833
Johannes Halgrinus de Abbatisvilla,author,,,,,,,,human,John Halgren of Abbeville,Q3129519,Q830
Dean of Lukirch,former owner,,,,,,,,human,Dean of Lukirch,Q116523957,Q831
Pseudo Phalaris,author,,,,,,,,human,Pseudo-Phalaris,Q101173400,Q826
Antonius de Bozollo,scribe,,,,,,,,human,Antonius de Bozollo,Q117338088,Q827
Carlo Archinto of Milan (1669-1732),former owner,,,,,,,,human,"Carlo Archinto, 2nd Marquess of Parona, 3rd Count of Trainate",Q665628,Q828
Aldobrandino da Siena,author,,,,,,,,human,Aldobrandino da Siena,Q2832270,Q834
Jachopo di Domenicho vinattiere de' Seghalorzi di Firenze,scribe,,,,,,,,human,Jacopo di Domenicho,Q117448349,Q835
Fabrizio Rilli Orsini,former owner,,,,,,,,human,Fabrizio Rilli Orsini,Q87706284,Q836
Jacques Rosenthal,former owner,,,,,,,,human,Jacques Rosenthal,Q1293460,Q20129
Pascasius Radbertus,author,,,,,,,,human,Paschasius Radbertus,Q654858,Q838
Peter Damian,author,,,,,,,,human,Peter Damian,Q258369,Q839
Mauro Verdoni,author,,,,,,,,,,,
Bonaventura Bertono,author,,,,,,,,,,,
Innocent XI,author,,,human,Innocent XI,Q101286,DSNAME8659,Q100396,,,,
Floriani family,former owner,,,,,,,,organization,Floriani family,Q116522686,Q840
"Victor Child Villiers, 7th Earl of Jersey",former owner,,,,,,,,human,"Victor Child Villiers, 7th Earl of Jersey",Q336737,Q841
"Jazūlī, Muḥammad ibn Sulaymān, d 1404-1465.",author,,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Ḥāfiẓ, active 14th century.",author,,,,,,,,human,Hafez,Q6240,Q10870
"Sather, Eugene E. (Eugene Earl), 1924-1986",former owner,,,,,,,,,,,
ʻAbd al-Laṭīf ibn Aḥmad al-Dimashqī,author,عبد اللطيف بن احمد الدمشقي,,,,,,,human,ʻAbd al-Laṭīf ibn Aḥmad al-Dimashqī,Q133266052,Q75964
