signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 18","manuscript containing Book of Hours, Use of Rome",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1510,1520,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q6985,,Q138772281,Script: Gothic--textualis|Script: Bâtarde,Q1473289|Q397,"Book of Hours, Use of Rome",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,,Q622137,DS30062,Lehigh Codex 18,Lehigh Codex 18,,https://catalog.digital-scriptorium.org/entity/Q113401,https://search.digital-scriptorium.org/catalog/DS30062,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_018.html,https://catalog.digital-scriptorium.org/entity/Q113400
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 21",manuscript containing Dogale,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q2823,,,Script: Humanistic Cursive,Q397|Q652,Dogale,Dogale,https://catalog.digital-scriptorium.org/entity/Q2827,Q250210,,Q622137,DS30065,Lehigh Codex 21,Lehigh Codex 21,,https://catalog.digital-scriptorium.org/entity/Q113410,https://search.digital-scriptorium.org/catalog/DS30065,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_021.html,https://catalog.digital-scriptorium.org/entity/Q113409
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 22","manuscript containing Carta executoria de hidalguia de Agustin de Yturbe, vezino de la ciudad de Sevilla",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q129|https://catalog.digital-scriptorium.org/entity/Q3081,,,Script: Gothic--rotunda (Spanish),Q1321,"Carta executoria de hidalguia de Agustin de Yturbe, vezino de la ciudad de Sevilla",Carta ejecutoria,https://catalog.digital-scriptorium.org/entity/Q3718,Q34417|Q29,,Q622137,DS30066,Lehigh Codex 22,Lehigh Codex 22,,https://catalog.digital-scriptorium.org/entity/Q113413,https://search.digital-scriptorium.org/catalog/DS30066,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_022.html,https://catalog.digital-scriptorium.org/entity/Q113412
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 23",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,,Q622137,DS30067,Lehigh Codex 23,Lehigh Codex 23,,https://catalog.digital-scriptorium.org/entity/Q113416,https://search.digital-scriptorium.org/catalog/DS30067,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_023.html,https://catalog.digital-scriptorium.org/entity/Q113415
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 24",manuscript containing Antiphonal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic--rotunda,Q397,Antiphonal,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,,Q622137,DS30068,Lehigh Codex 24,Lehigh Codex 24,,https://catalog.digital-scriptorium.org/entity/Q113419,https://search.digital-scriptorium.org/catalog/DS30068,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_024.html,https://catalog.digital-scriptorium.org/entity/Q113418
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 25",manuscript containing Antiphonal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1325,1350,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q860|https://catalog.digital-scriptorium.org/entity/Q7207,,Q673516,Script: Gothic--rotunda,Q397,Antiphonal,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,,Q622137,DS30069,Lehigh Codex 25,Lehigh Codex 25,,https://catalog.digital-scriptorium.org/entity/Q113422,https://search.digital-scriptorium.org/catalog/DS30069,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_025.html,https://catalog.digital-scriptorium.org/entity/Q113421
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Roll 8",manuscript containing Roger of St. Albans. Genealogical roll,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1461,1465,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Gothic--textualis,Q150|Q397,Roger of St. Albans. Genealogical roll,Genealogy,https://catalog.digital-scriptorium.org/entity/Q5953,Q18811217,,Q622137,DS30071,Lehigh Roll 8,Lehigh Roll 8,,https://catalog.digital-scriptorium.org/entity/Q113428,https://search.digital-scriptorium.org/catalog/DS30071,https://openn.library.upenn.edu/Data/0007/html/lehigh_roll_008.html,https://catalog.digital-scriptorium.org/entity/Q113427
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 1",manuscript containing Historia of St. Nicholas with the lections,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1199,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Chant text accompanied by neumes written in smaller script|Script: Gothic--rotunda,Q397,Historia of St. Nicholas with the lections,Hagiography|Life of Saint Nicholas,https://catalog.digital-scriptorium.org/entity/Q6022|https://catalog.digital-scriptorium.org/entity/Q68144,Q104229,,Q622137,DS30046,Lehigh Codex 1,Lehigh Codex 1,,https://catalog.digital-scriptorium.org/entity/Q113353,https://search.digital-scriptorium.org/catalog/DS30046,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_001.html,https://catalog.digital-scriptorium.org/entity/Q113352
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 2",manuscript containing Anon. Life of St. Nicholas,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1199,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Protogothic,Q397,Anon. Life of St. Nicholas,Hagiography|Life of Saint Nicholas,https://catalog.digital-scriptorium.org/entity/Q6022|https://catalog.digital-scriptorium.org/entity/Q68144,,,Q622137,DS30047,Lehigh Codex 2,Lehigh Codex 2,,https://catalog.digital-scriptorium.org/entity/Q113356,https://search.digital-scriptorium.org/catalog/DS30047,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_002.html,https://catalog.digital-scriptorium.org/entity/Q113355
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 3","manuscript containing Bifolium from De civitate Dei, Book 22",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1199,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Protogothic,Q397,"Bifolium from De civitate Dei, Book 22",De civitate Dei,https://catalog.digital-scriptorium.org/entity/Q6047,Q8018,,Q622137,DS30048,Lehigh Codex 3,Lehigh Codex 3,,https://catalog.digital-scriptorium.org/entity/Q113359,https://search.digital-scriptorium.org/catalog/DS30048,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_003.html,https://catalog.digital-scriptorium.org/entity/Q113358
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 4",manuscript containing Moral and didactic writings,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q7507,,,Script: Gothic--textualis quadrata,Q397,Moral and didactic writings,,,Q7345564|Q380089|Q2054|Q60059,,Q622137,DS30049,Lehigh Codex 4,Lehigh Codex 4,,https://catalog.digital-scriptorium.org/entity/Q113362,https://search.digital-scriptorium.org/catalog/DS30049,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_004.html,https://catalog.digital-scriptorium.org/entity/Q113361
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 5",manuscript containing John Cassian. Coliatiosses XXIV,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Gothic--textualis quadrata,Q178806,John Cassian. Coliatiosses XXIV,Conferences,https://catalog.digital-scriptorium.org/entity/Q39265,Q313795,,Q622137,DS30050,Lehigh Codex 5,Lehigh Codex 5,,https://catalog.digital-scriptorium.org/entity/Q113365,https://search.digital-scriptorium.org/catalog/DS30050,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_005.html,https://catalog.digital-scriptorium.org/entity/Q113364
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 7",manuscript containing Anon. The Brut,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Gothic--anglicana,Q36395,Anon. The Brut,Brut Chronicle,https://catalog.digital-scriptorium.org/entity/Q39915,,,Q622137,DS30052,Lehigh Codex 7,Lehigh Codex 7,,https://catalog.digital-scriptorium.org/entity/Q113371,https://search.digital-scriptorium.org/catalog/DS30052,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_007.html,https://catalog.digital-scriptorium.org/entity/Q113370
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 9",manuscript containing Anon. Writings on astronomy,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1480,1490,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Humanistic semi-cursive,Q652,Anon. Writings on astronomy,Astronomical text,https://catalog.digital-scriptorium.org/entity/Q38381,Q433841,,Q622137,DS30053,Lehigh Codex 9,Lehigh Codex 9,,https://catalog.digital-scriptorium.org/entity/Q113374,https://search.digital-scriptorium.org/catalog/DS30053,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_009.html,https://catalog.digital-scriptorium.org/entity/Q113373
