File,signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 164",manuscript containing Oedipi et Sphingis dialogus (Dialogues between Oedipus and the Sphinx); Le Sphinx,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1570,1599,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Humanistic Cursive,Q1473289|Q397|Q35497,Oedipi et Sphingis dialogus (Dialogues between Oedipus and the Sphinx); Le Sphinx,Oedipi et sphingis dialogus,https://catalog.digital-scriptorium.org/entity/Q19983,,Q78163033|Q114242421,Q3087288,DS4512,Lewis E 164,Lewis E 164,https://iiif.archive.org/iiif/lewis_e_164/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21036,https://search.digital-scriptorium.org/catalog/DS4512,https://openn.library.upenn.edu/Data/0023/html/lewis_e_164.html,https://catalog.digital-scriptorium.org/entity/Q21035
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 223",manuscript containing Antiphonary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Antiphonary,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q1473427|Q272781,Q3087288,DS4568,Lewis E 223,Lewis E 223,https://iiif.archive.org/iiif/lewis_e_223/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21204,https://search.digital-scriptorium.org/catalog/DS4568,https://openn.library.upenn.edu/Data/0023/html/lewis_e_223.html,https://catalog.digital-scriptorium.org/entity/Q21203
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 226",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q1473427|Q272781,Q3087288,DS4569,Lewis E 226,Lewis E 226,https://iiif.archive.org/iiif/lewis_e_226/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21207,https://search.digital-scriptorium.org/catalog/DS4569,https://openn.library.upenn.edu/Data/0023/html/lewis_e_226.html,https://catalog.digital-scriptorium.org/entity/Q21206
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 229",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q1473427|Q272781,Q3087288,DS4570,Lewis E 229,Lewis E 229,https://iiif.archive.org/iiif/lewis_e_229/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21210,https://search.digital-scriptorium.org/catalog/DS4570,https://openn.library.upenn.edu/Data/0023/html/lewis_e_229.html,https://catalog.digital-scriptorium.org/entity/Q21209
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 231",manuscript containing Choir psalter; Hymnal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Choir psalter; Hymnal,Hymnal|Choir psalter,https://catalog.digital-scriptorium.org/entity/Q666|https://catalog.digital-scriptorium.org/entity/Q19999,,Q1473427|Q272781,Q3087288,DS4571,Lewis E 231,Lewis E 231,https://iiif.archive.org/iiif/lewis_e_231/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21213,https://search.digital-scriptorium.org/catalog/DS4571,https://openn.library.upenn.edu/Data/0023/html/lewis_e_231.html,https://catalog.digital-scriptorium.org/entity/Q21212
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 233",manuscript containing Antiphonary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Antiphonary,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q1473427|Q272781,Q3087288,DS4572,Lewis E 233,Lewis E 233,https://iiif.archive.org/iiif/lewis_e_233/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21216,https://search.digital-scriptorium.org/catalog/DS4572,https://openn.library.upenn.edu/Data/0023/html/lewis_e_233.html,https://catalog.digital-scriptorium.org/entity/Q21215
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 234",manuscript containing Antiphonary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q19884|https://catalog.digital-scriptorium.org/entity/Q19906,,,Script: Gothic--rotunda,Q397,Antiphonary,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q1473427|Q272781,Q3087288,DS4573,Lewis E 234,Lewis E 234,https://iiif.archive.org/iiif/lewis_e_234/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21219,https://search.digital-scriptorium.org/catalog/DS4573,https://openn.library.upenn.edu/Data/0023/html/lewis_e_234.html,https://catalog.digital-scriptorium.org/entity/Q21218
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis Add 3",manuscript containing Music Manuscript,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93,1000,1500,https://catalog.digital-scriptorium.org/entity/Q650,,,,Q22282939,Music Manuscript,Music,https://catalog.digital-scriptorium.org/entity/Q20017,,,Q3087288,DS4366,Lewis Add 3,Lewis Add 3,https://iiif.archive.org/iiif/lewis_add_003/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20598,https://search.digital-scriptorium.org/catalog/DS4366,https://openn.library.upenn.edu/Data/0023/html/lewis_add_003.html,https://catalog.digital-scriptorium.org/entity/Q20597
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis Add 1",manuscript containing Music Manuscript,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93,1000,1500,https://catalog.digital-scriptorium.org/entity/Q650,,,,Q22282939,Music Manuscript,Music,https://catalog.digital-scriptorium.org/entity/Q20017,,,Q3087288,DS4364,Lewis Add 1,Lewis Add 1,https://iiif.archive.org/iiif/lewis_add_001/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20592,https://search.digital-scriptorium.org/catalog/DS4364,https://openn.library.upenn.edu/Data/0023/html/lewis_add_001.html,https://catalog.digital-scriptorium.org/entity/Q20591
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis Add 2",manuscript containing Music Manuscript,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93,1000,1500,https://catalog.digital-scriptorium.org/entity/Q650,,,,Q22282939,Music Manuscript,Music,https://catalog.digital-scriptorium.org/entity/Q20017,,,Q3087288,DS4365,Lewis Add 2,Lewis Add 2,https://iiif.archive.org/iiif/lewis_add_002/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20595,https://search.digital-scriptorium.org/catalog/DS4365,https://openn.library.upenn.edu/Data/0023/html/lewis_add_002.html,https://catalog.digital-scriptorium.org/entity/Q20594
