signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Dayton, Ohio, University of Dayton, ML-RB Dāwit 1800z",manuscript containing Dāwit; = Psalter,Q87167,,https://catalog.digital-scriptorium.org/entity/Q100,1790,1800,https://catalog.digital-scriptorium.org/entity/Q3655,,,,Q35667,Dāwit; = Psalter,Psalter|Psalms|Dawit,https://catalog.digital-scriptorium.org/entity/Q660|https://catalog.digital-scriptorium.org/entity/Q5972|https://catalog.digital-scriptorium.org/entity/Q110645,,,Q2092392,DS30033,991007305389708517,ML-RB Dāwit 1800z,,https://catalog.digital-scriptorium.org/entity/Q113314,https://search.digital-scriptorium.org/catalog/DS30033,https://udiscover.udayton.edu/permalink/01OHIOLINK_DAYTON/7hmf34/alma991007305389708517,https://catalog.digital-scriptorium.org/entity/Q113313
"Dayton, Ohio, University of Dayton, ML-RB Ethiopic psalter",manuscript containing Ethiopic psalter with prayers to Mary; manuscript,Q87167,,https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1899,https://catalog.digital-scriptorium.org/entity/Q3655,,,,Q35667,Ethiopic psalter with prayers to Mary; manuscript,Psalter|Prayers|Psalms,https://catalog.digital-scriptorium.org/entity/Q660|https://catalog.digital-scriptorium.org/entity/Q798|https://catalog.digital-scriptorium.org/entity/Q5972,,,Q2092392,DS30034,991013374369708517,ML-RB Ethiopic psalter,,https://catalog.digital-scriptorium.org/entity/Q113317,https://search.digital-scriptorium.org/catalog/DS30034,https://udiscover.udayton.edu/permalink/01OHIOLINK_DAYTON/7hmf34/alma991013374369708517,https://catalog.digital-scriptorium.org/entity/Q113316
"Dayton, Ohio, University of Dayton, ML-RB Ethiopic Christian",manuscript containing Ethiopic Christian prayerbook; manuscript,Q87167,,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101,1800,1999,https://catalog.digital-scriptorium.org/entity/Q3655,,,,Q35667,Ethiopic Christian prayerbook; manuscript,Prayers|Prayer book,https://catalog.digital-scriptorium.org/entity/Q798|https://catalog.digital-scriptorium.org/entity/Q1486,,,Q2092392,DS30035,991013377819708517,ML-RB Ethiopic Christian,,https://catalog.digital-scriptorium.org/entity/Q113320,https://search.digital-scriptorium.org/catalog/DS30035,https://udiscover.udayton.edu/permalink/01OHIOLINK_DAYTON/7hmf34/alma991013377819708517,https://catalog.digital-scriptorium.org/entity/Q113319
