signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,check,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Poughkeepsie, New York, Vassar College, Arabic ms. 1",manuscript containing Qur'an leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92,900,1099,https://catalog.digital-scriptorium.org/entity/Q66926,,,Script: Witten in Maghribi Kufic script; romanization supplied by cataloger.,Q13955,Qur'an leaf,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q2093794,DS26345,,991019269514807396,Arabic ms. 1,,https://catalog.digital-scriptorium.org/entity/Q100992,https://search.digital-scriptorium.org/catalog/DS26345,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019269514807396,https://catalog.digital-scriptorium.org/entity/Q100991
"Poughkeepsie, New York, Vassar College, Arabic ms. 2",manuscript containing Qur'an leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93,1000,1199,,,,"Script: Written in Maghribi script, vocalized; romanization supplied by cataloger.",Q13955,Qur'an leaf,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q2093794,DS26347,,991019270214907396,Arabic ms. 2,,https://catalog.digital-scriptorium.org/entity/Q100998,https://search.digital-scriptorium.org/catalog/DS26347,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019270214907396,https://catalog.digital-scriptorium.org/entity/Q100997
"Poughkeepsie, New York, Vassar College, Arabic ms. 4",manuscript containing Qurʼan,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q101,1800,1899,,,,"Script: Written in Naskh, vocalized; romanization supplied by cataloger.",Q13955,Qurʼan,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q2093794,DS26348,,991019272111807396,Arabic ms. 4,,https://catalog.digital-scriptorium.org/entity/Q101001,https://search.digital-scriptorium.org/catalog/DS26348,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019272111807396,https://catalog.digital-scriptorium.org/entity/Q101000
"Poughkeepsie, New York, Vassar College, Arabic ms. 3",manuscript containing Qurʼan,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q100,1600,1799,https://catalog.digital-scriptorium.org/entity/Q2822,,,"Script: Written in Naskh, vocalized; romanization supplied by cataloger.",Q13955,Qurʼan,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q2093794,DS26349,,991019272113207396,Arabic ms. 3,,https://catalog.digital-scriptorium.org/entity/Q101004,https://search.digital-scriptorium.org/catalog/DS26349,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019272113207396,https://catalog.digital-scriptorium.org/entity/Q101003
"Poughkeepsie, New York, Vassar College, Arabic ms. 9",manuscript containing Leaf from Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʿalá al-Nabī al-mukhtār,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q100,1600,1799,,,,"Script: Written in Naskh, vocalized; romanization supplied by cataloger.",Q13955,Leaf from Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʿalá al-Nabī al-mukhtār,Dala'il al-Khayrat,https://catalog.digital-scriptorium.org/entity/Q18568,Q1775944,,Q2093794,DS26352,,991019273515707396,Arabic ms. 9,,https://catalog.digital-scriptorium.org/entity/Q101013,https://search.digital-scriptorium.org/catalog/DS26352,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019273515707396,https://catalog.digital-scriptorium.org/entity/Q101012
"Poughkeepsie, New York, Vassar College, Arabic ms. 8",manuscript containing Leaf from Ṣaḥīfah al-kāmilah,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1899,https://catalog.digital-scriptorium.org/entity/Q2822,,,"Script: Written in Naskh, vocalized; romanization supplied by cataloger.",Q13955,Leaf from Ṣaḥīfah al-kāmilah,Ṣaḥīfah al-kāmilah,https://catalog.digital-scriptorium.org/entity/Q27822,,,Q2093794,DS26353,,991019273516207396,Arabic ms. 8,,https://catalog.digital-scriptorium.org/entity/Q101016,https://search.digital-scriptorium.org/catalog/DS26353,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019273516207396,https://catalog.digital-scriptorium.org/entity/Q101015
"Poughkeepsie, New York, Vassar College, Arabic ms. 10",manuscript containing Qurʼan,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q101,1854,1854,,,,"Script: Written in Naskh, vocalized; romanization supplied by cataloger.",Q13955,Qurʼan,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q2093794,DS26354,,991019275116307396,Arabic ms. 10,,https://catalog.digital-scriptorium.org/entity/Q101019,https://search.digital-scriptorium.org/catalog/DS26354,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019275116307396,https://catalog.digital-scriptorium.org/entity/Q101018
"Poughkeepsie, New York, Vassar College, Persian ms. 2",manuscript containing Persian legend,Q87167,,https://catalog.digital-scriptorium.org/entity/Q100,1741,1741,https://catalog.digital-scriptorium.org/entity/Q2822,,,"Script: Written in Nasta'līq, in different hands; romanization supplied by cataloger.",Q9168,Persian legend,,,,,Q2093794,DS26356,,991019278326807396,Persian ms. 2,,https://catalog.digital-scriptorium.org/entity/Q101025,https://search.digital-scriptorium.org/catalog/DS26356,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019279427707396,https://catalog.digital-scriptorium.org/entity/Q101024
"Poughkeepsie, New York, Vassar College, Persian ms. 3",manuscript containing Majnūn va Laylī,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q100,1670,1715,https://catalog.digital-scriptorium.org/entity/Q2822,,,Script: Written in Nastaʿlīq; romanization supplied by cataloger.,Q9168,Majnūn va Laylī,Layla and Majnun,https://catalog.digital-scriptorium.org/entity/Q18445,Q207817,,Q2093794,DS26357,,991019279427707396,Persian ms. 3,,https://catalog.digital-scriptorium.org/entity/Q101028,https://search.digital-scriptorium.org/catalog/DS26357,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019279427707396,https://catalog.digital-scriptorium.org/entity/Q101027
"Poughkeepsie, New York, Vassar College, Persian ms. 4",manuscript containing Persian masnavi,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q100,1700,1735,https://catalog.digital-scriptorium.org/entity/Q2822,,,Script: Written in Nastaʿlīq; romanization supplied by cataloger.,Q9168,Persian masnavi,Masnavi,https://catalog.digital-scriptorium.org/entity/Q27606,,,Q2093794,DS26358,,991019280125707396,Persian ms. 4,,https://catalog.digital-scriptorium.org/entity/Q101031,https://search.digital-scriptorium.org/catalog/DS26358,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019280125707396,https://catalog.digital-scriptorium.org/entity/Q101030
