signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.70",manuscript containing Book of Hours or Prayer Book,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1475,https://catalog.digital-scriptorium.org/entity/Q651,,,,Q7411,Book of Hours or Prayer Book,Book of hours|Prayer book,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q1486,,Q125930775,Q309331,DS11489,Spec.Rare.MS.MR.Frag.70,Spec.Rare.MS.MR.Frag.70,,https://catalog.digital-scriptorium.org/entity/Q49832,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.72",manuscript containing Ferial Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1275,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q1114,,,,Q397,Ferial Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q125930775,Q309331,DS11491,Spec.Rare.MS.MR.Frag.72,Spec.Rare.MS.MR.Frag.72,,https://catalog.digital-scriptorium.org/entity/Q49838,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.123",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q112474785,Q309331,DS11542,Spec.Rare.MS.MR.Frag.123,Spec.Rare.MS.MR.Frag.123,,https://catalog.digital-scriptorium.org/entity/Q49991,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.128",manuscript containing Antiphonal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1325,1375,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Antiphonal,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q7109575|Q126000579|Q66547845,Q309331,DS11547,Spec.Rare.MS.MR.Frag.128,Spec.Rare.MS.MR.Frag.128,,https://catalog.digital-scriptorium.org/entity/Q50006,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.129",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1525,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q1244,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930769|Q124139405|Q125930848,Q309331,DS11548,Spec.Rare.MS.MR.Frag.129,Spec.Rare.MS.MR.Frag.129,,https://catalog.digital-scriptorium.org/entity/Q50009,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.138",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1450,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930799|Q126000571|Q125930897,Q309331,DS11557,Spec.Rare.MS.MR.Frag.138,Spec.Rare.MS.MR.Frag.138,,https://catalog.digital-scriptorium.org/entity/Q50036,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.139",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1205,1235,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q654762|Q120869143|Q125930796|Q125930766|Q955847,Q309331,DS11558,Spec.Rare.MS.MR.Frag.139,Spec.Rare.MS.MR.Frag.139,,https://catalog.digital-scriptorium.org/entity/Q50039,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.140",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q95,1175,1225,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q42073,,,,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q7109575|Q126000576,Q309331,DS11559,Spec.Rare.MS.MR.Frag.140,Spec.Rare.MS.MR.Frag.140,,https://catalog.digital-scriptorium.org/entity/Q50042,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.142",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1350,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q860|https://catalog.digital-scriptorium.org/entity/Q1311,,,,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q654762,Q309331,DS11561,Spec.Rare.MS.MR.Frag.142,Spec.Rare.MS.MR.Frag.142,,https://catalog.digital-scriptorium.org/entity/Q50048,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.163",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1500,https://catalog.digital-scriptorium.org/entity/Q1114,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930833|Q125930855,Q309331,DS11582,Spec.Rare.MS.MR.Frag.163,Spec.Rare.MS.MR.Frag.163,,https://catalog.digital-scriptorium.org/entity/Q50111,
