signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Northampton, Massachusetts, Smith College, Ms. 263",manuscript containing Missal (Smith College Ms. 263); [Missal].,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1460,1460,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q1243,,,,,Missal (Smith College Ms. 263)|[Missal].,Missal,https://catalog.digital-scriptorium.org/entity/Q662,Q9592,,Q49204,DS298,Ms. 263,Ms. 263,https://compass.fivecolleges.edu/node/100465/manifest,https://catalog.digital-scriptorium.org/entity/Q1253,https://archive.org/details/Ms.263_48
"Northampton, Massachusetts, Smith College, Ms. 261",manuscript containing Missal. (Smith College Ms. 261); [Breviary],Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1505,1505,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q1243,,,,,Missal. (Smith College Ms. 261)|[Breviary],Missal|Breviary,https://catalog.digital-scriptorium.org/entity/Q662|https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q49204,DS299,Ms. 261,Ms. 261,https://compass.fivecolleges.edu/node/100464/manifest,https://catalog.digital-scriptorium.org/entity/Q1256,https://archive.org/details/Ms.261_48
"Northampton, Massachusetts, Smith College, Ms. 254",manuscript containing [Book of hours (Use of Paris)].; Book of hours (Smith College Ms. 254),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q1114,,,,,[Book of hours (Use of Paris)].|Book of hours (Smith College Ms. 254),Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q49204,DS300,Ms. 254,Ms. 254,https://compass.fivecolleges.edu/node/98426/manifest,https://catalog.digital-scriptorium.org/entity/Q1259,https://archive.org/details/Ms.254_48
"Northampton, Massachusetts, Smith College, Ms. 255",manuscript containing [Book of hours].; Book of hours (Smith College Ms. 255),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1410,1420,,,,,,[Book of hours].|Book of hours (Smith College Ms. 255),Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q49204,DS301,Ms. 255,Ms. 255,https://compass.fivecolleges.edu/node/100106/manifest,https://catalog.digital-scriptorium.org/entity/Q1262,https://archive.org/details/Ms.255_48
"Northampton, Massachusetts, Smith College, Ms. 274",manuscript containing Book of hours (Smith College Ms. 274); [Book of hours (Use of Rouen)].,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1442,1442,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q1244,,,,,Book of hours (Smith College Ms. 274)|[Book of hours (Use of Rouen)].,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q49204,DS302,Ms. 274,Ms. 274,https://compass.fivecolleges.edu/node/101131/manifest,https://catalog.digital-scriptorium.org/entity/Q1265,https://archive.org/details/Ms.274_48
"Northampton, Massachusetts, Smith College, Ms. 288",manuscript containing [Book of hours].; Book of hours (Smith College Ms. 288 ),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1460,1460,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q1243,,,,,[Book of hours].|Book of hours (Smith College Ms. 288 ),Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q49204,DS303,Ms. 288,Ms. 288,https://compass.fivecolleges.edu/node/101433/manifest,https://catalog.digital-scriptorium.org/entity/Q1268,https://archive.org/details/Ms.288_48
"Northampton, Massachusetts, Smith College, Ms. 291",manuscript containing [Psalter]; Psalter (Smith College Ms. 291),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1250,,,,,,[Psalter]|Psalter (Smith College Ms. 291),Psalter,https://catalog.digital-scriptorium.org/entity/Q660,Q9592,,Q49204,DS304,Ms. 291,Ms. 291,https://compass.fivecolleges.edu/node/101434/manifest,https://catalog.digital-scriptorium.org/entity/Q1271,https://archive.org/details/Ms.291_48
"Northampton, Massachusetts, Smith College, Ms. 225",manuscript containing Prooemialis epistula summo pontifici destinata super legenda Sancte Clare Virginis; Homilies; f. 1 verso,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q94,1300|1100,1399|1199,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Prooemialis epistula summo pontifici destinata super legenda Sancte Clare Virginis|Homilies|f. 1 verso,Letter|Legend of Saint Clare|Homilies,https://catalog.digital-scriptorium.org/entity/Q1454|https://catalog.digital-scriptorium.org/entity/Q18591|https://catalog.digital-scriptorium.org/entity/Q1246,Q1230495|Q354523,,Q49204,DS305,Ms. 225,Ms. 225,https://compass.fivecolleges.edu/node/98307/manifest,https://catalog.digital-scriptorium.org/entity/Q1274,https://archive.org/details/Ms.225_48
"Northampton, Massachusetts, Smith College, Ms. 241",manuscript containing [Bible].; Bible. Latin. Vulgate. 12--,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1230,1250,https://catalog.digital-scriptorium.org/entity/Q122,,,,,[Bible].|Bible. Latin. Vulgate. 12--,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,,Q49204,DS306,Ms. 241,Ms. 241,https://compass.fivecolleges.edu/node/98720/manifest,https://catalog.digital-scriptorium.org/entity/Q1277,https://archive.org/details/Ms.241_48
"Northampton, Massachusetts, Smith College, Ms. 240",manuscript containing Bible. Latin. Vulgate. 12--; [Biblia sacra].,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q122,,,,,Bible. Latin. Vulgate. 12--|[Biblia sacra].,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,,Q49204,DS307,Ms. 240,Ms. 240,https://compass.fivecolleges.edu/node/99651/manifest,https://catalog.digital-scriptorium.org/entity/Q1280,
"Northampton, Massachusetts, Smith College, Ms. 264",manuscript containing [Enchiridion] (fragmentary).,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1599,https://catalog.digital-scriptorium.org/entity/Q134,,,,,[Enchiridion] (fragmentary).,Enchiridion,https://catalog.digital-scriptorium.org/entity/Q1245,Q132086,,Q49204,DS308,Ms. 264,Ms. 264,https://compass.fivecolleges.edu/node/101130/manifest,https://catalog.digital-scriptorium.org/entity/Q1283,https://archive.org/details/Ms.264_48
