signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 02","manuscript containing Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1477,1477,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",Summa theologiae,https://catalog.digital-scriptorium.org/entity/Q1118,,Q112391468,Q1976985,DS270,KG 02,KG 02,https://iiif.archive.org/iiif/images_KG02_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1161,https://archive.org/details/KG02_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 03",manuscript containing Glossa Ordinaria (Incunable leaf),Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1475,1500,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Glossa Ordinaria (Incunable leaf),Glossa ordinaria,https://catalog.digital-scriptorium.org/entity/Q1116,,Q112391468,Q1976985,DS271,KG 03,KG 03,https://iiif.archive.org/iiif/images_KG03_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1164,https://archive.org/details/KG03_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 04",manuscript containing [Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1508,1508,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,Commentary on John,https://catalog.digital-scriptorium.org/entity/Q20515,,Q112391468,Q1976985,DS272,KG 04,KG 04,https://iiif.archive.org/iiif/images_KG04_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1167,https://archive.org/details/KG04_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 05","manuscript containing 15th century breviary for feast of August 29,30, September 8",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1465,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"15th century breviary for feast of August 29,30, September 8",Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q112391468,Q1976985,DS273,KG 05,KG 05,https://iiif.archive.org/iiif/images_KG05_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1170,https://archive.org/details/KG05_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 06","manuscript containing Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1480,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",Summa de casibus conscientiae,https://catalog.digital-scriptorium.org/entity/Q813,,Q112391468,Q1976985,DS274,KG 06,KG 06,https://iiif.archive.org/iiif/images_KG06_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1173,https://archive.org/details/KG06_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 26 (LEV a)",manuscript containing Text for monastic liturgical use (proto-breviary),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1200,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Text for monastic liturgical use (proto-breviary),Liturgical text|Monastic text,https://catalog.digital-scriptorium.org/entity/Q10839|https://catalog.digital-scriptorium.org/entity/Q18459,,Q6369801|Q66985346|Q94805275,Q1976985,DS275,KG 26 (LEV a),KG 26 (LEV a),https://iiif.archive.org/iiif/images_KG26LEVa_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1176,https://archive.org/details/KG26LEVa_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 40","manuscript containing Book of Hours, excerpt Hours of the Cross",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q1114,,,,Q397,"Book of Hours, excerpt Hours of the Cross",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q112391468,Q1976985,DS276,KG 40,KG 40,https://iiif.archive.org/iiif/images_KG40_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1179,https://archive.org/details/KG40_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 43","manuscript containing Bible, II Kings 13:5 - II Kings 15:10",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1250,1350,,,,,Q397,"Bible, II Kings 13:5 - II Kings 15:10",Bible|Second Book of Kings,https://catalog.digital-scriptorium.org/entity/Q661|https://catalog.digital-scriptorium.org/entity/Q1117,,Q6369801|Q112391468,Q1976985,DS277,KG 43,KG 43,https://iiif.archive.org/iiif/images_KG43_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1182,https://archive.org/details/KG43_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 07","manuscript containing Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",Commentary on Horace|Works of Horace,https://catalog.digital-scriptorium.org/entity/Q18559|https://catalog.digital-scriptorium.org/entity/Q18562,,Q6369801|Q112391468,Q1976985,DS278,KG 07,KG 07,https://iiif.archive.org/iiif/images_KG07_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1185,https://archive.org/details/KG07_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 08","manuscript containing Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",Commentary on Horace|Works of Horace,https://catalog.digital-scriptorium.org/entity/Q18559|https://catalog.digital-scriptorium.org/entity/Q18562,,Q6369801|Q112391468,Q1976985,DS279,KG 08,KG 08,https://iiif.archive.org/iiif/images_KG08_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1188,https://archive.org/details/KG08_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 10",manuscript containing Biblia Veteris et Novi Testamenti,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Biblia Veteris et Novi Testamenti,New Testament|Bible|Old Testament,https://catalog.digital-scriptorium.org/entity/Q655|https://catalog.digital-scriptorium.org/entity/Q661|https://catalog.digital-scriptorium.org/entity/Q664,,Q6369801|Q112391468,Q1976985,DS280,KG 10,KG 10,https://iiif.archive.org/iiif/images_KG10_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1191,https://archive.org/details/KG10_46
