row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",?,,
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z","Amberg, Bavaria, Germany",Amberg|Bavaria|Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austria or Hungary,Austria|Hungary,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7006278
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austria; Germany?,Austria|Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austria? Hungary?,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Barga,Barga,http://vocab.getty.edu/tgn/7006242
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T21:19:58.092Z | PLACE RECON, STEP 3: START RECON 2022-05-24T21:23:32.539Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T21:24:10.625Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T21:35:01.617Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
