row_index,workflow_history,place_as_recorded,authorized_label,structured_value
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352131Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581851Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618278Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358771Z","Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352138Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581857Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618288Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358779Z","Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352160Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581862Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618303Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358787Z","Bologna?, Italy",Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352169Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581866Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618313Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358799Z","Bruges?, Belgium",Bruges;Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352176Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581881Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618322Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358806Z",Byzantium,Istanbul,http://vocab.getty.edu/tgn/7002473
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352188Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581885Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618337Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358812Z",Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352197Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581889Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618346Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358826Z",China,China,http://vocab.getty.edu/tgn/1000111
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352204Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581896Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618355Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358834Z",Cologne?,Cologne,http://vocab.getty.edu/tgn/7004446
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352217Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581901Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618378Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358841Z","Deccan, India",Deccan;India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352225Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581905Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618388Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358851Z","Dijon, Burgundy, France",Dijon;Burgundy;France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
