row_index,workflow_history,material_as_recorded,authorized_label,structured_value
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.229694Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.929954Z",,,
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239075Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.938776Z","European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239191Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.941984Z","Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239246Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942337Z","Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239290Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942380Z",Mixed,mixed media,http://vocab.getty.edu/aat/300163347
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239333Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942421Z",Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239376Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942573Z",Paper,paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239417Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942607Z",Parchment,parchment,http://vocab.getty.edu/aat/300011851
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239477Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942636Z",col. ill.,,
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239521Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942658Z",fine vellum,parchment,http://vocab.getty.edu/aat/300011851
11,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239562Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942678Z",ill,,
12,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239603Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942698Z",illustrations,,
13,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239645Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942720Z",laid paper,paper,http://vocab.getty.edu/aat/300014109
14,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239686Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942740Z",laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109
15,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239726Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942761Z","laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
16,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239772Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942781Z",machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109
17,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239813Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942801Z",non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
18,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.239854Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942906Z","non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
19,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240639Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942932Z",paper,paper,http://vocab.getty.edu/aat/300014109
