title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Ab urbe condita,,,,Ab urbe condita
Antiphonal,,,,Antiphonary
Bible,,,,Bible
Book of Hours,,,,Book of hours
"Book of Hours, use of Dol",,,,Book of hours
Breviary for Augustinian use,,,,Breviary
"Breviary, noted",,,,Breviary
Commentaries on Acts of the Apostles,,,,Commentary on Acts;Acts
De finibus,,,,De finibus
Decretals,,,,Decretals
Deed,,,,Deed
Der ordo iudiciarius,,,,Ordo iudiciarius
Digestum novumwith gloss,,,,Digestum novum
Gradual,,,,Gradual
Grant of arms,,,,Arms
Hecyra,,,,Hecyra
Historia destructionis Troiae,,,,Historia destructionis Troiae
Historia ecclesiastica,,,,Historia ecclesiastica
Homiliary,,,,Homiliary
In Joannis Evangelium Tractatus,,,,In Iohannis Evangelium tractatus
Lease,,,,Lease
Lectionary,,,,Lectionary
Missal,,,,Missal
Missal for Dominican use,,,,Missal
Prayerbook,,,,Prayers
Processional,,,,Processional
"Psalter, ferial",,,,Psalter
Receipt,,,,Receipts
Receipt book,,,,Receipts
Rules of the Brotherhood of the Archangel Michael,,,,Rules of the Brotherhood of the Archangel Michael
Sacramentary,,,,Sacramentary
Sermons,,,,Sermons
Treatise on canon law,,,,Canon law
Will?,,,,Will
Writ,,,,Writ
