title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"15th century breviary for feast of August 29,30, September 8",,,,Breviary
Antiphonal Music,,,,Antiphonary
"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",,,,Summa Theologiae
"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",,,,Summa de casibus conscientiae
"Bible, II Kings 13:5 - II Kings 15:10",,,,Bible;Kings
Biblia Veteris et Novi Testamenti,,,,Bible;Old Testament;New Testament
Book of Hours,,,,Book of hours
Book of Hours (Bifolium),,,,Book of hours
Book of Hours (Use of Dol.),,,,Book of hours
Book of Hours for Sarum Use,,,,Book of hours
"Book of Hours, Psalms from Hours of the Virgin",,,,Book of hours;Psalter
"Book of Hours, excerpt Hours of the Cross",,,,Book of hours
Breviary,,,,Breviary
Glossa Ordinaria (Incunable leaf),,,,Glossa Ordinaria
Gradual,,,,Gradual
"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",,,,
Illuminated Missal,,,,Missal
Italian Notarial Loan Record,,,,Missal
Kalendar from Book of Hours,,,,Calendar;Book of hours
Lectionary,,,,Lectionary
Missal,,,,Missal
Oratio pro se ipso <?>,,,,Orationes
Psalter,,,,Psalter
"Ranulph Higden, Polychronicon Translation by John Trevisa",,,,Polychronicon
Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,,,,Sententiae
Sentiarium libri quatuor,,,,Sententiae
Stephen Langton Interpretation of Hebrew Names of Bible,,,,Interpretationes Hebraicorum nominum
Text for monastic liturgical use (proto-breviary),,,,
[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,
