row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.033Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Abbots--Early works to 1800,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.034Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Accounting--France--14th century,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Advaita,,Advaita,http://id.worldcat.org/fast/797410
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Advaita--Early works to 1800,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Agriculture--Early works to 1800,,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Alchemy--Early works to 1800,,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Animal culture--Early works to 1800,,Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T21:45:11.035Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-12T21:45:28.691Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-12T21:55:21.294Z",Antiquities,,Antiquities,http://id.worldcat.org/fast/810745
