row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
257,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.530Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Dante Alighieri,author,,,Dante Alighieri,human,Q1067
265,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Dioscorides Pedanius, of Anazarbos.",author,ديسقوريدس.,,Pedanius Dioscorides,human,Q297776
272,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Dysart, Lionel Tollemache, Earl of, 1708-1770,",former owner.,,,"Lionel Tollemache, 4th Earl of Dysart",human,Q6555815
276,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752,",former owner.,,,Hieronymus Wilhelm Ebner von Eschenbach,human,Q15452636
277,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Edmund of Abingdon,author,,,Edmund of Abingdon,human,Q1235967
278,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.449Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Edmund, earl of Lancaster",author,,,Edmund Crouchback,human,Q447802
283,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Ess, Leander van 1772-1847",former owner,,,Johann Heinrich van Ess,human,Q1810643
284,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Ess, Leander van, 1772-1847",former owner,,,Johann Heinrich van Ess,human,Q1810643
287,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.968Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Euclid (Euclides),author,,,Euclid,human,Q8747
288,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Euclid.,author,,,Euclid,human,Q8747
289,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Eugippius,author,,,Eugippius,human,Q738491
291,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Eusebius of Cremona,author,,,Eusebius of Cremona,human,Q24013788
292,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Eutropius.,author,,,Eutropius,human,Q314694
293,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Evrard de Béthune,author,,,Eberhard of Béthune,human,Q5331803
294,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.531Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Fazio degli Uberti,author,,,Fazio of Uberti,human,Q1399161
297,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Feltrinelli, Giannalisa,",former owner.,,,Giannalisa Feltrinelli,human,Q95750251
300,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,Thomas FitzRoy Phillipps Fenwick,human,Q75889469
302,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z",Firdawsī.,author,,,Ferdowsi,human,Q43459
304,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.863Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Fiske, Willard, 1831-1904,",former owner.,,,Willard Fiske,human,Q2047315
306,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Florus, Lucius Annaeus,",author.,,,Lucius Annaeus Florus,human,Q316483
307,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.182Z","Follower of Birago, Giovan Pietro, active 1471-1513 and Master B. F. (sometimes identified as Francisco Binasco)",artist,,,Giovanni Pietro Birago,human,Q1901175
315,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Francesco Malacarne,author,,,Francesco Malacarne,human,Q65953117
316,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Francesco Petrarca,author,,,Petrarch,human,Q1401
318,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.532Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Francisco de Pisa,author,,,Francisco de Pisa,human,Q3816939
330,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.374Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.533Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Fugger, Marcus, 1529-1597,",former owner.,,,Markus Fugger,human,Q115254
336,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.533Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Gaṅgārāma,",former owner,,,Gaṅgārāma,human,Q94539706
344,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.534Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.972Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Gervase, of Tilbury, approximately 1160-approximately 1211.",author,,,Gervase of Tilbury,human,Q531883
348,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.534Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Ghazzālī, 1058-1111.",author,,http://id.loc.gov/authorities/names/n82097778,Al-Ghazali,human,Q9546
349,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Gherardo, del Fora, approximately 1444-1497",artist,,,Gherardo di Giovanni del Fora,human,Q3104832
362,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Gilbert de la Porrée,author,,,Gilbert de La Porrée,human,Q583119
364,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z","Gioacchino, di Giovanni,",illuminator.,,,Gioacchino di Giovanni,human,Q20830652
367,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Giovanni Antonio Flaminio (Giovanni Antonius Flaminio),author,,,Giovanni Antonio Flaminio,human,Q17284944
370,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.451Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.183Z",Giovanni Boccaccio,author,,,Giovanni Boccaccio,human,Q1402
374,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z",Giusto de' Conti,author,,,Giusto de' Conti,human,Q3771771
378,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z","Gladstone, W. E. 1809-1898,",former owner.,,,William Ewart Gladstone,human,Q160852
379,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.973Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z",Godfrey of Viterbo,author,,,Godfrey of Viterbo,human,Q614256
380,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.535Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.974Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z","Gorman, Pierre Patrick, 1924-,",former owner.,,,Pierre Gorman,human,Q1671373
383,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.536Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.974Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z",Gregory I,author,,,Gregory I,human,Q42827
384,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.536Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.974Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z","Gregory I, Pope, approximately 540-604.",author,,,Gregory I,human,Q42827
385,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.536Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.974Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z","Gregory I, the Great.",author,,,Gregory I,human,Q42827
386,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.375Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.864Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.536Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.180Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.452Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.974Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.184Z",Gregory IX,author,,,Gregory IX,human,Q124831
