row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
70,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.849Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; English,lat|eng,English|Latin,Q1860|Q397
71,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.849Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; French,,French|Latin,Q150|Q397
72,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.850Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; German,,German|Latin,Q188|Q397
73,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.850Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; Italian,,Italian|Latin,Q652|Q397
74,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.850Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; Italian,lat|ita,Italian|Latin,Q652|Q397
75,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.851Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.306Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin; Middle French (ca. 1400-1600),lat|frm,Middle French|Latin,Q1473289|Q397
76,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.599Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.851Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.946Z",Latin|French,,French|Latin,Q150|Q397
77,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.851Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin,,Latin,Q397
78,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.852Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin; Italian|Latin; Italian,,Italian|Latin,Q652|Q397
79,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Italian,,Italian|Latin,Q652|Q397
