row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.690734700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.350336900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.891657Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.947250900Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.241909700Z",Accounting,,Accounting,http://id.worldcat.org/fast/795379
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.360312700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounting--Germany--16th century,,Accounting|Germany|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1119851
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounting--Italy--15th century,,Accounting|Italy|Fifteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/923962
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounting--Italy--16th century,,Accounting|Italy|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1119851
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounting--Italy--17th century,,Accounting|Italy|Seventeenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1113663
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounting--Spain--16th century,,Accounting|Spain|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204303|http://id.worldcat.org/fast/1119851
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Accounts,,Accounts,http://id.worldcat.org/fast/795510
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Acrostics,,Acrostics,http://id.worldcat.org/fast/796098
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Acrostics--Early works to 1800,,Acrostics|Early works,http://id.worldcat.org/fast/796098|http://id.worldcat.org/fast/1411636
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.691734800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.337389200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.362312300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.817801100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.374269Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.948253800Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.253975100Z",Actions and defenses,,Actions and defenses,http://id.worldcat.org/fast/796238
