File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240902-titles-gts-mets-legacy.csv,Kalendis Ianuarii luna prout quota erit require literam,,,,,,Calendar,"Q1122"
20240902-titles-gts-mets-legacy.csv,Martyrology,,,,,,Martyrology,"Q19946"
20240902-titles-gts-mets-legacy.csv,Gift of a prebend,,,,Gift,Q18511,,
20240902-titles-gts-mets-legacy.csv,Designation of factor,,,,Designation,Q39645,,
20240902-titles-gts-mets-legacy.csv,"Book of Hours, use of Paris",,,,,,Book of hours,"Q795"
20240902-titles-gts-mets-legacy.csv,Missal,,,,,,Missal,"Q662"
20240902-titles-gts-mets-legacy.csv,Vesperale,,,,,,Vesperale,"Q1337"
20240902-titles-gts-mets-legacy.csv,Designation of procurator,,,,Designation,Q39645,,
20240902-titles-gts-mets-legacy.csv,De tribus diebus,,,,,,De tribus diebus,"Q1398"
20240902-titles-gts-mets-legacy.csv,Incipit liber magistri hugonis de operibus trium dierum,,,,,,De tribus diebus,"Q1398"
20240902-titles-gts-mets-legacy.csv,"Bible, N. T., Mark",,,,,,Bible;New Testament;Gospel of Mark,"Q661;Q655;Q1347"
20240902-titles-gts-mets-legacy.csv,Mémoires sur les choses qui se sont pass?es en France,,,,,,Mémoires sur les choses qui se sont passées en France,"Q1435"
20240902-titles-gts-mets-legacy.csv,Epistles,,,,,,Epistles,"Q1466"
20240902-titles-gts-mets-legacy.csv,Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum,,,,Rule of Saint Augustine,Q5976,,
20240902-titles-gts-mets-legacy.csv,Rule,,,,,,Rules,"Q1432"
20240902-titles-gts-mets-legacy.csv,Breviary,,,,,,Breviary,"Q657"
20240902-titles-gts-mets-legacy.csv,Antiphonal,,,,,,Antiphonary,"Q654"
20240902-titles-gts-mets-legacy.csv,"Bible, O.T.",,,,,,Bible;Old Testament,"Q661;Q664"
20240902-titles-nelsonatkins-mets-legacy.csv,Sentiarium libri quatuor,,,,,,Sentences,"Q1119"
20240902-titles-nelsonatkins-mets-legacy.csv,Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,,,,,,Sentences,"Q1119"
20240902-titles-nelsonatkins-mets-legacy.csv,Oratio pro se ipso <?>,,,,,,Orationes,"Q799"
20240902-titles-nelsonatkins-mets-legacy.csv,Book of Hours,,,,,,Book of hours,"Q795"
20240902-titles-nelsonatkins-mets-legacy.csv,Lectionary,,,,,,Lectionary,"Q663"
20240902-titles-nelsonatkins-mets-legacy.csv,Book of Hours (Use of Dol.),,,,,,Book of hours,"Q795"
20240902-titles-nelsonatkins-mets-legacy.csv,"Book of Hours, Psalms from Hours of the Virgin",,,,,,Book of hours;Psalter;Hours of the Virgin,"Q795;Q660;Q8278"
20240902-titles-nelsonatkins-mets-legacy.csv,Gradual,,,,,,Gradual,"Q1121"
20240902-titles-nelsonatkins-mets-legacy.csv,Missal,,,,,,Missal,"Q662"
20240902-titles-nelsonatkins-mets-legacy.csv,Kalendar from Book of Hours,,,,,,Calendar;Book of hours,"Q1122;Q795"
20240902-titles-nelsonatkins-mets-legacy.csv,"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",,,,,,Summa theologiae,"Q1118"
20240902-titles-nelsonatkins-mets-legacy.csv,Glossa Ordinaria (Incunable leaf),,,,,,Glossa ordinaria,"Q1116"
