subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
World history--Early works to 1800,0,a--v,,,,,World history;Early works,http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636,Q189;Q300
"History, Ancient--Early works to 1800",0,a--v,,,,,"History, Ancient;Early works",http://id.worldcat.org/fast/958352;http://id.worldcat.org/fast/1411636,Q5904;Q300
Christianity--Early works to 1800,0,a--v,,,,,Christianity;Early works,http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636,Q5915;Q300
"Manuscripts, German",0,a,,,,,"Manuscripts, German",http://id.worldcat.org/fast/1008346,Q142
Logic--Early works to 1800,0,a--v,,,,,Logic;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636,Q308;Q300
Categories (Philosophy)--Early works to 1800,0,a--v,,,,,Categories (Philosophy);Early works,http://id.worldcat.org/fast/849003;http://id.worldcat.org/fast/1411636,Q5841;Q300
Language and languages--Philosophy--Early works to 1800,0,a--x--v,,,,,Language and languages--Philosophy;Early works,http://id.worldcat.org/fast/992193;http://id.worldcat.org/fast/1411636,Q5943;Q300
Cartularies,0,a,,,,,Cartularies,http://id.worldcat.org/fast/848097,Q4298
Bishops--France--Lyon--History--To 1500,0,a--z--z--x--y,,,,,Bishops;France--Lyon;History,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1214593;http://id.worldcat.org/fast/958235,Q307;Q5887;Q6879
Land tenure--France--Early works to 1800,0,a--z--v,,,,,Land tenure;France;Early works,http://id.worldcat.org/fast/991362;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q4824;Q152;Q300
"Crusades--Second, 1147-1149",0,a--y,,,,,Crusades (Second) (1147-1149),http://id.worldcat.org/fast/884416,Q5910
"Manuscripts, Renaissance",0,a,,,,,"Manuscripts, Renaissance",http://id.worldcat.org/fast/1008472,Q311
"Manuscripts, Renaissance--Kansas--Lawrence",0,a--z--z,,,,,"Manuscripts, Renaissance;Kansas--Lawrence",http://id.worldcat.org/fast/1008472;http://id.worldcat.org/fast/1212060,Q311;Q5851
Cardinals--Biography--Early works to 1800,0,a--x--v,,,,,Cardinals--Biography;Early works,http://id.worldcat.org/fast/847098;http://id.worldcat.org/fast/1411636,Q5819;Q300
Visions in literature,0,a,,,,,Visions in literature,http://id.worldcat.org/fast/1167915,Q5897
Hell in literature,0,a,,,,,Hell in literature,http://id.worldcat.org/fast/954751,Q5927
Future life,0,a,,,,,Future life,http://id.worldcat.org/fast/936730,Q5823
Devotional literature,0,a,,,,,Devotional literature,http://id.worldcat.org/fast/892015,Q2950
Epistolaries--Early works to 1800,0,a--v,,,,,Epistolaries;Early works,http://id.worldcat.org/fast/914316;http://id.worldcat.org/fast/1411636,Q5933;Q300
Letters--Early works to 1800,0,a--v,,,,,Correspondence;Early works,http://id.worldcat.org/fast/2003288;http://id.worldcat.org/fast/1411636,Q5829;Q300
"Letter writing--Handbooks, manuals, etc.--Early works to 1800",0,a--v--v,,,,,Letter writing;Handbooks and manuals;Early works,http://id.worldcat.org/fast/996699;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636,Q7789;Q212;Q300
"Letter writing, Latin--Early works to 1800",0,a--v,,,,,"Letter writing, Latin;Early works",http://id.worldcat.org/fast/996740;http://id.worldcat.org/fast/1411636,Q5838;Q300
Formularies (Diplomatics)--Early works to 1800,0,a--v,,,,,Formularies (Diplomatics);Early works,http://id.worldcat.org/fast/932997;http://id.worldcat.org/fast/1411636,Q5808;Q300
Conveyancing--Early works to 1800,0,a--v,,,,,Conveyancing;Early works,http://id.worldcat.org/fast/877268;http://id.worldcat.org/fast/1411636,Q5852;Q300
