row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
138,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993210Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528302Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694758Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270745Z","Kâtip Çelebi, 1609-1657",author,کاتب چلبى، 1609-1657,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789,,,,
139,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993218Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528306Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694768Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270749Z","Nev'î, 1533-1599",author,"نوعي, 1533-1599",,human,Nev'î,Q130374974,DSNAME6809,Q54790,,,,
140,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993222Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528308Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694776Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270760Z","Sezaî, 1669-1738",author,"سزائي, 1669-1738",,human,Hasan Sezai Gülşenî,Q6030513,DSNAME6733,Q54714,,,,
141,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993225Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528312Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694787Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270764Z","Ali Efendi, Çatalcalı, 1631 or 1632-1692",author,"علي افندي چاتالجه لو, 1631 or 2-1692",,human,Alī Efendi,Q15449120,DSNAME6764,Q54745,,,,
142,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993234Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528317Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694796Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270768Z","Riyâzı̂ Mehmet, 1572-1644",author,رىاضى محمد، 1572-1644,,human,Riyazi,Q22935671,DSNAME6810,Q54791,,,,
143,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993238Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528319Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694804Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270775Z",Seyyit Mehmet Rıza,author,سيد محمد رضا,,human,Seyyit Mehmet Rıza,Q130374975,DSNAME6811,Q54792,,,,
144,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993241Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.528326Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694815Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270780Z",Beypazarı Mehmet Efendi,author,بکپازارى محمد افندى,,human,Beypazarı Mehmet Efendi,Q130374976,DSNAME6812,Q54793,,,,
145,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993245Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.535292Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694823Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270784Z","Ṣafī, ʻAlī ibn Ḥusayn Kāshifī, 1463-1532 or 1533",author,سفى، على بن حسىن کاشفى، 1463-1532 or 3,,human,ʻAlī ibn Ḥusayn Kāshifī Ṣafī,Q120598988,DSNAME6437,Q49308,,,,
146,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993249Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.535317Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694831Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270791Z","Nimetullah bin Ahmet bin Mübarek er-Rumî, -1561",author,نعمة الله بن احمد بن مبارك الرومى، -1561,,human,Nimetullah bin Ahmet bin Mübarek er-Rumî,Q130374977,DSNAME6813,Q54794,,,,
147,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993252Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537653Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694842Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270796Z","Haliloǧlu Süleyman, active 17th century",author,خلىل اوغلو سلىمان، active 17th century,,human,Haliloǧlu Süleyman,Q130374978,DSNAME6814,Q54795,,,,
