ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:01,"",,France,"","s. XV(2), 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,French,"",Ownership stamp of a Jesuit institution in Valencia; acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 165 x 124 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134005.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:02,"",,"France, Brittany","","s. XV(1), 1400-1450",1400^1450,15,http://vocab.getty.edu/aat/300404465,false,,"","","Book of Hours, use of Dol","","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 197 x 134 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134006.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:03,"",,France,"","s. XV(2), 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 166 x 123 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134007.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:04,"",,Belgium,"","s. XV(2), 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,Latin; Dutch,"",Acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 161 x 112 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134008.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:05,"",,Italy,"","s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Breviary for Augustinian use,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 150 x 105 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134009.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:06,"",,Germany,"","s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,"","",Gradual,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1989 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 254 x 174 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134010.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:08,"",,"Spain, Valencia","","s. XV(1), 1400-1450",1400^1450,15,http://vocab.getty.edu/aat/300404465,false,,"","",Rules of the Brotherhood of the Archangel Michael,"","",,,,,,"",,"","",,"","",,"","",,Catalan,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 243 x 182 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134011.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:09,"",,Spain,"","s. XVI(1/4), 1500-1525",1500^1525,16,http://vocab.getty.edu/aat/300404510,false,,"","",Grant of arms,"","",,,,,,"",,"","",,"","",,"","",,Spanish,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 307 x 230 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134012.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:10,"",,England,"","s. XIII(1), 1200-1250",1200^1250,13,http://vocab.getty.edu/aat/300404505,false,,"","",Bible,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 178 x 118 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134013.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:11,"",,France,"","s. XIII(2/4), 1225-1250",1225^1250,13,http://vocab.getty.edu/aat/300404505,false,,"","",Bible,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 147 x 103 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134014.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:12,"",,Italy,"","s. XV(med), 1440-1460",1440^1460,15,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 94 x 68 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134015.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey",MC 0886:13,"",,France,"","s. XIII(1/4), 1200-1225",1200^1225,13,http://vocab.getty.edu/aat/300404505,false,,"","",Bible,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Acquired in 1990 from P. Pirages.,"",,"",parchment,Extent: f. 1r-v; 220 x 143 mm.,"",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134016.xml
