name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Kadri, Ali",author,,,,,,,,,,,
"Ramlī, Khayr al-Dīn ibn Aḥmad, 1585-1671",author,,,,,,,,human,Khayr al-Din al-Ramli,Q6401098,Q64011
"Ṣaydāwī, Abū al-Luṭf ibn Ṣārim al-Dīn, active 16th century",scribe,صيداوي، ابو اللطف بن صارم الدين، active 16th century,,,,,,,,,,
"Ḥuṣrī, Naṣr ibn Aḥmad, active 17th century",author,حصري، نصر بن احمد، active 17th century,,human,Naṣr ibn Aḥmad Ḥuṣrī,Q138006113,DSNAME9120,Q110573,,,,
"Bāʻūnī, Muḥammad ibn Aḥmad, 1374 or 1375-1467?",author,باعوني، محمد بن احمد، 1374 or 1375-1467?,,human,Muḥammad ibn Aḥmad Bāʻūnī,Q138006059,DSNAME9173,Q110626,,,,
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731",author,نابلسي، عبد الغني بن اسماعيل,http://id.loc.gov/authorities/names/n83198301,,,,,,human,Abd al-Ghani al-Nabulsi,Q4164547,Q12278
"Khānī, Qāsim ibn Ṣalāḥ al-Dīn, 1618 or 1619-1697 or 1698",author,خاني، قاسم بن صلاح الدين,,human,Qāsim ibn Ṣalāḥ al-Dīn Khānī,Q138006120,DSNAME9162,Q110615,,,,
"Khānī, Qāsim ibn Ṣalāḥ al-Dīn, 1618 or 1619-1697 or 1698",author,خاني، قاسم بن صلاح الدين,,human,Qāsim ibn Ṣalāḥ al-Dīn Khānī,Q138006120,DSNAME9162,Q110615,,,,
"Nasafī, Maymūn ibn Muḥammad, -1115",author,نسفي، ميمون بن محمد,,human,Abu Al - Moin Al - Nasafi,Q25451679,DSNAME9077,Q110529,,,,
"Maqrīzī, Aḥmad ibn ʻAlī, 1364-1442",author,مقريزي، احمد بن علي,,,,,,,human,Al-Maqrizi,Q293604,Q12382
"Aḥmad Pasha al-Jazzār, approximately 1730-1804",former owner,,,human,Jezzar Pasha,Q2453214,DSNAME9078,Q110530,,,,
"Suyūṭī, 1445-1505",author,سيوطي,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
"Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī, approximately 1327-1370",author,سبكي، تاج الدين عبد الوهاب بن علي,,,,,,,human,Taj al-Din al-Subki,Q12201802,Q12396
"Ibn al-Jawzī, Abū al-Faraj ʻAbd al-Raḥmān ibn ʻAlī, approximately 1116-1201",author,ابن الجوزي، ابو الفرج عبد الرحمن بن علي,http://id.loc.gov/authorities/names/n84008731,,,,,,human,Abu'l-Faraj ibn al-Jawzi,Q731866,Q12290
"Ghazzālī, 1058-1111",author,غزالي,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Jārbardī, Fakhr al-Dīn Aḥmad ibn al-Ḥasan, -1345",author,جاربردي، احمد بن الحسين,,,,,,,human,Fakhr al-Dīn Aḥmad ibn al-Ḥasan Jārbardī,Q120752948,Q12365
"Damāmīnī, Muḥammad ibn Abī Bakr, 1361 or 1362-1424?",author,دماميني، محمد بن ابي بكر,,human,Muḥammad ibn Abī Bakr Damāmīnī,Q27263305,DSNAME6518,Q54149,,,,
"Dawwānī, Muḥammad ibn Asʻad, 1426 or 1427-1512 or 1513",author,دواني، محمد بن اسعد,,,,,,,human,Jalal al-Din Davani,Q4116938,Q40510
"Ibn Badrūn, ʻAbd al-Malik ibn ʻAbd Allāh, -approximately 1211",author,ابن بدرون، عبد الملك بن عبد الله,,human,Ibn badrwn,Q124768075,DSNAME9079,Q110531,,,,
"Qayṣarī, Dāwūd ibn Maḥmūd, -1350 or 1351",author,قيصري، داوود بن محمود,,,,,,,human,Dawūd al-Qayṣarī,Q4117785,Q106665
"Būnī, Aḥmad ibn ʻAlī, -1225",author,بوني، احمد بن علي,,,,,,,human,Ahmad al-Buni,Q4695507,Q40369
"Ibn al-Dubaythī, Muḥammad ibn Saʻīd, 1163-1239",author,ابن الدبيثي، مهمد بن سعيد,,human,Ibn al-Dubaythi,Q20003180,DSNAME9080,Q110532,,,,
"Bukhārī, Muḥammad ibn ʻAbd al-Bāqī, active 1583",author,بخاري، محمد بن عبد الباقي,,,,,,,human,Muḥammad ibn ʻAbd al-Bāqī Bukhārī,Q131398961,Q68517
"Ṣāliḥ Wahbī ibn Muḥammad, fl. 1860",author,صالح وهبي بن محمد,,,,,,,,,,
"Maknī, Aḥmad ibn Muḥammad, 1632 or 1633-1688 or 1689",author,مكني، احمد بن محمد,,human,Aḥmad ibn Muḥammad Maknī,Q138006060,DSNAME9174,Q110627,,,,
