row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"Manuscripts, Arabic--19th century",lcsh,,,,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841,Q256;Q3538
2,"Manuscripts, Arabic--16th century",lcsh,,,,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,Q256;Q335
3,"Manuscripts, Arabic--18th century",lcsh,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
4,"Manuscripts, Arabic--14th century",lcsh,,,,,"Manuscripts, Arabic;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/933420,Q256;Q295
5,Arabic periodicals--Lebanon--19th century,lcsh,,Arabic periodicals;Lebanon;Nineteenth century,http://id.worldcat.org/fast/812523;http://id.worldcat.org/fast/1206063;http://id.worldcat.org/fast/1037841,Q110370;Q11205;Q3538,,,
6,"Manuscripts, Arabic--17th century",lcsh,,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,Q256;Q2771
7,Illuminated manuscripts--Islamic countries--17th century,aat,,,,,illuminated manuscripts;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q4268;Q2810;Q2771
8,History,fast,,,,,History,http://id.worldcat.org/fast/1411628,Q279
9,Illuminated manuscripts--Islamic countries--18th century,aat,,,,,illuminated manuscripts;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q4268;Q2810;Q3024
10,Fairy tales--Arab countries,lcsh,,Fairy tales;Arab countries,http://id.worldcat.org/fast/1726605;http://id.worldcat.org/fast/1240128,Q110369;Q218,,,
11,short stories,aat,,,,,short stories,http://vocab.getty.edu/aat/300202607,Q27413
12,Fairy tales,fast,,Fairy tales,http://id.worldcat.org/fast/1726605,Q110369,,,
13,Short stories,fast,,,,,Short stories,http://id.worldcat.org/fast/1726740,Q48726
14,Short stories,lcgft,,,,,Short stories,http://id.worldcat.org/fast/1726740,Q48726
15,Nouvelles,rvmgf,,,,,Short stories,http://id.worldcat.org/fast/1726740,Q48726
16,Texts,fast,,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
17,Early works,fast,,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
18,Fiction,fast,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
19,Fiction,lcgft,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
20,Romans,rvmgf,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
21,Prayers and devotions,fast,,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
22,Arabic periodicals,lcsh,,Arabic periodicals,http://id.worldcat.org/fast/812523,Q110370,,,
23,"Christian literature, Arabic",lcsh,,"Christian literature, Arabic",http://id.worldcat.org/fast/859244,Q68675,,,
24,"Manuscripts, Arabic--10th century",lcsh,,,,,"Manuscripts, Arabic;Tenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1147737,Q256;Q12530
25,Illuminated manuscripts--18th century,aat,,illuminated manuscripts;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/904058,Q4268;Q3024,,,
26,"Manuscripts, Arabic--15th century",lcsh,,,,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962,Q256;Q154
27,"Manuscripts, Arabic--Lebanon--Ṣaydā--Dayr al-Qamar",lcsh,,"Manuscripts, Arabic;Lebanon--Sidon;Lebanon--Dayr al-Qamar",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1228147;http://id.worldcat.org/fast/1248807,Q256;Q110377;Q110380,,,
28,Blind tooled bindings,rbmscv,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
29,Autographs,rbmscv,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
30,Watermarks,rbmscv,,,,,Watermarks,http://id.loc.gov/vocabulary/rbmscv/cv01089,Q5815
31,"Manuscripts, Arabic--Egypt--18th century",lcsh,,"Manuscripts, Arabic;Egypt;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/904058,Q256;Q11259;Q3024,,,
32,Illuminated manuscripts--Egypt--18th century,aat,,illuminated manuscripts;Egypt;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/904058,Q4268;Q11259;Q3024,,,
33,magic squares,aat,,,,,magic squares,http://vocab.getty.edu/aat/300222283,Q11568
34,Headbands,rbmscv,,,,,Headbands,http://id.loc.gov/vocabulary/rbmscv/cv00453,Q11385
35,Colored papers,rbmscv,,,,,Colored papers,http://id.loc.gov/vocabulary/rbmscv/cv01138,Q11569
36,Stamps,rbmscv,,,,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142,Q3075
37,miscellanies,aat,,,,,miscellanies,http://vocab.getty.edu/aat/300404026,Q17508
38,Trivia and miscellanea,fast,,,,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886
39,Trivia and miscellanea,lcgft,,,,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886
40,Miscellanées,rvmgf,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886,,,
41,Trivia and miscellanea,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026201,,,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886
42,diagrams,aat,,,,,diagrams,http://vocab.getty.edu/aat/300015387,Q276
43,"Manuscripts, Arabic--Yemen--13th century",lcsh,,"Manuscripts, Arabic;Yemen (Republic);Thirteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1309629;http://id.worldcat.org/fast/1150138,Q256;Q11522;Q245,,,
44,"Christian literature, Arabic--18th century",lcsh,,"Christian literature, Arabic;Eighteenth century",http://id.worldcat.org/fast/859244;http://id.worldcat.org/fast/904058,Q68675;Q3024,,,
45,Sacred books,fast,(OCoLC)fst01423905,,,,Sacred books,http://id.worldcat.org/fast/1423905,Q11188
46,Sacred works,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026045,,,,Sacred works,http://id.worldcat.org/fast/1923249,Q11490
47,Gold tooled bindings,rbmscv,,,,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
48,"Manuscripts, Arabic--9th century",lcsh,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
49,Illuminated manuscripts--Islamic Empire--15th century,aat,,,,,illuminated manuscripts;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q4268;Q11211;Q154
50,"Manuscripts, Arabic--India--Jammu and Kashmir--19th century",lcsh,,"Manuscripts, Arabic;India--Jammu and Kashmir;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1207110;http://id.worldcat.org/fast/1037841,Q256;Q18321;Q3538,,,
51,"Manuscripts, Persian--India--Jammu and Kashmir--19th century",lcsh,,"Manuscripts, Persian;India--Jammu and Kashmir;Nineteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1207110;http://id.worldcat.org/fast/1037841,Q255;Q18321;Q3538,,,
52,Illuminated manuscripts--India--Jammu and Kashmir--19th century,aat,,illuminated manuscripts;India--Jammu and Kashmir;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1207110;http://id.worldcat.org/fast/1037841,Q4268;Q18321;Q3538,,,
53,Headpieces (layout features)--India--Jammu and Kashmir--19th century,aat,,headpieces (layout features);India--Jammu and Kashmir;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1207110;http://id.worldcat.org/fast/1037841,Q11536;Q18321;Q3538,,,
54,Lacquered bindings,rbmscv,,,,,Lacquered bindings,http://id.loc.gov/vocabulary/rbmscv/cv00578,Q27295
55,illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
56,Mulberry fiber papers,rbmscv,,Mulberry fiber papers,http://id.loc.gov/vocabulary/rbmscv/cv01614,Q110368,,,
57,Cloth bindings,rbmscv,,,,,Cloth bindings,http://id.loc.gov/vocabulary/rbmscv/cv00451,Q11478
58,Clasps,rbmscv,,,,,Clasps,http://id.loc.gov/vocabulary/rbmscv/cv00448,Q12690
59,Cornerpieces (Furniture),rbmscv,,,,,Cornerpieces (Furniture),http://id.loc.gov/vocabulary/rbmscv/cv00466,Q67919
