name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Ṣanhājī, Saʻīd ibn Masʻūd, 1543-after 1607",author,صنهاجي، سعيد بن مسعود,,,,,,,,,,
"Ḥuṣrī, Ibrāhīm ibn ʻAlī, -1022",author,حصري، ابراهيم بن علي,,human,Ibrāhīm ibn ʻAlī Ḥuṣrī,Q11903901,DSNAME9024,Q110477,,,,
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286?",author,بيضاوي، عبد الله بن عمر,,,,,,,human,Al-Baydawi,Q287573,Q12426
Catholic Church. Maronite Patriarchate of Antioch,author,,,organization,Maronite Catholic Patriarchate of Antiochus,Q15964049,DSNAME9025,Q110549,,,,
"Sallāmah, Ḥannā",author,سلامة، حنا,,human,Ḥannā Sallāmah,Q138005987,DSNAME9098,Q110551,,,,
"Khalwatī, Muḥammad",author,خلوتي، محمد,,,,,,,,,,
Catholic Church. Maronite Patriarchate of Antioch,author,,,organization,Maronite Catholic Patriarchate of Antiochus,Q15964049,DSNAME9025,Q110549,,,,
"Jawharī, Ismāʻīl ibn Ghunaym, -1751 or 1752",author,جوهري، اسماعيل بن غنيم,,human,Ismāʻīl ibn Ghunaym Jawharī,Q126916718,DSNAME9026,Q110478,,,,
"Ḥulwānī, Aḥmad ibn Aḥmad, 1833 or 1834-1890 or 1891",author,حلواني، احمد بن احمد,,human,Ahmad ibn Ahmad al-Hulwani,Q108600995,DSNAME9027,Q110479,,,,
"Shabrāmallisī, ʻAlī ibn ʻAlī, 1588 or 1589-1676 or 1677",author,شبراملسى، على بن على,,,,,,,human,Alshbrāmlsy,Q105359229,Q12421
"Anbābī, Muḥammad ibn Muḥammad, 1824 or 1825-1895 or 1896",author,انبابي، محمد بن محمد,,human,İnbabi,Q12219082,DSNAME9028,Q110480,,,,
"Lādhiqī, ʻAbd al-Razzāq ibn ʻAbd al-Fattāḥ, -1853 or 1854",author,,http://id.loc.gov/authorities/names/nr94013804,,,,,,human,ʻAbd al-Razzāq ibn ʻAbd al-Fattāḥ Lādhiqī,Q122946970,Q12274
"ʻAbd al-Ḥamīd, Shaykh",author,,,,,,,,,,,
"Ibn ʻAbd Rabbih, Aḥmad ibn Muḥammad, 860-940",author,,,human,Ibn ʿAbd Rabbih,Q3143113,DSNAME9029,Q110481,,,,
"Abū Sālim al-Naṣībī, Muḥammad ibn Ṭalḥah, 1186 or 1187-1254 or 1255",author,ابو سالم الناصبي، محمد بن طلحة,,,,,,,human,Abū Sālim al-Naṣībī,Q124772001,Q68309
"Kumayl ibn Ziyād, 633 or 634-701",author,كميل بن زياد,,human,Kumayl ibn Ziyad,Q1112952,DSNAME9030,Q110482,,,,
"Abkāriyūs, Iskandar ibn Yaʻqūb, 1826-1885",author,ابكاريوس، اسكندر بن يعقوب,,human,Iskandar Abkariyus,Q64681391,DSNAME9031,Q110483,,,,
"ʻImrānī, Muḥammad Fadīl ibn Muḥammad",author,عمرانى، محمد فضيل بن محمد,,,,,,,,,,
"Ibn Ṭūlūn, Shams al-Dīn Muḥammad ibn ʻAlī, 1475-1546",author,ابن طولون، شمس الدين محمد بن علي,,,,,,,human,Muḥammad Ibn-ʿAlī Ibn-Ṭūlūn,Q55875033,Q63952
Fārābī,author,فارابي,,,,,,,human,Farabi,Q160460,Q75566
"Hamdānī, al-Ḥasan ibn Aḥmad, -945",author,همداني، الحسن بن احمد,,human,Abū Muhammad al-Hasan al-Hamdānī,Q970628,DSNAME9032,Q110484,,,,
"Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī, approximately 1327-1370",author,سبكي، تاج الدين عبد الوهاب بن علي,,,,,,,human,Taj al-Din al-Subki,Q12201802,Q12396
"Khālidī, Aḥmad ibn Muḥammad, -1624 or 1625",author,خالدي، احمد بن محمد,,human,Aḥmad ibn Muḥammad Khālidī,Q138005988,DSNAME9099,Q110552,,,,
"Ibn Ghannām, Ibrāhīm ibn Yaḥyá, active 13th century-14th century",author,ابن غنام، ابراهيم بن يحيى,,human,Ibrāhīm ibn Yaḥyá Ibn Ghannām,Q138005989,DSNAME9100,Q110553,,,,
"Makkī, Abū Ṭālib Muḥammad ibn ʻAlī, -996",author,مكي، ابو طالب محمد بن علي، -996,,human,Abu Talib al-Makki,Q2822179,DSNAME9033,Q110485,,,,
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286?",author,,,,,,,,human,Al-Baydawi,Q287573,Q12426
"Kawkabānī, Sharaf al-Dīn ibn Ṣalāḥ, active 17th century",author,كوكباني، شرف الدين بن صلاح,,human,Sharaf al-Dīn ibn Ṣalāḥ Kawkabānī,Q138005990,DSNAME9101,Q110554,,,,
"Muhtadī, ʻUthmān, 16th or 18th cent",author,,,human,ʻUthmān Muhtadī,Q138005991,DSNAME9102,Q110555,,,,
"Khaṭṭāṭ, Ibrāhīm ibn Aḥmad, 18th cent",author,,,,,,,,,,,
"Yāfiʻī, ʻAbd Allāh ibn Asʻad, -1367",author,يافعي، عبد الله بن اسعد، -1367,,,,,,,human,Abdullah bin Asaad Al-Yafi'i,Q12223451,Q3789
"Damanhūrī, Aḥmad ibn ʻAbd al-Munʻim",author,دمنهوري، احمد بن عبد المنعم,,,,,,,human,Ahmad Damanhuri,Q12178566,Q12378
"Shayzarī, ʻAbd al-Raḥmān ibn Naṣr, active 12th century",author,شيزري، عبد الرحمن بن نصر، active 12th century,,human,Al-Nabarawi,Q4703010,DSNAME9034,Q110486,,,,
"Ḥimyarī, Ibn Saddād",author,حميري، ابن سداد,,human,Ibn Shaddād al-Ḥimyarī,Q138005992,DSNAME9103,Q110556,,,,
"Jaldakī, Aydamar ibn ʻAbd Allāh, active 1349-1361",author,جلدكي، ايدمر بن عبد الله,http://id.loc.gov/authorities/names/n88636116,,,,,,human,Al-Jaldaki,Q4164868,Q3239
"Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559",author,شهيد الثاني، زين الدين بن علي، 1506-1559,,,,,,,human,Zayn al-Din al-Juba'i al'Amili,Q4120058,Q40353
"Elias, of Nisibis, 975-1046",author,,,human,Elias of Nisibis,Q651326,DSNAME9035,Q110487,,,,
"Suyūṭī, 1445-1505",author,سيوطي، 1445-1505,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
"Bahnasāwī, Ibrāhīm, active 19th century",scribe,بهنساوي، ابراهيم، active 19th century,,,,,,,,,,
"Jalāl, ʻAbd al-Muʻṭī, active 19th century",scribe,جلال، عبد المعطي، active 19th century,,,,,,,,,,
"Saʻdī, Muṣṭafá, active 18th century",scribe,سعدي، مصطفى، active 18th century,,,,,,,,,,
"Muḥammad ibn Bahāʼ al-Dīn, active 18th century",scribe,محمد بن بهاء الدين، active 18th century,,,,,,,,,,
